	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
45	city of grand rapids-34000	13344443935.5928	695645.8623624527	Grand Rapids	City of Grand Rapids	34000	10542175.092379902	253012.20221711765	63.62916594402302
46	city of au gres-04120	50904943.518488	2653.674705618779	Au Gres	City of Au Gres	04120	25913.25982465517	621.9182357917242	76.56388575152407
47	city of fenton-27760	671979427.57964	35030.28755972663	Fenton	City of Fenton	27760	260371.50160183836	6248.91603844412	82.16139097405433
48	city of harbor beach-36460	123251859.08607599	6425.119414157141	Harbor Beach	City of Harbor Beach	36460	36205.27842407371	868.9266821777691	86.47610065793997
49	city of grand blanc-33280	345090106.288948	17989.547240842858	Grand Blanc	City of Grand Blanc	33280	403575.0911557248	9685.802187737394	46.15872173954953
50	city of houghton-39360	356250444.1814	18571.335655176383	Houghton	City of Houghton	39360	155490.12023457178	3731.762885629723	79.90579161930353
51	city of hudson-39720	167491786.045784	8731.346806566718	Hudson	City of Hudson	39720	30020.800792601098	720.4992190224262	91.74813193217169
52	city of sandusky-71540	194984883.921428	10164.561998824041	Sandusky	City of Sandusky	71540	27544.187642593966	661.0605034222551	93.49641919151327
53	city of holland-38640	3472151473.3156	181003.2563039422	Holland	City of Holland	38640	1724737.6816073668	41393.704358576804	77.13096150653327
54	city of flushing-29200	328728240.151272	17136.603159085807	Flushing	City of Flushing	29200	147533.26761646284	3540.798422795108	79.33780464001828
55	city of mt clemens-55820	1288663342.4230402	67178.02004051307	Mt Clemens	City of Mt Clemens	55820	732890.4934504897	17589.371842811754	73.81677543904371
56	city of lansing-46000	7212150455.2456	375969.4032319531	Lansing	City of Lansing	46000	10383395.799519062	249201.4991884575	33.71761184653809
57	city of huntington woods-40000	233085931.4924012	12150.769608698874	Huntington Woods	City of Huntington Woods	40000	553728.973124052	13289.49535497725	9.371634743721497
58	city of wyoming-88940	4970086581.3328	259090.61348487885	Wyoming	City of Wyoming	88940	4081108.354924874	97946.60051819697	62.19600579088005
59	city of taylor-79000	3759027905.13	195958.1246944269	Taylor	City of Taylor	79000	5669638.294213869	136071.31906113285	30.56102201767868
60	city of luna pier-49700	54984259.93901364	2866.3294706207807	Luna Pier	City of Luna Pier	49700	3723860.766576365	89372.65839783277	3018.0176359306215
61	city of wyandotte-88900	1798303577.81432	93745.5655114605	Wyandotte	City of Wyandotte	88900	15346598.861129053	368318.37266709725	292.89151508939364
62	city of harrison-36800	98064813.56387599	5112.118731084855	Harrison	City of Harrison	36800	58723.466066064866	1409.3631855855567	72.43093793937622
63	city of belding-06900	305591098.66664	15930.463973491942	Belding	City of Belding	06900	106819.05579999943	2563.6573391999864	83.90720230455388
64	city of petoskey-63820	482825406.3866	25169.688434933458	Petoskey	City of Petoskey	63820	132739.72200385865	3185.7533280926077	87.34289724591487
65	city of benton harbor-07520	680726207.6666	35486.25720565986	Benton Harbor	City of Benton Harbor	07520	335529.95316700544	8052.718876008131	77.30750011380809
66	city of ann arbor-03000	6546301257.8716	341258.6845728465	Ann Arbor	City of Ann Arbor	03000	4940191.323271166	118564.59175850797	65.25668147994085
67	city of algonac-01180	183329069.81621602	9556.944409519341	Algonac	City of Algonac	01180	41054.7872922377	985.3148950137048	89.69006355177427
68	city of river rouge-68760	390981670.69156003	20381.874493151023	River Rouge	City of River Rouge	68760	7998000.2435911065	191952.00584618654	841.77797979616
69	city of gladstone-32300	241887228.98287597	12609.581246877324	Gladstone	City of Gladstone	32300	206765.79013352282	4962.378963204548	60.64596542860258
70	city of durand-23500	155250932.884624	8093.231131275449	Durand	City of Durand	23500	50957.52451848939	1222.9805884437453	84.88884638772191
71	city of kingsford-43300	326850937.21503997	17038.739357020033	Kingsford	City of Kingsford	43300	83371.34651202265	2000.9123162885435	88.25668804268574
72	city of southgate-74960	1537958547.8056402	80173.77909710802	Southgate	City of Southgate	74960	8180846.958693478	196340.32700864348	144.89344174587592
73	city of zeeland-89260	733751298.78892	38250.4552058664	Zeeland	City of Zeeland	89260	244856.31228426093	5876.551494822262	84.63664951647168
74	city of boyne city-09820	270515537.66548	14101.974978501472	Boyne City	City of Boyne City	09820	73190.6138232258	1756.5747317574192	87.54376791594564
75	city of richmond-68380	259238925.35620397	13514.125178818913	Richmond	City of Richmond	68380	57673.98202834807	1384.1755686803538	89.75756439751045
76	city of manistique-50760	158265332.25227198	8250.371770310938	Manistique	City of Manistique	50760	90928.68488571623	2182.2884372571893	73.54921089604494
77	city of big rapids-08300	594328371.7535601	30982.338019513085	Big Rapids	City of Big Rapids	08300	98607.91635033273	2366.5899924079854	92.36148675765698
78	city of roseville-69800	3266974009.12432	170307.3550956508	Roseville	City of Roseville	69800	2837440.7252377057	68098.57740570494	60.014306271471185
79	city of springfield-75700	413969914.834168	21580.251660305177	Springfield	City of Springfield	75700	210984.30729877992	5063.623375170718	76.53584650041513
80	city of gobles-32640	29116586.996403202	1517.8476801224988	Gobles	City of Gobles	32640	12663.877164400106	303.93305194560253	79.97605056647889
81	city of grant-34360	30787783.174316	1604.967136877093	Grant	City of Grant	34360	6415.083835353026	153.96201204847262	90.40715485626401
82	city of grayling-34640	113093023.931292	5895.539337538252	Grayling	City of Grayling	34640	48489.861067874255	1163.7566656289823	80.2603867262987
83	city of new buffalo-57220	154672163.93552	8063.059905958657	New Buffalo	City of New Buffalo	57220	120946.96381853147	2902.727131644755	63.999682930550726
84	city of saugatuck-71700	76578187.33228	3992.020905631756	Saugatuck	City of Saugatuck	71700	57050.167078796425	1369.2040098911143	65.70148197471848
85	city of auburn-04080	114803995.87303199	5984.732304861157	Auburn	City of Auburn	04080	22903.205006368822	549.6769201528517	90.81534658273067
86	city of village of clarkston-82450			Village of Clarkston	City of Village of Clarkston	82450	24658.613014841536	591.8067123561968	
87	city of east lansing-24120	1467712101.80968	76511.83186733861	East Lansing	City of East Lansing	24120	3609499.98195831	86627.99956699944	13.221703693097982
88	city of reed city-67820	185764700.23476	9683.913823238037	Reed City	City of Reed City	67820	38507.769319590545	924.1864636701731	90.45647781940762
89	city of muskegon-56320	2442379355.18816	127321.23578595876	Muskegon	City of Muskegon	56320	6163880.843795146	147933.1402510835	16.18889758482682
90	city of ecorse-24740	889532575.1912401	46371.33314471934	Ecorse	City of Ecorse	24740	7947491.937110863	190739.8064906607	311.3312979279348
91	city of st johns-70940	983142232.8764955	51251.204599851706	St Johns	City of St Johns	70940	105400.32580503066	2529.607819320736	95.06429587544162
92	city of auburn hills-04105	4519580266.24296	235605.7192792455	Auburn Hills	City of Auburn Hills	04105	2629222.78354862	63101.34680516688	73.21739599607187
93	city of fraser-30420	1592230485.1911602	83002.97519301518	Fraser	City of Fraser	30420	1014957.4772189525	24358.97945325486	70.65288395191803
94	city of scottville-72080	47289448.110488	2465.198929999739	Scottville	City of Scottville	72080	15452.703847727678	370.8648923454643	84.9559851810619
95	city of pontiac-65440	3080779078.5272	160601.01336362294	Pontiac	City of Pontiac	65440	3626619.7136491584	87038.8731275798	45.8042814894874
96	city of grosse pointe farms-35520	458312019.951308	23891.805600061685	Grosse Pointe Farms	City of Grosse Pointe Farms	35520	865129.1845605386	20763.100429452927	13.095306495381331
97	city of garden city-31420	1142147517.12336	59540.15006764075	Garden City	City of Garden City	31420	1445854.7886433473	34700.51492744034	41.71913425139386
98	city of bronson-10860	112466084.02897601	5862.856960430519	Bronson	City of Bronson	10860	15901.417559806541	381.634021435357	93.4906475799926
99	city of mt pleasant-56020	1304319256.12736	67994.16282191928	Mt Pleasant	City of Mt Pleasant	56020	366341.2945235459	8792.1910685651	87.06919726095846
100	city of stanton-76220	45996666.5208536	2397.806225732098	Stanton	City of Stanton	76220	27581.843013919683	661.9642323340723	72.39292211229615
101	city of wixom-88140	1841688805.19976	96007.23741506349	Wixom	City of Wixom	88140	700855.1880119403	16820.524512286567	82.4799411323886
102	city of coldwater-17020	700650759.29848	36524.924082229765	Coldwater	City of Coldwater	17020	266049.8365349469	6385.196076838726	82.51824955894905
103	city of walled lake-83060	517828838.19704	26994.417335211696	Walled Lake	City of Walled Lake	83060	311580.5527050832	7477.933264921997	72.29822310271639
