	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
52	aquilesserdán, chihuahua			Chihuahua	AquilesSerdán	1885169.6361309567	45244.07126714296	
53	ascensión, chihuahua			Chihuahua	Ascensión	4395681.374255511	105496.35298213226	
54	bachíniva, chihuahua			Chihuahua	Bachíniva	649428.0313930123	15586.272753432295	
55	buenaventura, chihuahua			Chihuahua	Buenaventura	4209297.090715658	101023.13017717579	
56	camargo, chihuahua	168720000.0	9858.3096	Chihuahua	Camargo	5675618.019119564	136214.83245886955	1281.726056350163
57	casasgrandes, chihuahua			Chihuahua	CasasGrandes	1295271.6595343344	31086.519828824028	
58	chihuahua, chihuahua	3104000000.0	181366.72	Chihuahua	Chihuahua	57882680.887949556	1389184.3413107893	665.9532803541848
59	coyamedelsotol, chihuahua			Chihuahua	CoyamedelSotol	1579920.7812110048	37918.09874906412	
60	cuauhtémoc, chihuahua	558000000.0	32603.940000000002	Chihuahua	Cuauhtémoc	4411809.437429972	105883.42649831933	224.75653708821488
61	cusihuiriachi, chihuahua			Chihuahua	Cusihuiriachi	644845.1328016045	15476.283187238507	
62	delicias, chihuahua	507400000.0	29647.382	Chihuahua	Delicias	35788899.028603785	858933.5766864908	2797.1650066319203
63	dr.belisariodomínguez, chihuahua			Chihuahua	Dr.BelisarioDomínguez	46821.849793429385	1123.7243950423053	
64	galeana, chihuahua			Chihuahua	Galeana	1037572.8966051193	24901.749518522865	
65	gómezfarías, chihuahua			Chihuahua	GómezFarías	982294.2967484422	23575.063121962616	
66	granmorelos, chihuahua			Chihuahua	GranMorelos	56798.095911907796	1363.1543018857872	
67	guadalupe, chihuahua			Chihuahua	Guadalupe	1112708.255947635	26704.99814274324	
68	guerrero, chihuahua	126220000.0	7375.0346	Chihuahua	Guerrero	1937366.4888461805	46496.795732308325	530.4620690499313
69	hidalgodelparral, chihuahua	385200000.0	22507.236	Chihuahua	HidalgodelParral	2931285.572803668	70350.85374728803	212.56993860680194
70	ignaciozaragoza, chihuahua			Chihuahua	IgnacioZaragoza	1008136.7086287466	24195.281007089918	
71	janos, chihuahua			Chihuahua	Janos	2074480.6129117163	49787.53470988119	
72	juárez, chihuahua			Chihuahua	Juárez	56042331.08590203	1345015.9460616487	
73	julimes, chihuahua			Chihuahua	Julimes	192404.64279539464	4617.711427089472	
74	lacruz, chihuahua			Chihuahua	LaCruz	800942.7812739024	19222.626750573658	
75	madera, chihuahua			Chihuahua	Madera	3261697.8876994913	78280.74930478778	
76	manuelbenavides, chihuahua			Chihuahua	ManuelBenavides	587679.0105628916	14104.2962535094	
77	matachí, chihuahua			Chihuahua	Matachí	486122.4206729527	11666.938096150865	
78	meoqui, chihuahua	132780000.0	7758.3354	Chihuahua	Meoqui	1481908.3135543417	35565.799525304195	358.4204947533487
79	namiquipa, chihuahua			Chihuahua	Namiquipa	1645710.8000653686	39497.05920156885	
80	nuevocasasgrandes, chihuahua	220300000.0	12872.129	Chihuahua	NuevoCasasGrandes	1310362.2831768463	31448.694796244312	144.31618729306015
81	ojinaga, chihuahua			Chihuahua	Ojinaga	3069056.210047253	73657.34904113408	
82	praxedisg.guerrero, chihuahua			Chihuahua	PraxedisG.Guerrero	631968.1734185123	15167.236162044295	
83	rivapalacio, chihuahua			Chihuahua	RivaPalacio	1038197.3475249087	24916.736340597807	
84	rosales, chihuahua			Chihuahua	Rosales	1272631.067030278	30543.145608726674	
85	santaisabel, chihuahua			Chihuahua	SantaIsabel	380675.48314956046	9136.211595589451	
86	satevó, chihuahua			Chihuahua	Satevó	891604.9252389194	21398.518205734068	
87	saucillo, chihuahua	97630000.0	5704.5209	Chihuahua	Saucillo	1605789.833037406	38538.95599289774	575.5862002871746
88	temósachic, chihuahua			Chihuahua	Temósachic	926442.4342917304	22234.618423001528	
89	abasolo, coahuila			Coahuila	Abasolo	153294.25977058528	3679.0622344940466	
90	acuña, coahuila	463700000.0	27093.991	Coahuila	Acuña	2500415.087908034	60009.96210979282	121.48808608444881
91	allende, coahuila			Coahuila	Allende	57162814.12494739	1371907.5389987372	
92	arteaga, coahuila			Coahuila	Arteaga	4981304.4037603075	119551.30569024739	
93	candela, coahuila			Coahuila	Candela	1027538.3151430456	24660.919563433097	
94	castaños, coahuila			Coahuila	Castaños	105159056.735886	2523817.3616612637	
95	cuatrociénegas, coahuila			Coahuila	CuatroCiénegas	2576774.2863720255	61842.582872928615	
96	escobedo, coahuila			Coahuila	Escobedo	192822.764672885	4627.746352149241	
97	frontera, coahuila	232210000.0	13568.0303	Coahuila	Frontera	4256373.637321705	102152.96729572093	652.8945988256005
98	generalcepeda, coahuila			Coahuila	GeneralCepeda	3145256.8163224207	75486.1635917381	
99	guerrero, coahuila			Coahuila	Guerrero	362235.13811762276	8693.643314822946	
100	hidalgo, coahuila			Coahuila	Hidalgo	196100.2982243331	4706.407157383994	
101	jiménez, coahuila			Coahuila	Jiménez	704206.6498066537	16900.95959535969	
102	juárez, coahuila			Coahuila	Juárez	650315.7088955267	15607.57701349264	
103	lamadrid, coahuila			Coahuila	Lamadrid	323182.5127205366	7756.380305292878	
104	matamoros, coahuila	301170000.0	17597.3631	Coahuila	Matamoros	4012214.107361274	96293.13857667058	447.2020894805006
105	monclova, coahuila	795800000.0	46498.594000000005	Coahuila	Monclova	4397872.30976623	105548.93543438952	126.99382143552451
106	morelos, coahuila			Coahuila	Morelos	29077894.22282329	697869.4613477589	
107	múzquiz, coahuila	217560000.0	12712.0308	Coahuila	Múzquiz	13012612.220590467	312302.6932941712	2356.749029385385
108	nadadores, coahuila			Coahuila	Nadadores	496779.3424338968	11922.704218413523	
109	nava, coahuila			Coahuila	Nava	4190722.020716833	100577.32849720398	
110	ocampo, coahuila			Coahuila	Ocampo	1973165.4110151082	47355.969864362596	
111	piedrasnegras, coahuila	534900000.0	31254.207000000002	Coahuila	PiedrasNegras	3461560.475378907	83077.45140909377	165.812059826358
112	progreso, coahuila			Coahuila	Progreso	568417.5027341662	13642.02006561999	
113	ramosarizpe, coahuila	293700000.0	17160.891	Coahuila	RamosArizpe	25620106.655903332	614882.5597416799	3483.0456573710535
114	sabinas, coahuila	219100000.0	12802.013	Coahuila	Sabinas	3152689.4771722397	75664.54745213375	491.03632727238863
115	sacramento, coahuila			Coahuila	Sacramento	127061.98603028242	3049.487664726778	
116	saltillo, coahuila	2488000000.0	145373.84	Coahuila	Saltillo	18660303.245638445	447847.27789532265	208.06593393647898
117	sanbuenaventura, coahuila			Coahuila	SanBuenaventura	926213.6449221923	22229.127478132617	
118	sanjuandesabinas, coahuila	138020000.0	8064.5086	Coahuila	SanJuandeSabinas	3125050.561058347	75001.21346540033	830.0159152338226
119	sierramojada, coahuila			Coahuila	SierraMojada	860907.4239408877	20661.778174581304	
120	torreón, coahuila	2480000000.0	144906.4	Coahuila	Torreón	9900181.698244201	237604.36075786085	63.97092244225298
121	villaunión, coahuila			Coahuila	VillaUnión	20375328.630166553	489007.88712399727	
122	zaragoza, coahuila			Coahuila	Zaragoza	407286.7297670133	9774.881514408318	
123	armería, colima			Colima	Armería	1439860.2352036252	34556.645644887	
124	colima, colima	645300000.0	37704.879	Colima	Colima	2507618.911484254	60182.853875622095	59.61556029823646
125	comala, colima			Colima	Comala	596467.3238044821	14315.21577130757	
126	coquimatlán, colima			Colima	Coquimatlán	842926.5602494975	20230.23744598794	
127	cuauhtémoc, colima			Colima	Cuauhtémoc	1687180.8968186597	40492.34152364783	
128	manzanillo, colima	617900000.0	36103.897	Colima	Manzanillo	4090624.832276691	98174.9959746406	171.92354325252091
129	tecomán, colima	364800000.0	21315.264	Colima	Tecomán	4576125.533141944	109827.01279540664	415.25053968558234
130	villadeálvarez, colima	425200000.0	24844.436	Colima	VilladeÁlvarez	1645982.3310964818	39503.57594631556	59.00371393544841
131	álvaroobregón, distritofederal	3234000000.0	188962.62	DistritoFederal	ÁlvaroObregón	10234508.427361438	245628.20225667453	29.987720458508953
132	azcapotzalco, distritofederal	3032000000.0	177159.76	DistritoFederal	Azcapotzalco	6219636.202787058	149271.2688668894	15.742000967437864
133	benitojuárez, distritofederal	2905200000.0	169750.836	DistritoFederal	BenitoJuárez	5525945.289918688	132622.68695804852	21.872145031410323
134	coyoacán, distritofederal	2387000000.0	139472.41	DistritoFederal	Coyoacán	11135423.162090832	267250.15589018	91.61506988384295
135	cuajimalpademorelos, distritofederal	916200000.0	53533.566	DistritoFederal	CuajimalpadeMorelos	3453591.7767864484	82886.20264287476	54.83034073029016
136	cuauhtémoc, distritofederal	39530000000.0	2309737.9	DistritoFederal	Cuauhtémoc	7091936.2375146765	170206.46970035226	92.63091843882579
137	cuauhtémoc, distritofederal	4354000000.0	254404.22	DistritoFederal	Cuauhtémoc	7091936.2375146765	170206.46970035226	33.0960509615948
138	gustavoa.madero, distritofederal	4061000000.0	237284.23	DistritoFederal	GustavoA.Madero	15281390.883793548	366753.38121104514	54.56289750525989
139	iztacalco, distritofederal	1338500000.0	78208.55500000001	DistritoFederal	Iztacalco	4473069.532538893	107353.66878093343	37.26588962158093
140	iztapalapa, distritofederal	5830000000.0	340646.9	DistritoFederal	Iztapalapa	19166998.73054927	460007.96953318245	35.0395290646069
141	lamagdalenacontreras, distritofederal	762300000.0	44541.189	DistritoFederal	LaMagdalenaContreras	3093292.132345687	74239.01117629648	66.67496499991611
142	miguelhidalgo, distritofederal	3535900000.0	206602.63700000002	DistritoFederal	MiguelHidalgo	7451066.320621243	178825.59169490982	13.444671233838218
143	milpaalta, distritofederal	384600000.0	22472.178	DistritoFederal	MilpaAlta	3167678.4149724613	76024.28195933907	238.30402179681505
144	tláhuac, distritofederal	1101500000.0	64360.645000000004	DistritoFederal	Tláhuac	7056569.0081685735	169357.65619604575	163.1385316229285
145	tlalpan, distritofederal	2469000000.0	144263.67	DistritoFederal	Tlalpan	9769028.370904703	234456.68090171285	62.51955943011352
146	venustianocarranza, distritofederal	1727300000.0	100926.139	DistritoFederal	VenustianoCarranza	6652444.358082935	159658.66459399046	58.19357222611128
147	xochimilco, distritofederal	1276000000.0	74556.68000000001	DistritoFederal	Xochimilco	6940366.087845957	166568.78610830294	123.41228996288854
148	durango, durango	1835900000.0	107271.637	Durango	Durango	23056844.290490996	553364.2629717839	415.8532846588179
149	gómezpalacio, durango	1107000000.0	64682.01	Durango	GómezPalacio	10271688.096362017	246520.5143126884	281.1268609504998
150	lerdo, durango	399400000.0	23336.942	Durango	Lerdo	28182053.7077345	676369.288985628	2798.2772849400235
151	nuevoideal, durango			Durango	NuevoIdeal	835211.2306559558	20045.06953574294	
152	abasolo, guanajuato	222070000.0	12975.5501	Guanajuato	Abasolo	2164695.6641863207	51952.69594047169	300.3891591499592
153	acámbaro, guanajuato	339300000.0	19825.299	Guanajuato	Acámbaro	2880006.7217919584	69120.161323007	248.64624903264766
154	apaseoelalto, guanajuato	178120000.0	10407.5516	Guanajuato	ApaseoelAlto	916574.8392852513	21997.796142846033	111.36379610018972
155	apaseoelgrande, guanajuato	235630000.0	13767.8609	Guanajuato	ApaseoelGrande	2962792.2849742994	71107.01483938319	416.4710433658085
156	atarjea, guanajuato			Guanajuato	Atarjea	86514.55651944333	2076.3493564666396	
157	celaya, guanajuato	1631000000.0	95299.33	Guanajuato	Celaya	7669523.28642711	184068.55887425065	93.14779954302999
158	comonfort, guanajuato	200430000.0	11711.1249	Guanajuato	Comonfort	1891668.9193759474	45400.054065022734	287.66603936589155
159	coroneo, guanajuato			Guanajuato	Coroneo	85953.21905204093	2062.8772572489825	
160	cortazar, guanajuato	264500000.0	15454.735	Guanajuato	Cortazar	1517600.671361594	36422.41611267826	135.67156675723172
161	cuerámaro, guanajuato			Guanajuato	Cuerámaro	629881.7976601825	15117.163143844378	
162	doctormora, guanajuato			Guanajuato	DoctorMora	482604.2075974722	11582.500982339332	
163	doloreshidalgocunadelaindep, guanajuato	377400000.0	22051.482	Guanajuato	DoloresHidalgoCunadelaIndep	5282955.608658162	126790.93460779589	474.97693174452354
164	guanajuato, guanajuato	507200000.0	29635.696	Guanajuato	Guanajuato	3580249.7537750173	85925.99409060042	189.94086756255166
165	huanímaro, guanajuato			Guanajuato	Huanímaro	417559.1727676277	10021.420146423065	
166	irapuato, guanajuato	1703500000.0	99535.505	Guanajuato	Irapuato	10871182.64531272	260908.3834875053	162.12594539757978
167	jaraldelprogreso, guanajuato	106690000.0	6233.8967	Guanajuato	JaraldelProgreso	669093.4493143227	16058.242783543743	157.5955867787117
168	jerécuaro, guanajuato	138010000.0	8063.924300000001	Guanajuato	Jerécuaro	765965.5174712266	18383.172419309438	127.96806784643844
169	león, guanajuato	4767000000.0	278535.81	Guanajuato	León	21423144.27375802	514155.46257019247	84.59222983579471
170	manueldoblado, guanajuato	104520000.0	6107.1036	Guanajuato	ManuelDoblado	1861021.2828681527	44664.510788835665	631.3534158620735
171	moroleón, guanajuato	177700000.0	10383.011	Guanajuato	Moroleón	526523.1152453251	12636.554765887804	21.704145029681694
172	ocampo, guanajuato			Guanajuato	Ocampo	1186416.8839476989	28474.00521474477	
173	pénjamo, guanajuato	416300000.0	24324.409	Guanajuato	Pénjamo	4509425.360493648	108226.20865184754	344.9284200567732
174	pueblonuevo, guanajuato			Guanajuato	PuebloNuevo	188892.78301865212	4533.426792447651	
175	purísimadelrincón, guanajuato	179670000.0	10498.1181	Guanajuato	PurísimadelRincón	1375785.0193536044	33018.84046448651	214.52151852327236
176	romita, guanajuato	144160000.0	8423.2688	Guanajuato	Romita	1262342.725465835	30296.225411180043	259.67302160866626
177	salamanca, guanajuato	804000000.0	46977.72	Guanajuato	Salamanca	70782874.38071834	1698788.98513724	3516.1588624080523
178	salvatierra, guanajuato	308000000.0	17996.44	Guanajuato	Salvatierra	1644151.9331276964	39459.64639506471	119.26362322250796
179	sandiegodelaunión, guanajuato	90950000.0	5314.2085	Guanajuato	SanDiegodelaUnión	1478036.4972023903	35472.875932857365	567.5100522092305
180	sanfelipe, guanajuato	263740000.0	15410.3282	Guanajuato	SanFelipe	3442512.0395970503	82620.28895032921	436.1358166942169
181	sanfranciscodelrincón, guanajuato	338800000.0	19796.084	Guanajuato	SanFranciscodelRincón	3730106.092563391	89522.54622152139	352.2235115870462
182	sanjoséiturbide, guanajuato	205290000.0	11995.0947	Guanajuato	SanJoséIturbide	2124048.5973750832	50977.166337001996	324.9834420815535
183	sanluisdelapaz, guanajuato	292000000.0	17061.56	Guanajuato	SanLuisdelaPaz	31869426.517596856	764866.2364223246	4382.979495557994
