	NAME	LABEL	FIPSCODE	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
114	Onaway	City of Onaway	60680	City of Onaway-60680	14891.489785682206	357.39575485637295
115	Litchfield	City of Litchfield	47980	City of Litchfield-47980	216007.107578738	5184.170581889713
116	Mt Morris	City of Mt Morris	55960	City of Mt Morris-55960	35581.80789810695	853.9633895545667
117	Kentwood	City of Kentwood	42820	City of Kentwood-42820	2414957.0650699157	57958.96956167798
118	East Grand Rapids	City of East Grand Rapids	23980	City of East Grand Rapids-23980	756444.0006530139	18154.656015672335
119	Leslie	City of Leslie	47180	City of Leslie-47180	25872.140627284007	620.9313750548162
120	Utica	City of Utica	81540	City of Utica-81540	316434.5871679355	7594.430092030452
121	Coleman	City of Coleman	17100	City of Coleman-17100	24144.844196549155	579.4762607171798
122	Midland	City of Midland	53780	City of Midland-53780	4872936.9984437805	116950.48796265073
123	The Village of Grosse Pointe Shores A Michigan City	City of The Village of Grosse Pointe Shores A Michigan City	82453	City of The Village of Grosse Pointe Shores A Michigan City-82453	221683.93687757044	5320.41448506169
124	Allen Park	City of Allen Park	01380	City of Allen Park-01380	4899893.097833954	117597.4343480149
125	Marlette	City of Marlette	51820	City of Marlette-51820	18878.291265752392	453.0789903780574
126	Omer	City of Omer	60660	City of Omer-60660	10458.535050357828	251.00484120858786
127	Niles	City of Niles	57760	City of Niles-57760	699776.0940561822	16794.626257348373
128	Port Huron	City of Port Huron	65820	City of Port Huron-65820	9610659.74361273	230655.83384670556
129	Mason	City of Mason	52180	City of Mason-52180	178879.03146187577	4293.096755085018
130	Farmington	City of Farmington	27380	City of Farmington-27380	503286.4672715523	12078.875214517255
131	Ishpeming	City of Ishpeming	41220	City of Ishpeming-41220	161478.27842099013	3875.4786821037633
132	Troy	City of Troy	80700	City of Troy-80700	7114746.520102453	170753.91648245888
133	Petersburg	City of Petersburg	63800	City of Petersburg-63800	7169.499415828267	172.06798597987842
134	Rose City	City of Rose City	69680	City of Rose City-69680	11646.184107796327	279.50841858711186
135	Muskegon Heights	City of Muskegon Heights	56360	City of Muskegon Heights-56360	1115144.5581833322	26763.469396399974
136	Lincoln Park	City of Lincoln Park	47800	City of Lincoln Park-47800	15843789.420696195	380250.94609670865
137	Roosevelt Park	City of Roosevelt Park	69520	City of Roosevelt Park-69520	260651.1619696808	6255.62788727234
138	Grand Ledge	City of Grand Ledge	33420	City of Grand Ledge-33420	110791.03198383347	2658.9847676120035
139	Reading	City of Reading	67500	City of Reading-67500	8538.824417088303	204.93178601011925
140	Farmington Hills	City of Farmington Hills	27440	City of Farmington Hills-27440	5681916.327148374	136365.99185156098
141	Belleville	City of Belleville	07020	City of Belleville-07020	99705.12416607713	2392.9229799858513
142	Marshall	City of Marshall	51940	City of Marshall-51940	296417.55973875016	7114.021433730004
143	Romulus	City of Romulus	69420	City of Romulus-69420	7883010.825963741	189192.25982312977
144	Whittemore	City of Whittemore	87140	City of Whittemore-87140	7394.217299654361	177.4612151917047
145	Bridgman	City of Bridgman	10580	City of Bridgman-10580	89117.56298049861	2138.8215115319667
146	Zilwaukee	City of Zilwaukee	89320	City of Zilwaukee-89320	349247.0169236578	8381.928406167786
147	Bad Axe	City of Bad Axe	04740	City of Bad Axe-04740	5464.460467956714	131.14705123096113
148	Highland Park	City of Highland Park	38180	City of Highland Park-38180	1112578.3365583124	26701.8800773995
149	Evart	City of Evart	26640	City of Evart-26640	23459.553445754318	563.0292826981037
150	Hastings	City of Hastings	37120	City of Hastings-37120	101181.88358959541	2428.36520615029
151	Gibraltar	City of Gibraltar	32020	City of Gibraltar-32020	1829420.518403221	43906.092441677305
152	Hamtramck	City of Hamtramck	36280	City of Hamtramck-36280	955924.4727679499	22942.187346430797
153	Rockford	City of Rockford	69080	City of Rockford-69080	121272.83949815051	2910.5481479556124
154	Saginaw	City of Saginaw	70520	City of Saginaw-70520	2333028.5313899308	55992.684753358335
155	Ypsilanti	City of Ypsilanti	89140	City of Ypsilanti-89140	648590.18787704	15566.164509048962
