	state	city	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
68	Chiapas	FronteraHidalgo	FronteraHidalgo, Chiapas	200054.40611717536	4801.305746812209
69	Chiapas	Huehuetán	Huehuetán, Chiapas	483802.74247763166	11611.26581946316
70	Chiapas	Huitiupán	Huitiupán, Chiapas	367871.6083359842	8828.91860006362
71	Chiapas	Huixtán	Huixtán, Chiapas	542363.1388588486	13016.715332612366
72	Chiapas	Huixtla	Huixtla, Chiapas	802658.2282921098	19263.797479010635
73	Chiapas	Ixhuatán	Ixhuatán, Chiapas	212509.64238169568	5100.231417160697
74	Chiapas	Ixtacomitán	Ixtacomitán, Chiapas	294464.5585261159	7067.149404626781
75	Chiapas	Ixtapa	Ixtapa, Chiapas	1072762.0797574464	25746.289914178713
76	Chiapas	Ixtapangajoya	Ixtapangajoya, Chiapas	165847.38531634974	3980.337247592394
77	Chiapas	Jiquipilas	Jiquipilas, Chiapas	1992434.341139034	47818.424187336816
78	Chiapas	Jitotol	Jitotol, Chiapas	566915.4855368357	13605.971652884058
79	Chiapas	Juárez	Juárez, Chiapas	1351738.235934185	32441.717662420444
80	Chiapas	LaConcordia	LaConcordia, Chiapas	1547017.9116217287	37128.42987892149
81	Chiapas	LaGrandeza	LaGrandeza, Chiapas	97427.5130697579	2338.2603136741895
82	Chiapas	LaIndependencia	LaIndependencia, Chiapas	672544.533342845	16141.06880022828
83	Chiapas	LaLibertad	LaLibertad, Chiapas	262557.628816782	6301.383091602767
84	Chiapas	LaTrinitaria	LaTrinitaria, Chiapas	2326181.6426717085	55828.35942412101
85	Chiapas	Larráinzar	Larráinzar, Chiapas	319228.5099511855	7661.484238828452
86	Chiapas	LasMargaritas	LasMargaritas, Chiapas	1921174.6327939036	46108.191187053686
87	Chiapas	LasRosas	LasRosas, Chiapas	252099.8508331215	6050.396419994917
88	Chiapas	Mapastepec	Mapastepec, Chiapas	574760.1617065032	13794.243880956077
89	Chiapas	MaravillaTenejapa	MaravillaTenejapa, Chiapas	463021.19171651173	11112.508601196281
90	Chiapas	MarquésdeComillas	MarquésdeComillas, Chiapas	359942.75170536834	8638.62604092884
91	Chiapas	MazapadeMadero	MazapadeMadero, Chiapas	254456.9187767831	6106.966050642794
92	Chiapas	Mazatán	Mazatán, Chiapas	491867.22784750507	11804.81346834012
93	Chiapas	Metapa	Metapa, Chiapas	220491.8355600575	5291.804053441379
94	Chiapas	Mitontic	Mitontic, Chiapas	88878.92935259163	2133.094304462199
95	Chiapas	MontecristodeGuerrero	MontecristodeGuerrero, Chiapas	136447.9293284896	3274.750303883751
96	Chiapas	Motozintla	Motozintla, Chiapas	1432589.6190786574	34382.15085788778
97	Chiapas	NicolásRuíz	NicolásRuíz, Chiapas	14042.36617012797	337.0167880830713
98	Chiapas	Ocosingo	Ocosingo, Chiapas	5168646.801242882	124047.52322982918
99	Chiapas	Ocotepec	Ocotepec, Chiapas	73019.86416996183	1752.476740079084
100	Chiapas	OcozocoautladeEspinosa	OcozocoautladeEspinosa, Chiapas	2513028.72998729	60312.68951969497
101	Chiapas	Ostuacán	Ostuacán, Chiapas	323469.1930566179	7763.260633358831
102	Chiapas	Osumacinta	Osumacinta, Chiapas	128800.78703695929	3091.218888887023
103	Chiapas	Oxchuc	Oxchuc, Chiapas	713478.6445488423	17123.487469172218
104	Chiapas	Palenque	Palenque, Chiapas	3659257.1990663284	87822.17277759188
105	Chiapas	Pantelhó	Pantelhó, Chiapas	224171.6576889361	5380.119784534467
106	Chiapas	Pantepec	Pantepec, Chiapas	342983.678633529	8231.608287204695
107	Chiapas	Pichucalco	Pichucalco, Chiapas	726488.7949210296	17435.731078104713
108	Chiapas	Pijijiapan	Pijijiapan, Chiapas	671277.4780425017	16110.659473020041
109	Chiapas	PuebloNuevoSolistahuacán	PuebloNuevoSolistahuacán, Chiapas	359361.6799797186	8624.680319513247
110	Chiapas	Rayón	Rayón, Chiapas	180101.72699826697	4322.441447958407
111	Chiapas	Reforma	Reforma, Chiapas	2025775.2200832188	48618.60528199725
112	Chiapas	Sabanilla	Sabanilla, Chiapas	284007.6386084857	6816.1833266036565
113	Chiapas	SaltodeAgua	SaltodeAgua, Chiapas	1393209.9531115803	33437.03887467793
114	Chiapas	SanAndrésDuraznal	SanAndrésDuraznal, Chiapas	93108.63632727749	2234.6072718546598
115	Chiapas	SanCristóbaldelasCasas	SanCristóbaldelasCasas, Chiapas	2735198.4099177876	65644.7618380269
116	Chiapas	SanFernando	SanFernando, Chiapas	671649.6725755569	16119.592141813366
