	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
276	tianguistengo, hidalgo			Hidalgo	Tianguistengo	7887.172889184786	
277	tizayuca, hidalgo	309300000.0	18072.399	Hidalgo	Tizayuca	9251.388258389226	48.809296107344544
278	tlahuelilpan, hidalgo			Hidalgo	Tlahuelilpan	2094.672675302522	
279	tlahuiltepa, hidalgo			Hidalgo	Tlahuiltepa	11290.367267463844	
280	tlanalapa, hidalgo			Hidalgo	Tlanalapa	1446.5741327742867	
281	tlanchinol, hidalgo	85551000.0	4998.74493	Hidalgo	Tlanchinol	24009.63255408174	380.3132164233421
282	tlaxcoapan, hidalgo			Hidalgo	Tlaxcoapan	3924.620143965786	
283	tolcayuca, hidalgo			Hidalgo	Tolcayuca	4109.170251050391	
284	tuladeallende, hidalgo	369000000.0	21560.670000000002	Hidalgo	TuladeAllende	36868.87215854889	71.00058652420768
285	tulancingodebravo, hidalgo	511700000.0	29898.631	Hidalgo	TulancingodeBravo	18077.288342685522	39.53807335631681
286	villadetezontepec, hidalgo			Hidalgo	VilladeTezontepec	8651.298536150041	
287	xochiatipan, hidalgo			Hidalgo	Xochiatipan	7854.481008814632	
288	xochicoatlán, hidalgo			Hidalgo	Xochicoatlán	7112.824916994586	
289	yahualica, hidalgo			Hidalgo	Yahualica	10251.708017918705	
290	zacualtipándeángeles, hidalgo	100430000.0	5868.1249	Hidalgo	ZacualtipándeÁngeles	8736.54630254991	48.881396552242954
291	zapotlándejuárez, hidalgo			Hidalgo	ZapotlándeJuárez	20337.675257482042	
292	zempoala, hidalgo	112810000.0	6591.4883	Hidalgo	Zempoala	27985.470742819998	324.56983110809733
293	zimapán, hidalgo	113300000.0	6620.119000000001	Hidalgo	Zimapán	15857.726069677019	139.53838397281103
294	acatic, jalisco			Jalisco	Acatic	11132.687004838353	
295	acatlándejuárez, jalisco			Jalisco	AcatlándeJuárez	9768.4745036092	
296	amacueca, jalisco			Jalisco	Amacueca	4848.497489640058	
297	amatitán, jalisco			Jalisco	Amatitán	1051.079960073185	
298	ameca, jalisco	198150000.0	11577.9045	Jalisco	Ameca	24219.69059371204	109.18889591559542
299	arandas, jalisco	232600000.0	13590.818000000001	Jalisco	Arandas	17554.14028913443	29.161764134685846
300	atemajacdebrizuela, jalisco			Jalisco	AtemajacdeBrizuela	4631.673092724007	
301	atotonilcoelalto, jalisco	172240000.0	10063.9832	Jalisco	AtotonilcoelAlto	17492.213588139435	73.81004360320706
302	atoyac, jalisco			Jalisco	Atoyac	5751.9718939603445	
303	ayotlán, jalisco	108590000.0	6344.9137	Jalisco	Ayotlán	11121.046180576837	75.27497939927595
304	cañadasdeobregón, jalisco			Jalisco	CañadasdeObregón	2159.155106882643	
305	chapala, jalisco	173770000.0	10153.3811	Jalisco	Chapala	12280.967949209504	20.954466578719313
306	chiquilistlán, jalisco			Jalisco	Chiquilistlán	4057.976159258754	
307	cocula, jalisco			Jalisco	Cocula	8493.965304113497	
308	concepcióndebuenosaires, jalisco			Jalisco	ConcepcióndeBuenosAires	2983.8072387618795	
309	cuquío, jalisco			Jalisco	Cuquío	6078.182368995309	
310	degollado, jalisco			Jalisco	Degollado	7115.437802761973	
311	elarenal, jalisco			Jalisco	ElArenal	3505.0667435674522	
312	elsalto, jalisco	422500000.0	24686.675	Jalisco	ElSalto	38284.77784821691	55.082763669943034
313	encarnacióndedíaz, jalisco	150410000.0	8788.4563	Jalisco	EncarnacióndeDíaz	21439.94897196425	143.95580111110357
314	gómezfarías, jalisco			Jalisco	GómezFarías	2964.6992844121564	
315	guadalajara, jalisco	6089000000.0	355780.27	Jalisco	Guadalajara	100698.49039867232	71.6964376920979
316	ixtlahuacándelosmembrillos, jalisco	116980000.0	6835.1414	Jalisco	IxtlahuacándelosMembrillos	13500.439173460894	97.51514099563316
317	ixtlahuacándelrío, jalisco			Jalisco	IxtlahuacándelRío	10502.825037787496	
318	jalostotitlán, jalisco			Jalisco	Jalostotitlán	12940.789286129913	
319	jamay, jalisco			Jalisco	Jamay	4238.510355576049	
320	jesúsmaría, jalisco			Jalisco	JesúsMaría	6051.122972619853	
321	jocotepec, jalisco	113400000.0	6625.962	Jalisco	Jocotepec	26617.55027635299	301.7160115973045
322	juanacatlán, jalisco			Jalisco	Juanacatlán	7438.247176308102	
323	juchitlán, jalisco			Jalisco	Juchitlán	1557.6993925250645	
324	labarca, jalisco	196810000.0	11499.6083	Jalisco	LaBarca	15228.349001260334	32.424936606408885
325	lamanzanilladelapaz, jalisco			Jalisco	LaManzanilladelaPaz	1566.1659132465368	
326	lagosdemoreno, jalisco	443500000.0	25913.705	Jalisco	LagosdeMoreno	43116.06765175601	66.38326187535132
327	mascota, jalisco			Jalisco	Mascota	4749.304069901415	
328	mazamitla, jalisco			Jalisco	Mazamitla	8225.160357807543	
329	mexticacán, jalisco			Jalisco	Mexticacán	3198.882727448233	
330	ocotlán, jalisco	299200000.0	17482.256	Jalisco	Ocotlán	13616.759338586058	22.110971612667967
331	ojuelosdejalisco, jalisco			Jalisco	OjuelosdeJalisco	11955.469184731912	
332	poncitlán, jalisco	128500000.0	7508.255	Jalisco	Poncitlán	32474.379976411226	332.51567742985856
333	puertovallarta, jalisco	1041400000.0	60849.002	Jalisco	PuertoVallarta	53592.337258361484	11.925692292600816
334	sancristóbaldelabarranca, jalisco			Jalisco	SanCristóbaldelaBarranca	1356.780257311551	
335	sandiegodealejandría, jalisco			Jalisco	SanDiegodeAlejandría	13147.988948817958	
336	sanignaciocerrogordo, jalisco			Jalisco	SanIgnacioCerroGordo	3216.073547239845	
337	sanjuandeloslagos, jalisco	205900000.0	12030.737000000001	Jalisco	SanJuandelosLagos	13975.113485105592	16.16174042459403
338	sanjulián, jalisco			Jalisco	SanJulián	3417.4861804151674	
339	sanmartínhidalgo, jalisco			Jalisco	SanMartínHidalgo	14820.25973821695	
340	sanmiguelelalto, jalisco			Jalisco	SanMiguelelAlto	12183.159257603984	
341	sanpedrotlaquepaque, jalisco	1409900000.0	82380.457	Jalisco	SanPedroTlaquepaque	176761.31267152028	114.56704552090588
342	sayula, jalisco	104340000.0	6096.5862	Jalisco	Sayula	3041.2421213375183	50.11565453896939
343	tala, jalisco	210020000.0	12271.4686	Jalisco	Tala	15658.887279672206	27.604020269197495
344	tapalpa, jalisco			Jalisco	Tapalpa	11859.542744669568	
345	techalutademontenegro, jalisco			Jalisco	TechalutadeMontenegro	826.1533456654608	
346	tecolotlán, jalisco			Jalisco	Tecolotlán	11272.559150588813	
347	teocaltiche, jalisco	121440000.0	7095.7392	Jalisco	Teocaltiche	14084.840294976333	98.49715298127548
348	teocuitatlándecorona, jalisco			Jalisco	TeocuitatlándeCorona	7344.349556627508	
349	tepatitlándemorelos, jalisco	447900000.0	26170.797000000002	Jalisco	TepatitlándeMorelos	31954.610755507994	22.100258373896644
350	tequila, jalisco	119870000.0	7004.0041	Jalisco	Tequila	8621.886546383688	23.099393194011526
351	teuchitlán, jalisco			Jalisco	Teuchitlán	5638.418142746911	
352	tizapánelalto, jalisco			Jalisco	TizapánelAlto	3947.864491403631	
353	tlajomulcodezúñiga, jalisco	1250200000.0	73049.186	Jalisco	TlajomulcodeZúñiga	296194.3865794543	305.4725354221665
354	tonalá, jalisco	1264800000.0	73902.264	Jalisco	Tonalá	27686.967341155043	62.535698038756905
355	tototlán, jalisco			Jalisco	Tototlán	5518.981976479711	
356	tuxcueca, jalisco			Jalisco	Tuxcueca	5926.845633342062	
357	unióndesanantonio, jalisco			Jalisco	UnióndeSanAntonio	20582.43982053151	
358	valledeguadalupe, jalisco			Jalisco	ValledeGuadalupe	3577.792620086818	
359	valledejuárez, jalisco			Jalisco	ValledeJuárez	2268.523714407529	
360	villacorona, jalisco			Jalisco	VillaCorona	10574.707190495656	
361	villahidalgo, jalisco			Jalisco	VillaHidalgo	4751.0885658120305	
362	yahualicadegonzálezgallo, jalisco			Jalisco	YahualicadeGonzálezGallo	6650.311951552967	
363	zacoalcodetorres, jalisco			Jalisco	ZacoalcodeTorres	15463.46256864469	
364	zapopan, jalisco	4402000000.0	257208.86000000002	Jalisco	Zapopan	267757.614351952	4.10124066175324
365	zapotlándelrey, jalisco			Jalisco	ZapotlándelRey	8587.814535886715	
366	zapotlanejo, jalisco	201720000.0	11786.499600000001	Jalisco	Zapotlanejo	22390.509846368604	89.96742549729186
367	acambayderuízcastañeda, méxico	140990000.0	8238.0457	México	AcambaydeRuízCastañeda	18158.828443430935	120.42641064046214
368	acolman, méxico	378200000.0	22098.226	México	Acolman	20535.278307408455	7.072729243476577
369	aculco, méxico	114890000.0	6713.0227	México	Aculco	22294.415377622492	232.10695649252742
370	almoloyadealquisiras, méxico			México	AlmoloyadeAlquisiras	8257.81846695247	
371	almoloyadejuárez, méxico	359500000.0	21005.585	México	AlmoloyadeJuárez	59774.30808738117	184.56388187894396
372	almoloyadelrío, méxico			México	AlmoloyadelRío	1340.0605003740068	
373	amanalco, méxico			México	Amanalco	13917.110209918068	
374	amecameca, méxico	140800000.0	8226.944	México	Amecameca	4138.636053319619	49.694126357009125
375	apaxco, méxico			México	Apaxco	1961.7394969978288	
376	atenco, méxico	145270000.0	8488.1261	México	Atenco	33840.43328642958	298.67967190578827
377	atizapán, méxico			México	Atizapán	1428.6439925478971	
378	atizapándezaragoza, méxico	1527700000.0	89263.511	México	AtizapándeZaragoza	110495.0293256763	23.785215355999494
379	atlacomulco, méxico	291200000.0	17014.816	México	Atlacomulco	20123.137158042806	18.268320727316752
380	atlautla, méxico			México	Atlautla	5286.022149464293	
381	axapusco, méxico			México	Axapusco	15274.148501144464	
382	ayapango, méxico			México	Ayapango	3994.77799352474	
383	calimaya, méxico	122470000.0	7155.9221	México	Calimaya	41497.89651576501	479.90984160888246
384	capulhuac, méxico	99300000.0	5802.099	México	Capulhuac	2833.732871678689	51.16021164618719
385	chalco, méxico	917100000.0	53586.153	México	Chalco	42900.98707203441	19.940162392261275
386	chapademota, méxico			México	ChapadeMota	15462.423989816563	
387	chapultepec, méxico			México	Chapultepec	3594.8454777589923	
388	chiautla, méxico			México	Chiautla	3091.0875886146914	
389	chicoloapan, méxico	513500000.0	30003.805	México	Chicoloapan	9222.609246956088	69.26186779658083
390	chiconcuac, méxico			México	Chiconcuac	1143.49521798972	
391	chimalhuacán, méxico	1744400000.0	101925.292	México	Chimalhuacán	36796.39394825568	63.898662219917234
392	coacalcodeberriozábal, méxico	904800000.0	52867.464	México	CoacalcodeBerriozábal	46140.31100161831	12.724561553362362
393	coatepecharinas, méxico	94110000.0	5498.8473	México	CoatepecHarinas	15244.738609618544	177.23516908022782
394	cocotitlán, méxico			México	Cocotitlán	4229.226238505547	
395	coyotepec, méxico	99520000.0	5814.9536	México	Coyotepec	7667.720213270772	31.86210485446989
396	cuautitlán, méxico	474900000.0	27748.407	México	Cuautitlán	11597.119173435494	58.20618036402776
397	cuautitlánizcalli, méxico	1773100000.0	103602.23300000001	México	CuautitlánIzcalli	74338.62888121579	28.246113304125615
398	donatoguerra, méxico	72949000.0	4262.41007	México	DonatoGuerra	12629.052780196718	196.28901426175355
399	ecatepecdemorelos, méxico	5059000000.0	295597.37	México	EcatepecdeMorelos	160476.86002665095	45.71099870521482
400	ecatzingo, méxico			México	Ecatzingo	2101.4734716849443	
401	eloro, méxico	84880000.0	4959.5384	México	ElOro	15362.56950527079	209.75805137975723
402	huehuetoca, méxico	294200000.0	17190.106	México	Huehuetoca	23148.58984757543	34.66228682694237
403	hueypoxtla, méxico	105630000.0	6171.9609	México	Hueypoxtla	7520.055264593474	21.84223760382983
404	huixquilucan, méxico	758900000.0	44342.527	México	Huixquilucan	144506.46054834928	225.88684119953126
405	isidrofabela, méxico			México	IsidroFabela	19798.751786260174	
406	ixtapaluca, méxico	1352400000.0	79020.732	México	Ixtapaluca	29152.150066434246	63.10822574203154
407	ixtapandelasal, méxico	110690000.0	6467.6167000000005	México	IxtapandelaSal	14260.138591662553	120.48521508181757
408	ixtlahuaca, méxico	371500000.0	21706.745	México	Ixtlahuaca	37207.61738412293	71.4103951749695
409	jaltenco, méxico			México	Jaltenco	703.2248372579945	
410	jilotepec, méxico	235740000.0	13774.2882	México	Jilotepec	27518.544105807658	99.7819684490677
411	jilotzingo, méxico			México	Jilotzingo	29124.195326207097	
412	jiquipilco, méxico	157220000.0	9186.3646	México	Jiquipilco	17188.359144413946	87.10730406252266
413	jocotitlán, méxico	198500000.0	11598.355	México	Jocotitlán	23887.52175254303	105.95611836801883
414	joquicingo, méxico			México	Joquicingo	8954.759478660302	
415	juchitepec, méxico			México	Juchitepec	12483.023925135714	
416	lapaz, méxico	777500000.0	45429.325000000004	México	LaPaz	28128.64109916826	38.082634731710726
417	lerma, méxico	427800000.0	24996.354	México	Lerma	38800.66912171615	55.225314546738105
418	malinalco, méxico			México	Malinalco	9255.44205932765	
419	melchorocampo, méxico	130080000.0	7600.5744	México	MelchorOcampo	2601.735252616694	65.76922853861291
420	metepec, méxico	812100000.0	47451.003000000004	México	Metepec	22008.11059553562	53.619293156910466
421	mexicaltzingo, méxico			México	Mexicaltzingo	4950.220936784263	
422	morelos, méxico			México	Morelos	14416.103392166948	
423	naucalpandejuárez, méxico	2912000000.0	170148.16	México	NaucalpandeJuárez	206433.8145767981	21.32591652874653
424	nextlalpan, méxico	87530000.0	5114.3779	México	Nextlalpan	9400.756660144585	83.81036450483224
425	nezahualcóyotl, méxico	3446000000.0	201349.78	México	Nezahualcóyotl	72755.85986119996	63.86593525893102
426	nicolásromero, méxico	1062400000.0	62076.032	México	NicolásRomero	98950.14960952572	59.40153779404862
427	nopaltepec, méxico			México	Nopaltepec	4607.48428571149	
428	ocoyoacac, méxico	179590000.0	10493.4437	México	Ocoyoacac	32704.857991698405	211.66944738740443
429	ocuilan, méxico	80380000.0	4696.6034	México	Ocuilan	17559.217399222627	273.8705592902017
430	otumba, méxico	93160000.0	5443.3388	México	Otumba	5853.448210655715	7.534151845476066
431	otzolotepec, méxico	179170000.0	10468.9031	México	Otzolotepec	13187.175454433069	25.9652069416238
432	ozumba, méxico			México	Ozumba	4698.945811827451	
433	papalotla, méxico			México	Papalotla	391.1413382856877	
434	polotitlán, méxico			México	Polotitlán	4550.15137697565	
435	rayón, méxico			México	Rayón	5699.796488599247	
436	sanantoniolaisla, méxico			México	SanAntoniolaIsla	7384.238878801046	
437	sanfelipedelprogreso, méxico	269470000.0	15745.1321	México	SanFelipedelProgreso	54133.986207064525	243.8141125984235
438	sanjosédelrincón, méxico	191580000.0	11194.019400000001	México	SanJosédelRincón	56808.45591436201	407.48934662702123
439	sanmartíndelaspirámides, méxico			México	SanMartíndelasPirámides	5697.6453542615045	
440	sanmateoatenco, méxico	215600000.0	12597.508	México	SanMateoAtenco	3626.892854929007	71.2094419393978
441	sansimóndeguerrero, méxico			México	SanSimóndeGuerrero	5126.002327990026	
442	soyaniquilpandejuárez, méxico			México	SoyaniquilpandeJuárez	4526.067053337371	
443	tecámac, méxico	1151900000.0	67305.517	México	Tecámac	35293.19253931116	47.562704942432646
444	temamatla, méxico			México	Temamatla	10527.372701584864	
445	temascalapa, méxico	101100000.0	5907.273	México	Temascalapa	10859.177312872689	83.82724673250566
446	temascalcingo, méxico	164730000.0	9625.1739	México	Temascalcingo	26885.488992186303	179.32470905472476
447	temascaltepec, méxico	78143000.0	4565.89549	México	Temascaltepec	20608.78878672246	351.36356782275936
448	temoaya, méxico	207500000.0	12124.225	México	Temoaya	17638.719961714174	45.48327799685484
449	tenancingo, méxico	254200000.0	14852.906	México	Tenancingo	14047.905178036328	5.419820350062627
450	tenangodelaire, méxico			México	TenangodelAire	7525.070516746142	
451	tenangodelvalle, méxico	213930000.0	12499.929900000001	México	TenangodelValle	33420.17666886113	167.36291272210354
452	teoloyucan, méxico	177340000.0	10361.976200000001	México	Teoloyucan	5762.15676927799	44.391333679399985
453	teotihuacán, méxico	158890000.0	9283.9427	México	Teotihuacán	6438.918191664848	30.64457203441327
454	tepetlaoxtoc, méxico			México	Tepetlaoxtoc	7215.432418331686	
455	tepetlixpa, méxico			México	Tepetlixpa	4309.644996954694	
456	tepotzotlán, méxico	272800000.0	15939.704	México	Tepotzotlán	38451.60330516139	141.2316019492043
457	tequixquiac, méxico	100750000.0	5886.8225	México	Tequixquiac	9737.091142456633	65.40487066590903
458	texcaltitlán, méxico			México	Texcaltitlán	6269.315616338649	
459	texcalyacac, méxico			México	Texcalyacac	6201.976450626408	
460	texcoco, méxico	712600000.0	41637.218	México	Texcoco	64935.665755645176	55.95582239823317
461	tezoyuca, méxico	101100000.0	5907.273	México	Tezoyuca	4214.71377310598	28.65212470955752
462	tianguistenco, méxico	205700000.0	12019.051	México	Tianguistenco	14154.778719163483	17.769520398602882
463	timilpan, méxico			México	Timilpan	9527.641918775298	
464	tlalmanalco, méxico	131740000.0	7697.568200000001	México	Tlalmanalco	3314.119792163432	56.9458859466366
465	tlalnepantladebaz, méxico	2388000000.0	139530.84	México	TlalnepantladeBaz	123445.28090637538	11.528318107756403
466	toluca, méxico	2701000000.0	157819.43	México	Toluca	157245.8005183462	0.36347202727433453
467	tonanitla, méxico			México	Tonanitla	1482.3691691264137	
468	tonatico, méxico			México	Tonatico	4382.468439939402	
469	tultepec, méxico	382100000.0	22326.103	México	Tultepec	5128.3312473278365	77.02988628455294
470	tultitlán, méxico	1491800000.0	87165.874	México	Tultitlán	70076.66402476796	19.605390494027557
471	valledebravo, méxico	197000000.0	11510.710000000001	México	ValledeBravo	27838.998761606075	141.85301133992667
472	valledechalcosolidaridad, méxico	1065700000.0	62268.851	México	ValledeChalcoSolidaridad	40519.756554403	34.927727260612215
473	villadeallende, méxico	106339000.0	6213.38777	México	VilladeAllende	29520.598368724477	375.11276394591533
474	villadelcarbón, méxico	114250000.0	6675.6275000000005	México	VilladelCarbón	14147.50660797055	111.92774174368701
475	villaguerrero, méxico	155820000.0	9104.562600000001	México	VillaGuerrero	20974.893135396153	130.37782326189014
476	villavictoria, méxico	196520000.0	11482.6636	México	VillaVictoria	50453.59585341762	339.38930557381843
477	xalatlaco, méxico			México	Xalatlaco	16269.634578410902	
478	xonacatlán, méxico	125250000.0	7318.3575	México	Xonacatlán	5702.145583257262	22.08435317272678
479	zacualpan, méxico			México	Zacualpan	13017.011665317334	
480	zinacantepec, méxico	446100000.0	26065.623	México	Zinacantepec	80301.71210144844	208.07516897427865
481	zumpahuacán, méxico			México	Zumpahuacán	11870.5894415508	
482	zumpango, méxico	454300000.0	26544.749	México	Zumpango	37411.42523140646	40.9371971511445
483	acuitzio, michoacán			Michoacán	Acuitzio	4253.0465324739835	
484	álvaroobregón, michoacán			Michoacán	ÁlvaroObregón	6248.294909326166	
485	angamacutiro, michoacán			Michoacán	Angamacutiro	9193.55093987057	
486	angangueo, michoacán			Michoacán	Angangueo	2496.3468374327767	
487	aporo, michoacán			Michoacán	Aporo	2412.36105020015	
488	briseñas, michoacán			Michoacán	Briseñas	4181.450634856656	
489	charo, michoacán			Michoacán	Charo	9952.787501906181	
490	chavinda, michoacán			Michoacán	Chavinda	8030.42463657292	
491	chilchota, michoacán	98960000.0	5782.2328	Michoacán	Chilchota	9694.194599105364	67.6548650740137
492	chucándiro, michoacán			Michoacán	Chucándiro	4742.737059579799	
493	churintzio, michoacán			Michoacán	Churintzio	6201.0247701495955	
494	coeneo, michoacán			Michoacán	Coeneo	11286.037914864619	
495	cojumatlánderégules, michoacán			Michoacán	CojumatlándeRégules	2602.2699361620384	
496	contepec, michoacán			Michoacán	Contepec	19548.669566450957	
497	copándaro, michoacán			Michoacán	Copándaro	5254.883900778183	
498	cuitzeo, michoacán			Michoacán	Cuitzeo	8503.392078458566	
499	ecuandureo, michoacán			Michoacán	Ecuandureo	7185.2335279047775	
500	epitaciohuerta, michoacán			Michoacán	EpitacioHuerta	11097.692170833547	
501	erongarícuaro, michoacán			Michoacán	Erongarícuaro	8791.275574068033	
502	hidalgo, michoacán	347500000.0	20304.425	Michoacán	Hidalgo	43075.82891341647	112.14995703358493
503	huandacareo, michoacán			Michoacán	Huandacareo	3011.6213109587106	
504	huaniqueo, michoacán			Michoacán	Huaniqueo	2652.646998338818	
505	huiramba, michoacán			Michoacán	Huiramba	4108.755715994205	
506	indaparapeo, michoacán			Michoacán	Indaparapeo	8985.07907956882	
507	irimbo, michoacán			Michoacán	Irimbo	7717.445851773073	
508	ixtlán, michoacán			Michoacán	Ixtlán	3371.3529391682614	
509	jacona, michoacán	194460000.0	11362.2978	Michoacán	Jacona	17189.47410486817	51.2851925502971
510	jiménez, michoacán			Michoacán	Jiménez	6087.558393879916	
511	jiquilpan, michoacán	113610000.0	6638.232300000001	Michoacán	Jiquilpan	17201.290904746384	159.12457002666784
512	josésixtoverduzco, michoacán			Michoacán	JoséSixtoVerduzco	13126.531603738124	
513	lapiedad, michoacán	363200000.0	21221.776	Michoacán	LaPiedad	26336.242572058887	24.100087438765186
514	lagunillas, michoacán			Michoacán	Lagunillas	4933.374712223149	
515	lázarocárdenas, michoacán	605700000.0	35391.051	Michoacán	LázaroCárdenas	41069.9945646258	16.046269902032012
516	madero, michoacán			Michoacán	Madero	6812.794560849501	
517	maravatío, michoacán	231000000.0	13497.33	Michoacán	Maravatío	31914.723968232174	136.45212770401386
518	marcoscastellanos, michoacán			Michoacán	MarcosCastellanos	3771.4353799195023	
519	morelia, michoacán	2560000000.0	149580.80000000002	Michoacán	Morelia	173196.28395175104	15.787777543475515
520	morelos, michoacán			Michoacán	Morelos	3678.686803299794	
521	nahuatzen, michoacán			Michoacán	Nahuatzen	5188.828061198134	
522	numarán, michoacán			Michoacán	Numarán	3873.4749462833497	
523	ocampo, michoacán			Michoacán	Ocampo	5252.767299253582	
524	pajacuarán, michoacán			Michoacán	Pajacuarán	8302.183076848643	
525	panindícuaro, michoacán			Michoacán	Panindícuaro	7703.208468619136	
526	pátzcuaro, michoacán	273900000.0	16003.977	Michoacán	Pátzcuaro	31769.82631964436	98.51207184092027
527	penjamillo, michoacán			Michoacán	Penjamillo	10904.470856003078	
528	purépero, michoacán			Michoacán	Purépero	2757.401093647743	
529	puruándiro, michoacán	205340000.0	11998.0162	Michoacán	Puruándiro	27382.34588192507	128.22394490453405
530	queréndaro, michoacán			Michoacán	Queréndaro	7198.852199998311	
531	quiroga, michoacán			Michoacán	Quiroga	2948.412649736363	
532	sahuayo, michoacán	250900000.0	14660.087	Michoacán	Sahuayo	7917.158217287804	45.99514847839713
533	santaanamaya, michoacán			Michoacán	SantaAnaMaya	3083.5378142897302	
534	senguio, michoacán			Michoacán	Senguio	13221.37498955386	
535	tangancícuaro, michoacán			Michoacán	Tangancícuaro	21573.639062799917	
536	tanhuato, michoacán			Michoacán	Tanhuato	9448.657388769707	
537	tarímbaro, michoacán	218280000.0	12754.100400000001	Michoacán	Tarímbaro	16508.25414316198	29.43487682723572
538	tlalpujahua, michoacán			Michoacán	Tlalpujahua	15033.313046403371	
539	tlazazalca, michoacán			Michoacán	Tlazazalca	2133.218318668663	
540	tzintzuntzan, michoacán			Michoacán	Tzintzuntzan	7862.163312799271	
541	tzitzio, michoacán			Michoacán	Tzitzio	5359.841648663744	
542	uruapan, michoacán	1072200000.0	62648.646	Michoacán	Uruapan	75854.77501756354	21.079671885587988
543	venustianocarranza, michoacán			Michoacán	VenustianoCarranza	12285.912887492641	
544	villamar, michoacán			Michoacán	Villamar	11689.13819651742	
545	vistahermosa, michoacán			Michoacán	VistaHermosa	5449.853164572387	
546	yurécuaro, michoacán			Michoacán	Yurécuaro	8569.068080109151	
547	zacapu, michoacán	245800000.0	14362.094000000001	Michoacán	Zacapu	19387.520856221345	34.990906313670855
548	zamora, michoacán	653200000.0	38166.476	Michoacán	Zamora	18310.55224645964	52.02451427147835
549	zináparo, michoacán			Michoacán	Zináparo	4427.9073712655745	
550	zinapécuaro, michoacán	130660000.0	7634.4638	Michoacán	Zinapécuaro	15451.112638007557	102.38635014560624
551	zitácuaro, michoacán	440400000.0	25732.572	Michoacán	Zitácuaro	55437.286625683526	115.43624409438561
552	amacuzac, morelos			Morelos	Amacuzac	8923.04991871724	
553	atlatlahucan, morelos			Morelos	Atlatlahucan	6714.077655423398	
554	axochiapan, morelos	102310000.0	5977.973300000001	Morelos	Axochiapan	6882.623262048298	15.133054576344415
555	ayala, morelos	239530000.0	13995.7379	Morelos	Ayala	50110.00824095846	258.0376297341097
556	coatlándelrío, morelos			Morelos	CoatlándelRío	4091.2963784667595	
557	cuautla, morelos	664600000.0	38832.578	Morelos	Cuautla	18308.65146385471	52.85234098067168
558	cuernavaca, morelos	1469900000.0	85886.257	Morelos	Cuernavaca	54883.59368713565	36.097350607402
559	emilianozapata, morelos	261460000.0	15277.1078	Morelos	EmilianoZapata	19021.13891863818	24.507460231695024
560	huitzilac, morelos			Morelos	Huitzilac	5638.819269479343	
561	jantetelco, morelos			Morelos	Jantetelco	5260.002935986391	
562	jiutepec, morelos	672800000.0	39311.704	Morelos	Jiutepec	14479.467531486041	63.167540304317406
563	jojutla, morelos	200800000.0	11732.744	Morelos	Jojutla	19663.525758860967	67.59528511711298
564	jonacatepec, morelos			Morelos	Jonacatepec	5186.098667465099	
565	mazatepec, morelos			Morelos	Mazatepec	4645.036848880566	
566	miacatlán, morelos			Morelos	Miacatlán	26958.92791995034	
567	ocuituco, morelos			Morelos	Ocuituco	7182.534062200396	
568	puentedeixtla, morelos	182030000.0	10636.0129	Morelos	PuentedeIxtla	22885.198651105806	115.16708249861006
569	temixco, morelos	338300000.0	19766.869	Morelos	Temixco	38062.40794323437	92.55658517914179
570	temoac, morelos			Morelos	Temoac	2594.891585248959	
571	tepalcingo, morelos			Morelos	Tepalcingo	16503.66799068596	
572	tepoztlán, morelos	127160000.0	7429.9588	Morelos	Tepoztlán	9782.79775940951	31.666917983576298
573	tetecala, morelos			Morelos	Tetecala	5418.598452402282	
574	teteladelvolcán, morelos			Morelos	TeteladelVolcán	1542.7334920650273	
575	tlalnepantla, morelos			Morelos	Tlalnepantla	3863.9104550837737	
576	tlaltizapándezapata, morelos	145200000.0	8484.036	Morelos	TlaltizapándeZapata	15256.331458646062	79.82398305059128
577	tlaquiltenango, morelos			Morelos	Tlaquiltenango	10011.170723389487	
578	tlayacapan, morelos			Morelos	Tlayacapan	3967.188616207355	
579	totolapan, morelos			Morelos	Totolapan	5083.8937968799855	
580	xochitepec, morelos	183350000.0	10713.1405	Morelos	Xochitepec	20371.077668612666	90.15038278096574
581	yautepec, morelos	325200000.0	19001.436	Morelos	Yautepec	21078.46356960442	10.930897904792138
582	yecapixtla, morelos	131740000.0	7697.568200000001	Morelos	Yecapixtla	14039.137473138137	82.38406089260938
583	zacatepec, morelos	119980000.0	7010.4314	Morelos	Zacatepec	3299.860465470162	52.9292809930333
584	zacualpan, morelos			Morelos	Zacualpan	3689.0093797164054	
585	bahíadebanderas, nayarit	514500000.0	30062.235	Nayarit	BahíadeBanderas	45864.075767983224	52.56375904181184
586	tepic, nayarit	1384100000.0	80872.963	Nayarit	Tepic	43570.366912105776	46.12492816405679
587	xalisco, nayarit	148990000.0	8705.485700000001	Nayarit	Xalisco	57346.397818139965	558.7386366982369
588	abasolo, nuevoleón			NuevoLeón	Abasolo	2098.4400098985525	
589	agualeguas, nuevoleón			NuevoLeón	Agualeguas	1776.3436863187867	
590	allende, nuevoleón	118640000.0	6932.1352	NuevoLeón	Allende	4937.415081940864	28.774974239670563
591	anáhuac, nuevoleón			NuevoLeón	Anáhuac	2826.635284705265	
592	apodaca, nuevoleón	1589300000.0	92862.799	NuevoLeón	Apodaca	71469.09600520381	23.03796916006827
593	aramberri, nuevoleón			NuevoLeón	Aramberri	8597.805121497173	
