	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
62	delicias, chihuahua	507400000.0	29647.382	Chihuahua	Delicias	37304.24483804245	25.826438361547215
63	dr.belisariodomínguez, chihuahua			Chihuahua	Dr.BelisarioDomínguez	1749.5465281463548	
64	galeana, chihuahua			Chihuahua	Galeana	1980.075268262105	
65	gómezfarías, chihuahua			Chihuahua	GómezFarías	2183.02736568974	
66	granmorelos, chihuahua			Chihuahua	GranMorelos	1336.8564556855824	
67	guadalupe, chihuahua			Chihuahua	Guadalupe	15579.939272391912	
68	guerrero, chihuahua	126220000.0	7375.0346	Chihuahua	Guerrero	17301.39744789417	134.59411902818968
69	hidalgodelparral, chihuahua	385200000.0	22507.236	Chihuahua	HidalgodelParral	11413.870638433771	49.287995032203106
70	ignaciozaragoza, chihuahua			Chihuahua	IgnacioZaragoza	6277.835143548711	
71	janos, chihuahua			Chihuahua	Janos	9615.601300663917	
72	juárez, chihuahua			Chihuahua	Juárez	1076040.5632383144	
73	julimes, chihuahua			Chihuahua	Julimes	470.2862397827777	
74	lacruz, chihuahua			Chihuahua	LaCruz	1656.028843813888	
75	madera, chihuahua			Chihuahua	Madera	10459.801363369494	
76	manuelbenavides, chihuahua			Chihuahua	ManuelBenavides	936.787528952618	
77	matachí, chihuahua			Chihuahua	Matachí	2011.2098132732447	
78	meoqui, chihuahua	132780000.0	7758.3354	Chihuahua	Meoqui	6379.886769519074	17.76732455367844
79	namiquipa, chihuahua			Chihuahua	Namiquipa	11677.669103883569	
80	nuevocasasgrandes, chihuahua	220300000.0	12872.129	Chihuahua	NuevoCasasGrandes	4774.01020311985	62.91203884672186
81	ojinaga, chihuahua			Chihuahua	Ojinaga	19016.28200717688	
82	praxedisg.guerrero, chihuahua			Chihuahua	PraxedisG.Guerrero	1826.6610671848275	
83	rivapalacio, chihuahua			Chihuahua	RivaPalacio	2636.7057901280587	
84	rosales, chihuahua			Chihuahua	Rosales	16064.899662354741	
85	santaisabel, chihuahua			Chihuahua	SantaIsabel	2112.37064346539	
86	satevó, chihuahua			Chihuahua	Satevó	2495.823904079819	
87	saucillo, chihuahua	97630000.0	5704.5209	Chihuahua	Saucillo	9729.858980341147	70.5639991667161
88	temósachic, chihuahua			Chihuahua	Temósachic	4215.517434870282	
89	abasolo, coahuila			Coahuila	Abasolo	1115.8049520718587	
90	acuña, coahuila	463700000.0	27093.991	Coahuila	Acuña	92416.29138241014	241.095157898333
91	allende, coahuila			Coahuila	Allende	5325.294379762897	
92	arteaga, coahuila			Coahuila	Arteaga	6541.420105353901	
93	candela, coahuila			Coahuila	Candela	2308.1089671389186	
94	castaños, coahuila			Coahuila	Castaños	21462.913338023525	
95	cuatrociénegas, coahuila			Coahuila	CuatroCiénegas	4631.773517583235	
96	escobedo, coahuila			Coahuila	Escobedo	1173.9853756620632	
97	frontera, coahuila	232210000.0	13568.0303	Coahuila	Frontera	31636.37301126707	133.1685020726042
98	generalcepeda, coahuila			Coahuila	GeneralCepeda	6259.159783191808	
99	guerrero, coahuila			Coahuila	Guerrero	1082.3835729639293	
100	hidalgo, coahuila			Coahuila	Hidalgo	554.1511794550227	
101	jiménez, coahuila			Coahuila	Jiménez	7936.428834846239	
102	juárez, coahuila			Coahuila	Juárez	856.2143345868501	
103	lamadrid, coahuila			Coahuila	Lamadrid	286.8988404344257	
104	matamoros, coahuila	301170000.0	17597.3631	Coahuila	Matamoros	30355.73398490242	72.5016061349693
105	monclova, coahuila	795800000.0	46498.594000000005	Coahuila	Monclova	15216.023054408077	67.27638032580496
106	morelos, coahuila			Coahuila	Morelos	4477.967269688182	
107	múzquiz, coahuila	217560000.0	12712.0308	Coahuila	Múzquiz	12073.520597369179	5.022881179856969
108	nadadores, coahuila			Coahuila	Nadadores	4845.649898836898	
109	nava, coahuila			Coahuila	Nava	57045.928686422776	
110	ocampo, coahuila			Coahuila	Ocampo	4301.460592866604	
111	piedrasnegras, coahuila	534900000.0	31254.207000000002	Coahuila	PiedrasNegras	58187.6536043008	86.17542785296327
112	progreso, coahuila			Coahuila	Progreso	3588.501177596304	
113	ramosarizpe, coahuila	293700000.0	17160.891	Coahuila	RamosArizpe	14949.012753841083	12.889064129356198
