	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)
223	city of howell-39540	594200424.83472	30975.668146633954	Howell	City of Howell	39540	1642.508412531756	94.69742378192981
224	city of pinconning-64160	69783592.7084	3637.8186878888914	Pinconning	City of Pinconning	64160	120.3175623875038	96.69259045845062
225	city of tawas city-78140	102332838.25795999	5334.610858387454	Tawas City	City of Tawas City	78140	35.541489568237786	99.33375665982538
226	city of sterling heights-76460	9843749077.4772	513154.6394088864	Sterling Heights	City of Sterling Heights	76460	229076.27428143454	55.35921207975196
227	city of brown city-11180	53664137.382488005	2797.5114817490994	Brown City	City of Brown City	11180	123.54633058844335	95.58370604036993
228	city of oak park-59920	1530235343.0693998	79771.16843420781	Oak Park	City of Oak Park	59920	34471.43857700948	56.787095822170144
229	city of munising-56200	166228628.31998402	8665.498394320766	Munising	City of Munising	56200	423.31980616401603	95.11488218102431
230	city of gladwin-32320	128546466.94520402	6701.127321853485	Gladwin	City of Gladwin	32320	86.08071423839986	98.71542935831593
231	city of perry-63700	76388586.43431202	3982.137010820685	Perry	City of Perry	63700	249.8317287808644	93.72618952833629
232	city of hillsdale-38460	413576796.15648	21559.7583836373	Hillsdale	City of Hillsdale	38460	921.4953121846767	95.7258551056674
233	city of inkster-40680	875956435.1135601	45663.60896246989	Inkster	City of Inkster	40680	49287.31619827314	7.935656681848151
234	city of st joseph-70960	776464212.2263892	40477.07938336166	St Joseph	City of St Joseph	70960	6931.668029697017	82.87507859930646
235	city of carson city-13600	48915047.2936768	2549.9414154193714	Carson City	City of Carson City	13600	29.905287187799644	98.82721669576549
236	city of caseville-13760	67058592.8354152	3495.764444510194	Caseville	City of Caseville	13760	57.369014953917144	98.35889929471621
237	city of eaton rapids-24540	238278003.68172002	12421.432331928065	Eaton Rapids	City of Eaton Rapids	24540	1084.828325690738	91.26647960797327
238	city of grand haven-33340	1078368001.47816	56215.32391705647	Grand Haven	City of Grand Haven	33340	5690.014753126791	89.87817848115188
239	city of cadillac-12320	895290186.5390401	46671.47742428016	Cadillac	City of Cadillac	12320	866.8747572969314	98.14260270910997
240	city of cedar springs-14200	143291562.94491202	7469.789176318263	Cedar Springs	City of Cedar Springs	14200	491.33544282895343	93.42236532743587
241	city of hudsonville-39800	401080049.15764	20908.30296258777	Hudsonville	City of Hudsonville	39800	7384.6094211252175	64.68097179221645
242	city of st ignace-70840	234462174.54929686	12222.513159254844	St Ignace	City of St Ignace	70840	3.836104189921109	99.96861444009151
243	city of linden-47820	128428052.425728	6694.9543729532	Linden	City of Linden	47820	2929.683328298412	56.24042876029184
244	city of albion-00980	554095427.7332801	28884.99464773589	Albion	City of Albion	00980	1017.0563586755686	96.47894565645943
245	city of harbor springs-36560	112397471.60897201	5859.28019497571	Harbor Springs	City of Harbor Springs	36560	448.7079509085605	92.34192706310027
246	city of ferndale-27880	1396776986.8317199	72813.98432353756	Ferndale	City of Ferndale	27880	28328.78761903432	61.09430368051309
247	city of village of douglas-22740	144473313.558824	7531.393835821495	Village of Douglas	City of Village of Douglas	22740	317.30933076874913	95.78684453786583
248	city of burton-12060	1570724180.92736	81881.85155174328	Burton	City of Burton	12060	40306.36632635875	50.77496959031501
249	city of alpena-01740	722878355.46948	37683.648670623996	Alpena	City of Alpena	01740	350.05144842050953	99.07107867531577
250	city of dewitt-22120	164775181.362184	8589.730204410651	Dewitt	City of Dewitt	22120	1879.2066150224184	78.12263516661461
251	city of rockwood-69180	125231519.55738	6528.319114526219	Rockwood	City of Rockwood	69180	7573.951280860609	16.016866638883272
252	city of ludington-49640	710804955.49268	37054.26232983341	Ludington	City of Ludington	49640	10022.110140363375	72.9528817733492
253	city of morenci-55500	86790520.73489201	4524.38984590992	Morenci	City of Morenci	55500	56.329491458282114	98.75498148089063
254	city of marquette-51900	1089243489.57956	56782.263111782464	Marquette	City of Marquette	51900	1519.1168390645928	97.32466309756968
255	city of newaygo-57080	99005096.178252	5161.1356637722765	Newaygo	City of Newaygo	57080	434.6387592384007	91.5786216919413
256	city of st clair shores-70760	4505965828.951374	234895.9986632351	St Clair Shores	City of St Clair Shores	70760	55091.857794410644	76.5462766041432
257	city of davison-19880	215771318.87012002	11248.158852699356	Davison	City of Davison	19880	385.5372064568976	96.57244166351387
258	city of norton shores-59140	1622565126.8549201	84584.32006294698	Norton Shores	City of Norton Shores	59140	97810.08893099251	15.636194578620504
259	city of grosse pointe park-35540	484467945.285976	25255.313987757927	Grosse Pointe Park	City of Grosse Pointe Park	35540	4679.810029966559	81.46999862193353
260	city of flat rock-28360	618281978.93792	32231.039562033766	Flat Rock	City of Flat Rock	28360	23949.53416625974	25.69419264257658
261	city of croswell-18920	139452033.18984398	7269.634490186567	Croswell	City of Croswell	18920	75.67352520079562	98.95904635504097
262	city of gaastra-31160	15576340.889401602	811.9946505645055	Gaastra	City of Gaastra	31160	21.42947012358939	97.36088530771829
263	city of negaunee-56860	188321498.508908	9817.199717269374	Negaunee	City of Negaunee	56860	858.6148154634509	91.25397424732975
264	city of portland-65860	192173568.477664	10018.008124740623	Portland	City of Portland	65860	236.9406103153059	97.63485308291821
265	city of coloma-17320	72625136.496516	3785.948365563379	Coloma	City of Coloma	17320	97.31178713540118	97.42965889285391
266	city of charlotte-14820	543941231.5390799	28355.656400132233	Charlotte	City of Charlotte	14820	1397.3813036338106	95.07194866549696
267	city of tecumseh-79120	535250269.18024	27902.596532365907	Tecumseh	City of Tecumseh	79120	1705.095774348189	93.88911432536271
268	city of manton-50880	43741876.78846	2280.26403698242	Manton	City of Manton	50880	47.65699313130944	97.91002303424581
269	city of ferrysburg-27960	296298785.789252	15446.055703193704	Ferrysburg	City of Ferrysburg	27960	4258.387292148795	72.43058439010868
270	city of plainwell-64740	238892148.892152	12453.447721747883	Plainwell	City of Plainwell	64740	431.0975581699072	96.53832763583159
271	city of west branch-85580	132206871.01389599	6891.944185954398	West Branch	City of West Branch	85580	37.12499675458588	99.46132766382169
272	city of melvindale-52940	488813171.9872	25481.830655692735	Melvindale	City of Melvindale	52940	29315.19827074063	15.043533044559766
273	city of eastpointe-24290	1230887903.8410401	64166.18642723342	Eastpointe	City of Eastpointe	24290	30574.441095993017	52.35116375403509
274	city of warren-84000	10592111313.5932	552166.7627776135	Warren	City of Warren	84000	258810.36905511364	53.12822384433339
275	city of orchard lake village-61020			Orchard Lake Village	City of Orchard Lake Village	61020	13222.216239654314	
276	city of grosse pointe woods-35580	806143886.451788	42024.28080073171	Grosse Pointe Woods	City of Grosse Pointe Woods	35580	7262.464623997106	82.71840829725596
277	city of novi-59440	4163741947.1849203	217055.86770674988	Novi	City of Novi	59440	120830.02485236198	44.33229281983402
278	city of sylvan lake-77860	106501767.70949201	5551.937150695819	Sylvan Lake	City of Sylvan Lake	77860	2257.3867290762923	59.34055685782796
279	city of rogers city-69260	204272557.83823198	10648.728440107032	Rogers City	City of Rogers City	69260	0.8942584227584184	99.99160220464078
280	city of imlay city-40320	279914847.03852403	14591.960976118256	Imlay City	City of Imlay City	40320	828.9449237791995	94.3191670733229
281	mayfield township-52500			Mayfield	Mayfield Township	52500	2479.0203675388557	
282	stronach township-76840			Stronach	Stronach Township	76840	1299.5670126512466	
283	newark township-57040			Newark	Newark Township	57040	8535.401027784093	
284	everett township-26700			Everett	Everett Township	26700	2325.7378657323725	
285	winsor township-87960	147690542.37216	7699.1079738606995	Winsor	Winsor Township	87960	2674.6775813894037	65.259902959275
286	franklin township-30300			Franklin	Franklin Township	30300	6333.715932720396	
287	chandler township-14600			Chandler	Chandler Township	14600	822.4621477661573	
288	metamora township-53360	23714279.287476003	1236.225379256124	Metamora	Metamora Township	53360	3363.8431237711916	172.10597519000322
289	elbridge township-25200			Elbridge	Elbridge Township	25200	669.2553586023068	
290	perry township-63720	37591507.6248492	1959.6452924833886	Perry	Perry Township	63720	6452.558239224987	229.27174443125318
291	webber township-85060	53690542.33938601	2798.8879721521926	Webber	Webber Township	85060	1121.4430031385796	59.932551274060074
292	moltke township-54860			Moltke	Moltke Township	54860	3437.616838693648	
293	sherman township-73180			Sherman	Sherman Township	73180	1015.4112532280403	
294	groveland township-35640			Groveland	Groveland Township	35640	11578.708275407329	
295	mastodon township-52300	8161037.6768688	425.43489409517053	Mastodon	Mastodon Township	52300	1367.5804920630949	221.45470694680833
296	florence township-29060			Florence	Florence Township	29060	3878.226771303881	
297	tompkins township-79980			Tompkins	Tompkins Township	79980	4832.388140861266	
298	fawn river township-27540			Fawn River	Fawn River Township	27540	1748.687575473643	
299	ransom township-67120			Ransom	Ransom Township	67120	1256.473978078243	
300	marathon township-51420	12945697.3008828	674.8592002950203	Marathon	Marathon Township	51420	2295.3843243669594	240.12788495192967
301	marathon township-51420	24878298.3851404	1296.905694817369	Marathon	Marathon Township	51420	2295.3843243669594	76.98930103705008
302	sumpter township-77360			Sumpter	Sumpter Township	77360	47301.11375951918	
303	watson township-84580			Watson	Watson Township	84580	6197.821824232934	
304	woodland township-88440	14875782.9093148	775.4745630625805	Woodland	Woodland Township	88440	2649.669936563706	241.68366865566404
305	west traverse township-86300			West Traverse	West Traverse Township	86300	1418.472691741086	
306	hudson township-39740			Hudson	Hudson Township	39740	1768.314412529651	
307	brown township-11160			Brown	Brown Township	11160	1259.0177148182127	
308	brady township-09920			Brady	Brady Township	09920	2702.189284789497	
309	bearinger township-06400			Bearinger	Bearinger Township	06400	233.46878147927669	
310	eden township-24820			Eden	Eden Township	24820	1087.2346392735046	
311	union township-81320			Union	Union Township	81320	686.9536086802107	
312	mitchell township-54740			Mitchell	Mitchell Township	54740	298.6482867827033	
313	pinconning township-64180			Pinconning	Pinconning Township	64180	3974.9415608533227	
314	peacock township-63120			Peacock	Peacock Township	63120	290.893985074124	
315	hillman township-38400	34207407.577504	1783.2321570152835	Hillman	Hillman Township	38400	902.4487223097398	49.392527565214536
316	johnstown township-41860			Johnstown	Johnstown Township	41860	1622.8541109734135	
317	osceola township-61280			Osceola	Osceola Township	61280	2312.7784953320543	
318	lee township-46620			Lee	Lee Township	46620	1295.566664280588	
319	polkton township-65320			Polkton	Polkton Township	65320	6134.5592069787235	
320	wales township-82900			Wales	Wales Township	82900	5694.680905547965	
321	pickford township-63980			Pickford	Pickford Township	63980	5111.845258213011	
322	nester township-56980			Nester	Nester Township	56980	599.0450251737268	
323	decatur township-21060	78461760.37535599	4090.2115683673073	Decatur	Decatur Township	21060	7283.225862837693	78.06477100510827
324	south arm township-74680			South Arm	South Arm Township	74680	4074.3586412402824	
325	brownstown township-11220			Brownstown	Brownstown Township	11220	99058.82516275928	
326	lodi township-49120			Lodi	Lodi Township	49120	126679.49991555183	
327	tobacco township-79860			Tobacco	Tobacco Township	79860	2657.634461868602	
328	norwood township-59340			Norwood	Norwood Township	59340	3303.9056764618067	
329	medina township-52820			Medina	Medina Township	52820	3927.441967733884	
330	lebanon township-46580			Lebanon	Lebanon Township	46580	1694.5654494148318	
331	forest home township-29600	65384613.281151995	3408.4998903464534	Forest Home	Forest Home Township	29600	1285.4003772241133	62.28838437505537
332	weldon township-85160	26926723.963365998	1403.6901202102695	Weldon	Weldon Township	85160	1186.5702263996818	15.46779383031232
333	onondaga township-60800			Onondaga	Onondaga Township	60800	9474.891235432578	
334	hagar township-35860			Hagar	Hagar Township	35860	2499.2149694126088	
335	adams township-00300	18464503.745581202	962.554580257148	Adams	Adams Township	00300	2010.0978477829253	108.82949279052045
336	bingham township-08440			Bingham	Bingham Township	08440	1983.9965732578514	
337	moore township-55320			Moore	Moore Township	55320	2343.8099832572243	
338	bark river township-05420			Bark River	Bark River Township	05420	1064.026512428928	
339	greenwood township-35120			Greenwood	Greenwood Township	35120	5257.705247696997	
340	columbia township-17400	53334737.686024	2780.339875572431	Columbia	Columbia Township	17400	6866.636729702659	146.97112716440537
341	stanton township-76200			Stanton	Stanton Township	76200	7445.771093983733	
342	bergland township-07640			Bergland	Bergland Township	07640	264.55622965882117	
343	carlton township-13340			Carlton	Carlton Township	13340	3556.971904424025	
344	charlton township-14840			Charlton	Charlton Township	14840	779.1349146331111	
345	reading township-67520			Reading	Reading Township	67520	5963.417142919216	
346	clyde township-16720			Clyde	Clyde Township	16720	3106.567104041693	
347	brookfield township-10940	8069963.4164632	420.6871929002266	Brookfield	Brookfield Township	10940	856.6980333351146	103.64252770069369
348	royalton township-70100			Royalton	Royalton Township	70100	7834.088526555681	
349	clement township-16360			Clement	Clement Township	16360	653.3063457174131	
350	eagle harbor township-23620			Eagle Harbor	Eagle Harbor Township	23620	53.125725200831276	
351	aetna township-00500	20587821.656911798	1073.243142974812	Aetna	Aetna Township	00500	2455.4937854343234	128.7919379226774
352	ridgeway township-68540	21573895.042311598	1124.6471485557036	Ridgeway	Ridgeway Township	68540	1554.1702359267397	38.191808686185624
353	tyrone township-81160			Tyrone	Tyrone Township	81160	23149.221848638863	
354	leroy township-47120	14280768.4133612	744.4564573885193	Leroy	Leroy Township	47120	1344.8557412612518	80.64934865080956
355	armada township-03540	114688843.646076	5978.729419269941	Armada	Armada Township	03540	4114.189154959077	31.18622927308427
356	shelby township-72860	21104895.5375056	1100.1982043701669	Shelby	Shelby Township	72860	2926.9481359929205	166.03825786722834
357	flynn township-29240			Flynn	Flynn Township	29240	903.8871124771099	
358	newkirk township-57480	13506848.66539684	704.1120209271372	Newkirk	Newkirk Township	57480	580.200525639015	17.598264424595694
359	pokagon township-65300			Pokagon	Pokagon Township	65300	7906.55423422303	
360	marquette township-51880			Marquette	Marquette Township	51880	2175.4282941233078	
361	quincy township-66660	102283978.970716	5332.063823743425	Quincy	Quincy Township	66660	2903.9588396765853	45.5378079544848
362	kalamazoo township-42180			Kalamazoo	Kalamazoo Township	42180	13064.916862826254	
363	deerfield township-21240			Deerfield	Deerfield Township	21240	1523.5656107716422	
364	lanse township-45560	139848668.63824803	7290.311096111869	Lanse	Lanse Township	45560	3190.0851334848826	56.24212613935986
365	bloomfield township-09080			Bloomfield	Bloomfield Township	09080	596.3336715297999	
366	platte township-64760			Platte	Platte Township	64760	930.6360415597525	
367	richland township-68280			Richland	Richland Township	68280	1319.8195390316769	
368	chesaning township-15160	120487083.449264	6280.991660210132	Chesaning	Chesaning Township	15160	1456.9436152156131	76.80392374272202
369	monterey township-55200			Monterey	Monterey Township	55200	4649.0961394895985	
370	vergennes township-81920			Vergennes	Vergennes Township	81920	5347.714478180252	
371	green oak township-35060			Green Oak	Green Oak Township	35060	36133.33324507347	
372	avery township-04580			Avery	Avery Township	04580	591.378665751679	
373	dorr township-22680			Dorr	Dorr Township	22680	37151.27367345877	
374	mansfield township-50860			Mansfield	Mansfield Township	50860	281.84404684718305	
375	albion township-01000			Albion	Albion Township	01000	12182.69997607001	
376	bingham township-08420	107257088.386484	5591.31201758741	Bingham	Bingham Township	08420	1397.8720115808799	74.99921293635752
377	home township-38860			Home	Home Township	38860	539.2055929220747	
378	heath township-37460			Heath	Heath Township	37460	2462.653675210283	
379	klacking township-43640			Klacking	Klacking Township	43640	1115.763053271474	
380	wayne township-84920			Wayne	Wayne Township	84920	1866.1857243692002	
381	ontwa township-60900	58789151.954604	3064.678491393506	Ontwa	Ontwa Township	60900	2435.870412859505	20.51791338960593
382	carp lake township-13520			Carp Lake	Carp Lake Township	13520	717.1542417318554	
383	benona township-07300			Benona	Benona Township	07300	3865.9738532118495	
384	churchill township-15740			Churchill	Churchill Township	15740	620.9469565468477	
385	bloomfield township-09110			Bloomfield	Bloomfield Township	09110	108631.09289308453	
386	almira township-01640	16459906.3490132	858.0549179740581	Almira	Almira Township	01640	3667.299317988788	327.39680656426964
387	east china township-23820			East China	East China Township	23820	5678.11821471389	
388	butler township-12140			Butler	Butler Township	12140	2257.0887085366394	
389	haight township-35960			Haight	Haight Township	35960	435.98806745013366	
390	galien township-31320	24194931.681784	1261.2817885713998	Galien	Galien Township	31320	970.4973853267752	23.054673894402594
391	branch township-10020			Branch	Branch Township	10020	400.66719376588475	
392	white oak township-86900			White Oak	White Oak Township	86900	4654.605313162022	
393	vevay township-82220			Vevay	Vevay Township	82220	6935.1222533779	
394	denton township-21640			Denton	Denton Township	21640	2744.63998940023	
395	laird township-44220			Laird	Laird Township	44220	728.7859340306591	
396	evergreen township-26740			Evergreen	Evergreen Township	26740	542.755696225337	
397	lakefield township-44540			Lakefield	Lakefield Township	44540	2809.493456362556	
398	lee township-46640			Lee	Lee Township	46640	5558.956005312469	
399	bismark township-08700			Bismark	Bismark Township	08700	1470.8883259027102	
400	greenbush township-34840			Greenbush	Greenbush Township	34840	1811.010804184598	
401	posen township-66020	10221409.7509232	532.8420903156264	Posen	Posen Township	66020	234.50583351359873	55.989619105598365
402	california township-12560			California	California Township	12560	856.4323762441403	
403	lake township-44360			Lake	Lake Township	44360	1151.3718656945732	
404	trout lake township-80600			Trout Lake	Trout Lake Township	80600	189.7449682906267	
405	tilden township-79780			Tilden	Tilden Township	79780	12903.551607891388	
406	hiawatha township-37940			Hiawatha	Hiawatha Township	37940	586.5957878395383	
407	greenwood township-35240			Greenwood	Greenwood Township	35240	3813.049463296382	
408	springfield township-75720			Springfield	Springfield Township	75720	892.2335013658857	
409	albert township-00940			Albert	Albert Township	00940	1056.5833096301499	
410	whitefish township-86700			Whitefish	Whitefish Township	86700	379.3678576444977	
411	chikaming township-15480			Chikaming	Chikaming Township	15480	5216.762791170996	
412	morton township-55600	19726810.0227232	1028.3586064845604	Morton	Morton Township	55600	1616.3221869491265	57.17495596934976
413	mellen township-52860			Mellen	Mellen Township	52860	391.16426391096314	
414	penn township-63380	15847211.2324512	826.115121547681	Penn	Penn Township	63380	1993.8260107475028	141.34965681443768
415	newton township-57640			Newton	Newton Township	57640	812.6396189031175	
416	adams township-00280			Adams	Adams Township	00280	2796.1404264093208	
417	sullivan township-77100			Sullivan	Sullivan Township	77100	1960.9869316962797	
418	norvell township-59180			Norvell	Norvell Township	59180	1915.077070091217	
419	holland township-38620			Holland	Holland Township	38620	197.89963938569042	
420	sand beach township-71260			Sand Beach	Sand Beach Township	71260	2502.791054666022	
421	denmark township-21600	66244865.451703995	3453.344835997329	Denmark	Denmark Township	21600	1114.8926582005574	67.71557110141376
422	montrose township-55300			Montrose	Montrose Township	55300	6540.052982182588	
423	austin township-04380			Austin	Austin Township	04380	1685.2171748858755	
424	lilley township-47440			Lilley	Lilley Township	47440	783.411207185832	
425	home township-38840	63404952.809848	3305.3001899773762	Home	Home Township	38840	1936.6870443606244	41.406621697078585
426	lansing township-46020			Lansing	Lansing Township	46020	17186.981559246433	
427	ada township-00240			Ada	Ada Township	00240	7952.753861469735	
428	hamlin township-36220			Hamlin	Hamlin Township	36220	1765.9718851191014	
429	cedar creek township-14120			Cedar Creek	Cedar Creek Township	14120	1080.9409053399584	
430	southfield township-74920	82529963.438076	4302.286994026902	Southfield	Southfield Township	74920	39880.34994797642	826.956988302837
431	southfield township-74920	226477317.96159202	11806.262585337792	Southfield	Southfield Township	74920	39880.34994797642	237.78979299938547
432	southfield township-74920	748070803.386852	38996.93098055659	Southfield	Southfield Township	74920	39880.34994797642	2.265355106688498
433	verona township-82140			Verona	Verona Township	82140	1474.6138980794055	
434	sanilac township-71580	36876574.702257596	1922.3758392286884	Sanilac	Sanilac Township	71580	1027.3944120926262	46.55600683657958
435	st joseph township-70980	75940083.88434	3958.7565728906443	St Joseph	St Joseph Township	70980	13856.408393117654	250.01920774835224
436	isabella township-41160	16230080.811270801	846.0741126915468	Isabella	Isabella Township	41160	3847.1690133160523	354.7082762144047
437	kenockee township-42740			Kenockee	Kenockee Township	42740	2913.0786482094663	
438	deerfield township-21220			Deerfield	Deerfield Township	21220	19941.526816824116	
439	rose township-69580			Rose	Rose Township	69580	10769.769443845307	
440	scio township-71940			Scio	Scio Township	71940	23822.424600924525	
441	lima township-47460			Lima	Lima Township	47460	11960.578796805903	
442	burt township-11960			Burt	Burt Township	11960	374.4793997264264	
443	waverly township-84760			Waverly	Waverly Township	84760	531.5394461639188	
444	inverness township-40820			Inverness	Inverness Township	40820	7316.834023093272	
445	sylvan township-77760			Sylvan	Sylvan Township	77760	611.1678678335595	
446	hudson township-39760			Hudson	Hudson Township	39760	77.30075176862027	
447	deerfield township-21140			Deerfield	Deerfield Township	21140	5369.123905832435	
448	marion township-51700			Marion	Marion Township	51700	857.9446240352718	
449	grant township-34300			Grant	Grant Township	34300	169.5688604511892	
450	iron river township-41000			Iron River	Iron River Township	41000	762.4000010500793	
451	hampton township-36260			Hampton	Hampton Township	36260	2288.389164549085	
452	roxand township-70020	25807460.839476	1345.342933561884	Roxand	Roxand Township	70020	3921.594059392038	191.49400956151453
453	robinson township-69000			Robinson	Robinson Township	69000	5298.792998667322	
454	berlin township-07720	18227758.5601436	950.2130537402859	Berlin	Berlin Township	07720	51942.99526760212	5366.457765775894
455	berlin township-07720	59101806.332632005	3080.9771641201064	Berlin	Berlin Township	07720	51942.99526760212	1585.926006609545
456	walker township-82940			Walker	Walker Township	82940	436.6094717653707	
457	walton township-83180			Walton	Walton Township	83180	12924.410821953432	
458	hinton township-38540			Hinton	Hinton Township	38540	1212.6623032234577	
459	grant township-34320			Grant	Grant Township	34320	10367.879759320576	
460	sherman township-73300			Sherman	Sherman Township	73300	7211.293783019425	
461	franklin township-30320			Franklin	Franklin Township	30320	8892.85855684825	
462	hawes township-37220			Hawes	Hawes Township	37220	991.6665342404476	
463	grant township-34340			Grant	Grant Township	34340	919.0016794975545	
464	wheeler township-86620	54432507.22956	2837.566601876963	Wheeler	Wheeler Township	86620	2401.7696364336143	15.3581228773655
465	white lake township-86860			White Lake	White Lake Township	86860	65679.97897447449	
466	montmorency township-55240			Montmorency	Montmorency Township	55240	771.9389527458653	
467	oliver township-60540			Oliver	Oliver Township	60540	329.1095366766895	
468	green township-34740			Green	Green Township	34740	1198.7225957838343	
469	bridgehampton township-10420	17525526.0482132	913.605672893354	Bridgehampton	Bridgehampton Township	10420	650.2482735615049	28.82615631072062
470	south branch township-74820			South Branch	South Branch Township	74820	263.38499880547545	
471	kingston township-43400	14046154.48072	732.2260330799336	Kingston	Kingston Township	43400	1035.7772240371276	41.45594082204077
472	plainfield township-64640			Plainfield	Plainfield Township	64640	1371.9236118290514	
473	custer township-19460			Custer	Custer Township	19460	1820.4044072415134	
474	alpena township-01760			Alpena	Alpena Township	01760	21371.122131302516	
475	arvon township-03660			Arvon	Arvon Township	03660	170.06402368031388	
476	unadilla township-81240			Unadilla	Unadilla Township	81240	6272.69708136237	
477	watertown township-84440			Watertown	Watertown Township	84440	1418.9436298893484	
478	jamestown township-41520			Jamestown	Jamestown Township	41520	83404.74182794712	
479	cold springs township-17000			Cold Springs	Cold Springs Township	17000	884.2550780261406	
480	harris township-36760			Harris	Harris Township	36760	1655.884646461259	
481	redding township-67600			Redding	Redding Township	67600	433.08633186181186	
482	seney township-72500			Seney	Seney Township	72500	35.535842931048315	
483	sparta township-75440	254059469.72403198	13244.120156713787	Sparta	Sparta Township	75440	6746.185829755999	49.062785976490986
484	dickson township-22320			Dickson	Dickson Township	22320	889.9385503719169	
485	wakeshma township-82840			Wakeshma	Wakeshma Township	82840	2599.4849500013875	
486	eveline township-26680			Eveline	Eveline Township	26680	4362.609859659755	
487	ocqueoc township-60160			Ocqueoc	Ocqueoc Township	60160	220.59717289969308	
488	flushing township-29220			Flushing	Flushing Township	29220	17440.56749194697	
489	benzonia township-07600	38680835.675764	2016.4319637775773	Benzonia	Benzonia Township	07600	1344.5800204610625	33.318850096874556
490	benzonia township-07600	28020096.922055602	1460.6876525467585	Benzonia	Benzonia Township	07600	1344.5800204610625	7.948833680031345
491	big rapids township-08320			Big Rapids	Big Rapids Township	08320	8979.821513124769	
492	allendale township-01360			Allendale	Allendale Township	01360	10096.049341283386	
493	sodus township-74440			Sodus	Sodus Township	74440	2258.316474796798	
494	enterprise township-26200			Enterprise	Enterprise Township	26200	210.60779008472466	
495	washington township-84080			Washington	Washington Township	84080	686.1228281991748	
496	burtchville township-12020			Burtchville	Burtchville Township	12020	97.26146529520145	
497	pavilion township-62960			Pavilion	Pavilion Township	62960	8296.802933398223	
498	lincoln township-47720			Lincoln	Lincoln Township	47720	1014.6615325873959	
499	litchfield township-48000			Litchfield	Litchfield Township	48000	2291.5466669281755	
500	eckford township-24700			Eckford	Eckford Township	24700	4375.4424560366515	
501	wayland township-84900			Wayland	Wayland Township	84900	5279.287129926639	
502	liberty township-47380			Liberty	Liberty Township	47380	1507.0467155063843	
503	wheatland township-86560			Wheatland	Wheatland Township	86560	1565.2222264021689	
504	colfax township-17200			Colfax	Colfax Township	17200	1431.5752665837015	
505	amber township-01980			Amber	Amber Township	01980	1356.604213724532	
506	carrollton township-13540			Carrollton	Carrollton Township	13540	3417.959940302753	
507	rust township-70380			Rust	Rust Township	70380	935.9646875233581	
508	bay mills township-06070			Bay Mills	Bay Mills Township	06070	1852.4141903439638	
509	grand blanc township-33300			Grand Blanc	Grand Blanc Township	33300	57816.7888829264	
510	kawkawlin township-42360			Kawkawlin	Kawkawlin Township	42360	2357.3933300231647	
511	wheatland township-86540			Wheatland	Wheatland Township	86540	3928.5613856566297	
512	freedom township-30520			Freedom	Freedom Township	30520	10077.118622225376	
513	hancock township-36320			Hancock	Hancock Township	36320	315.2502330598745	
514	chester township-15280			Chester	Chester Township	15280	1097.9944354467254	
515	elmwood township-25700			Elmwood	Elmwood Township	25700	1767.5929727857488	
516	pipestone township-64480			Pipestone	Pipestone Township	64480	3483.0846022327314	
517	orion township-61100	136158036.225204	7097.918428419884	Orion	Orion Township	61100	35080.07136136161	394.2304101566158
518	wilson township-87680			Wilson	Wilson Township	87680	9600.523365118032	
519	atlas township-04000	75468311.43089199	3934.1630748923994	Atlas	Atlas Township	04000	8189.727088322287	108.16948693836946
520	clinton township-16500	99145837.78897601	5168.472523939319	Clinton	Clinton Township	16500	3275.0967441141815	36.63317877874757
521	chester township-15260			Chester	Chester Township	15260	2885.5127715232475	
522	ira township-40920			Ira	Ira Township	40920	3489.1181575529276	
523	deerfield township-21200	26617701.492693603	1387.5807788141174	Deerfield	Deerfield Township	21200	2300.6660626047983	65.8041173336979
524	pulawski township-66460			Pulawski	Pulawski Township	66460	51.23903354071185	
525	stephenson township-76400			Stephenson	Stephenson Township	76400	277.85146594935594	
526	dwight township-23540	22488983.3355748	1172.3507012835141	Dwight	Dwight Township	23540	414.89840997202816	64.60970172851958
527	cambria township-12700			Cambria	Cambria Township	12700	7752.077785959991	
528	porter township-65720			Porter	Porter Township	65720	2521.369283076631	
529	reeder township-67840			Reeder	Reeder Township	67840	595.9610702015623	
530	wheatland township-86580			Wheatland	Wheatland Township	86580	1108.404383364208	
531	bruce township-11280			Bruce	Bruce Township	11280	4682.472201216586	
532	millington township-54240	41520748.31762	2164.4766097975307	Millington	Millington Township	54240	3136.8718941584098	44.925192536584575
533	sciota township-71960			Sciota	Sciota Township	71960	3047.069819230782	
534	central lake township-14420	64777680.989792004	3376.860509997857	Central Lake	Central Lake Township	14420	1876.2297574197385	44.438636068478615
535	cambridge township-12720	38767136.226432	2020.9308114839002	Cambridge	Cambridge Township	12720	3668.300613153411	81.5153983653653
536	waterford township-84240			Waterford	Waterford Township	84240	98113.99762759867	
537	west bloomfield township-85480			West Bloomfield	West Bloomfield Township	85480	127059.2910713693	
538	paw paw township-63000	170456637.792156	8885.904528105093	Paw Paw	Paw Paw Township	63000	10960.8032668253	23.350450504588938
539	arenac township-03360			Arenac	Arenac Township	03360	934.0256224966348	
540	comins township-17600			Comins	Comins Township	17600	711.9817331863508	
541	maple ridge township-51260			Maple Ridge	Maple Ridge Township	51260	462.56072199920936	
542	bourret township-09720			Bourret	Bourret Township	09720	744.3518109355664	
