	municipality	edgar_emission_2015(tons_CO2)
179	PLYMPTON	17763.310142653758
180	BERKLEY	16434.71799327767
181	KINGSTON	19482.299629803012
182	MONTAGUE	3362.0257233792463
183	WEST STOCKBRIDGE	1176.3815555998328
184	DANVERS	12035.549835604295
185	OTIS	876.2398116915954
186	BECKET	966.7641708560171
187	GREAT BARRINGTON	6080.032690270908
188	ROWE	706.3212257007765
189	MIDDLEFIELD	617.4594219136574
190	GROTON	27308.884892115857
191	TRURO	1721.7894866374336
192	WINCHENDON	8580.92010288398
193	WELLFLEET	1902.552062963867
194	AMESBURY	14551.12952323036
195	HANCOCK	5682.322372554549
196	WESTBOROUGH	49732.54364280463
197	HALIFAX	20948.84942543899
198	WORTHINGTON	1020.1500394164474
199	NORWELL	15594.963627004377
200	BREWSTER	9116.536518224837
201	EDGARTOWN	3268.8695274562865
202	CLINTON	6089.659894042989
203	STOW	33309.85228063828
204	ATTLEBORO	53196.67523444085
205	HARWICH	9344.544363301542
206	STOUGHTON	74781.2122764197
207	SOMERSET	19835.269938608482
208	NEWBURY	23261.74743890309
209	HANOVER	16420.645347034308
210	UXBRIDGE	51907.14000163077
211	GROVELAND	9803.058496344729
212	MILLBURY	66934.91507250511
213	PELHAM	408.81733522046176
214	WAKEFIELD	24142.08747378843
215	ROCKLAND	11053.759292792347
216	MEDWAY	22035.156096018487
217	WEST BROOKFIELD	4180.519059253132
218	NEW SALEM	16346.24224785205
219	CHATHAM	7564.46002140746
220	WALTHAM	93021.19056192743
221	HOLBROOK	27427.843466749993
222	PEPPERELL	34490.92694868004
223	GILL	1068.2907554331823
224	DENNIS	10189.505461550503
225	LEVERETT	1359.4669019118687
226	BROOKFIELD	7447.583625692463
227	NORTH ATTLEBOROUGH	36615.23026369575
228	WEYMOUTH	39634.86467487843
229	WESTHAMPTON	7504.0636871937595
230	WEST BOYLSTON	10580.391333891685
231	LEICESTER	113146.4317434425
232	HINSDALE	1343.2875114129872
233	SHREWSBURY	19092.943614595784
234	PROVINCETOWN	5533.137910901761
235	UPTON	26274.194569762814
236	BILLERICA	74340.58836970555
237	ROCHESTER	11459.127004194952
238	HARVARD	24850.379487321483
239	WOBURN	39739.3500537959
240	WILBRAHAM	17908.008539261304
241	GEORGETOWN	6177.765340976115
242	CARVER	31936.848243417327
243	EASTHAM	1911.6349143009709
244	MELROSE	31251.64650396366
245	MANCHESTER	5388.557320862824
246	SUTTON	50269.08023469799
247	FRAMINGHAM	52745.56063439665
248	HOLYOKE	36946.17494362342
249	NEW ASHFORD	8813.72235612438
250	NEW MARLBOROUGH	1279.2124072395106
251	MONTGOMERY	2712.6028949461956
252	ANDOVER	115656.86851098092
253	EAST BROOKFIELD	5330.850918710468
254	SPENCER	21318.92101142857
255	WILMINGTON	54809.36789930148
256	RICHMOND	16316.24363209835
257	DOUGLAS	29245.488048788193
258	ABINGTON	26039.517689303928
259	SOUTHWICK	56848.60512367285
260	YARMOUTH	33825.882071028274
261	ALFORD	1283.3978708640552
262	SPRINGFIELD	108886.25119693988
263	BEDFORD	48948.40456178941
264	ASHLAND	29807.217568376305
265	MONROE	200.63989028885194
266	OAKHAM	4438.550520639456
267	HANSON	17785.219810181432
268	RAYNHAM	40609.92745618706
269	WESTON	84294.6931418555
270	GARDNER	4938.746753743109
271	ORANGE	3205.651199593731
272	DARTMOUTH	211218.56705582596
273	CUMMINGTON	636.7072736619024
274	GRANBY	9674.148163543461
275	LEE	4610.593235667017
276	STERLING	46421.78387778463
277	WARREN	8697.197400978688
278	LAKEVILLE	16281.044110135635
279	ROYALSTON	4587.5207341169835
280	WATERTOWN	40941.82427353221
281	EASTON	126109.82751138238
282	EAST BRIDGEWATER	32936.32394265442
283	NATICK	77087.3282154319
284	BROCKTON	76026.8312726693
285	WENDELL	3933.536205295741
286	WESTFORD	140305.36052942136
287	NORTH READING	7965.779046056623
288	TISBURY	11123.194642124608
289	ACTON	24614.999261619643
290	MIDDLETON	8470.893613085598
291	TYRINGHAM	295.57808542269447
292	HINGHAM	20421.342500109404
293	OAK BLUFFS	5898.960220454712
294	RUTLAND	6094.83143673168
295	MATTAPOISETT	10647.115470437957
296	WESTPORT	50936.159755292596
297	CHARLEMONT	1642.323290183493
298	WEST SPRINGFIELD	82193.55238990979
299	NEW BRAINTREE	1309.8855577366799
300	DEDHAM	159188.02898022186
301	PRINCETON	38531.2838236917
302	LINCOLN	46261.40537366699
303	BUCKLAND	2667.3422325733595
304	HATFIELD	7286.08857152751
305	BOXBOROUGH	11819.013110712756
306	HOLDEN	30257.359824663552
307	METHUEN	100594.59230514825
308	ASHFIELD	3527.039535056396
309	SWANSEA	36942.638642869075
310	REHOBOTH	46851.5859745441
311	SHIRLEY	8546.151009935731
312	PHILLIPSTON	10063.977478675817
313	CHELMSFORD	132974.27068195416
314	SOUTH HADLEY	26877.291752683235
315	WILLIAMSBURG	3173.9990930082504
316	WEST NEWBURY	20466.354690387954
317	LITTLETON	18966.908190936432
318	HAVERHILL	36159.1558779113
319	HEATH	637.7706933444772
320	SUDBURY	26826.51183317083
321	ROWLEY	4767.17129824868
322	WHATELY	7280.190897410265
323	BOURNE	22323.641830039836
324	WASHINGTON	7886.882085759861
325	WILLIAMSTOWN	16081.955524775396
326	SHELBURNE	4665.318710204327
327	EAST LONGMEADOW	17206.8615785473
328	SOUTHAMPTON	41072.18807674732
329	MONSON	9651.079384465325
330	SANDISFIELD	1091.2600967442722
331	ERVING	490.5735915384014
332	MONTEREY	883.8821862437226
333	WEST TISBURY	9915.218057655515
334	TOWNSEND	7371.585585593865
335	WINTHROP	23367.334810230113
336	STOCKBRIDGE	9800.52157994479
337	ORLEANS	2615.3915944245364
338	AYER	6080.269408220377
339	OXFORD	60917.082303178235
340	HOPKINTON	70197.98814117599
341	RUSSELL	4862.6385546225665
342	MERRIMAC	11629.287311032036
343	NORTHBRIDGE	27729.994902139013
344	BLANDFORD	2817.7352560531504
345	EASTHAMPTON	23060.26044224025
346	NORTH ANDOVER	48873.9942494771
347	NORTON	55500.43570163006
348	HAMPDEN	11850.524625737798
349	SUNDERLAND	3799.6795358833733
