	region	n_total_municipalities	n_groundtruth_estimate_pairs	WAPE_total_emissions_edgar (percent error)	MAPE_total_emissions_edgar (percent error)	RMSE_total_emissions_edgar
0	massachusetts	350	24	66.50702353461828	64.46709533372814	307374.5373659408
1	mexico	1376	467	68.90029957779473	114.42602779444971	112266.30495352777
2	michigan	1533	523	67.64773061981052	164.48897212983107	60616.708649911634
3	all_regions	3259	1014	68.0064480577278	139.0649878618532	99679.66861539055
