	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)	region	state	city	NAME	LABEL	FIPSCODE
600	doctorgonzález, nuevoleón			1069.1751735378764		mexico	NuevoLeón	DoctorGonzález			
601	elcarmen, nuevoleón			5929.632802967907		mexico	NuevoLeón	ElCarmen			
602	galeana, nuevoleón	108340000.0	6330.3062	22029.57529375077	248.0017332139601	mexico	NuevoLeón	Galeana			
603	garcía, nuevoleón	434400000.0	25381.992	79522.45505194317	213.3026558827344	mexico	NuevoLeón	García			
604	generalbravo, nuevoleón			1545.0444497123117		mexico	NuevoLeón	GeneralBravo			
605	generalescobedo, nuevoleón	1045700000.0	61100.251	38789.74004563774	36.51459787679474	mexico	NuevoLeón	GeneralEscobedo			
606	generalterán, nuevoleón			3966.631270989352		mexico	NuevoLeón	GeneralTerán			
607	generaltreviño, nuevoleón			525.4450124572525		mexico	NuevoLeón	GeneralTreviño			
608	generalzaragoza, nuevoleón			3479.625467726868		mexico	NuevoLeón	GeneralZaragoza			
609	generalzuazua, nuevoleón	190620000.0	11137.9266	26849.30969610328	141.06200965719492	mexico	NuevoLeón	GeneralZuazua			
610	guadalupe, nuevoleón			79949.38065713155		mexico	NuevoLeón	Guadalupe			
611	hidalgo, nuevoleón			2317.4345497502404		mexico	NuevoLeón	Hidalgo			
612	higueras, nuevoleón			113.9226767235608		mexico	NuevoLeón	Higueras			
613	hualahuises, nuevoleón			1253.2981397349436		mexico	NuevoLeón	Hualahuises			
614	iturbide, nuevoleón			1043.896830873264		mexico	NuevoLeón	Iturbide			
615	juárez, nuevoleón	729000000.0	42595.47	80188.19949894764	88.25522878124747	mexico	NuevoLeón	Juárez			
616	lampazosdenaranjo, nuevoleón			2102.288365924772		mexico	NuevoLeón	LampazosdeNaranjo			
617	linares, nuevoleón	250360000.0	14628.5348	21651.671598609264	48.00984442139253	mexico	NuevoLeón	Linares			
618	losaldamas, nuevoleón			918.7175148293884		mexico	NuevoLeón	LosAldamas			
619	losramones, nuevoleón			1505.390524154262		mexico	NuevoLeón	LosRamones			
620	marín, nuevoleón			1529.0496321074193		mexico	NuevoLeón	Marín			
621	mierynoriega, nuevoleón			3241.0990349544154		mexico	NuevoLeón	MieryNoriega			
622	mina, nuevoleón			4641.236336754406		mexico	NuevoLeón	Mina			
623	montemorelos, nuevoleón	196690000.0	11492.5967	22450.59693221289	95.3483404861226	mexico	NuevoLeón	Montemorelos			
624	monterrey, nuevoleón	5062000000.0	295772.66000000003	267634.2251711618	9.513534763097512	mexico	NuevoLeón	Monterrey			
625	parás, nuevoleón			497.7695480038987		mexico	NuevoLeón	Parás			
626	pesquería, nuevoleón			5344.293378155933		mexico	NuevoLeón	Pesquería			
627	rayones, nuevoleón			1609.1438699050273		mexico	NuevoLeón	Rayones			
628	sabinashidalgo, nuevoleón	123120000.0	7193.9016	5394.040755696941	25.01925859401606	mexico	NuevoLeón	SabinasHidalgo			
629	salinasvictoria, nuevoleón	93320000.0	5452.6876	7397.223483666799	35.66197123904181	mexico	NuevoLeón	SalinasVictoria			
630	sannicolásdelosgarza, nuevoleón	1670900000.0	97630.687	51867.99033940276	46.87327116790364	mexico	NuevoLeón	SanNicolásdelosGarza			
631	sanpedrogarzagarcía, nuevoleón	842000000.0	49198.06	61452.41769238506	24.908213235206965	mexico	NuevoLeón	SanPedroGarzaGarcía			
632	santacatarina, nuevoleón	855300000.0	49975.179	187166.84648280492	274.51961199139464	mexico	NuevoLeón	SantaCatarina			
633	santiago, nuevoleón	143240000.0	8369.5132	17083.464588100105	104.1153909417349	mexico	NuevoLeón	Santiago			
634	vallecillo, nuevoleón			908.9890490025113		mexico	NuevoLeón	Vallecillo			
635	villaldama, nuevoleón			3373.8361317236263		mexico	NuevoLeón	Villaldama			
636	acatlándepérezfigueroa, oaxaca	127660000.0	7459.1738	25237.149322800426	238.3370598336296	mexico	Oaxaca	AcatlándePérezFigueroa			
637	ánimastrujano, oaxaca			447.7236641623469		mexico	Oaxaca	ÁnimasTrujano			
638	cosolapa, oaxaca			4364.05064393852		mexico	Oaxaca	Cosolapa			
639	cuilápamdeguerrero, oaxaca			32007.36535098466		mexico	Oaxaca	CuilápamdeGuerrero			
640	oaxacadejuárez, oaxaca	1138700000.0	66534.241	4009.63668755376	93.97357416679068	mexico	Oaxaca	OaxacadeJuárez			
641	sanagustíndelasjuntas, oaxaca			3856.869514817225		mexico	Oaxaca	SanAgustíndelasJuntas			
642	sanagustínyatareni, oaxaca			45.608181224574416		mexico	Oaxaca	SanAgustínYatareni			
643	sanandréshuayápam, oaxaca			208.0713408694029		mexico	Oaxaca	SanAndrésHuayápam			
644	sanantoniodelacal, oaxaca			1566.1133059653962		mexico	Oaxaca	SanAntoniodelaCal			
645	sanbartolocoyotepec, oaxaca			2634.1106790583285		mexico	Oaxaca	SanBartoloCoyotepec			
646	sanbartoloméquialana, oaxaca			1696.22367582323		mexico	Oaxaca	SanBartoloméQuialana			
647	sanfelipejalapadedíaz, oaxaca			7676.390512125507		mexico	Oaxaca	SanFelipeJalapadeDíaz			
648	sanjacintoamilpas, oaxaca			658.5961531270997		mexico	Oaxaca	SanJacintoAmilpas			
649	sanjerónimotlacochahuaya, oaxaca			1022.8844703806508		mexico	Oaxaca	SanJerónimoTlacochahuaya			
650	sanjosétenango, oaxaca			7865.5345444475615		mexico	Oaxaca	SanJoséTenango			
651	sanjuanbautistatuxtepec, oaxaca	523400000.0	30582.262	40427.266549850494	32.191878252336245	mexico	Oaxaca	SanJuanBautistaTuxtepec			
652	sanjuanguelavía, oaxaca			1465.6564183599369		mexico	Oaxaca	SanJuanGuelavía			
653	sanlorenzocacaotepec, oaxaca			4197.406174399847		mexico	Oaxaca	SanLorenzoCacaotepec			
654	sanlucasojitlán, oaxaca			11627.599914597316		mexico	Oaxaca	SanLucasOjitlán			
655	sanmartíntilcajete, oaxaca			1050.8157241400334		mexico	Oaxaca	SanMartínTilcajete			
656	sanpabloetla, oaxaca			1451.6587406090905		mexico	Oaxaca	SanPabloEtla			
657	sanpedroixcatlán, oaxaca			2348.507843063274		mexico	Oaxaca	SanPedroIxcatlán			
658	sanpedroixtlahuaca, oaxaca			5271.224018258166		mexico	Oaxaca	SanPedroIxtlahuaca			
659	sanpedromixtepec-dto.22-, oaxaca	166670000.0	9738.5281	6405.680046534261	34.223324297495616	mexico	Oaxaca	SanPedroMixtepec-Dto.22-			
660	sanpedropochutla, oaxaca	130500000.0	7625.115	15092.938662187	97.9371938939544	mexico	Oaxaca	SanPedroPochutla			
661	sanpedroteutila, oaxaca			8422.212985645447		mexico	Oaxaca	SanPedroTeutila			
662	sanraymundojalpan, oaxaca			4226.738216177856		mexico	Oaxaca	SanRaymundoJalpan			
663	sansebastiántutla, oaxaca			724.1440431555015		mexico	Oaxaca	SanSebastiánTutla			
664	santaanadelvalle, oaxaca			390.3580558651776		mexico	Oaxaca	SantaAnadelValle			
665	santacatarinaquiané, oaxaca			1052.194626350878		mexico	Oaxaca	SantaCatarinaQuiané			
666	santacruzamilpas, oaxaca			174.9261811949237		mexico	Oaxaca	SantaCruzAmilpas			
667	santacruzxoxocotlán, oaxaca	239600000.0	13999.828	15547.745402241457	11.056688712471734	mexico	Oaxaca	SantaCruzXoxocotlán			
668	santalucíadelcamino, oaxaca	166570000.0	9732.6851	129.564061229498	98.6687737258704	mexico	Oaxaca	SantaLucíadelCamino			
669	santamaríaatzompa, oaxaca			5617.894625453178		mexico	Oaxaca	SantaMaríaAtzompa			
670	santamaríacolotepec, oaxaca			17810.44079482544		mexico	Oaxaca	SantaMaríaColotepec			
671	santamaríacoyotepec, oaxaca			944.026118783372		mexico	Oaxaca	SantaMaríaCoyotepec			
672	santamaríadeltule, oaxaca			949.9186989720992		mexico	Oaxaca	SantaMaríadelTule			
673	santamaríahuatulco, oaxaca	156690000.0	9155.3967	8289.406879878008	9.458790792997435	mexico	Oaxaca	SantaMaríaHuatulco			
674	santiagopinotepanacional, oaxaca	165360000.0	9661.9848	27284.092106623124	182.38599699125092	mexico	Oaxaca	SantiagoPinotepaNacional			
675	teotitlándelvalle, oaxaca			1384.0283354131925		mexico	Oaxaca	TeotitlándelValle			
676	tlacoluladematamoros, oaxaca			3896.431421771384		mexico	Oaxaca	TlacoluladeMatamoros			
677	tlalixtacdecabrera, oaxaca			1689.9265415966397		mexico	Oaxaca	TlalixtacdeCabrera			
678	trinidadzaachila, oaxaca			2884.058497220272		mexico	Oaxaca	TrinidadZaachila			
679	villadezaachila, oaxaca	99860000.0	5834.8198	26903.37907664054	361.0832896097415	mexico	Oaxaca	VilladeZaachila			
680	villadíazordaz, oaxaca			1735.198793765387		mexico	Oaxaca	VillaDíazOrdaz			
681	acajete, puebla	145260000.0	8487.5418	9438.177660721212	11.200367351607168	mexico	Puebla	Acajete			
682	acateno, puebla			4434.926866168693		mexico	Puebla	Acateno			
683	acatzingo, puebla	134070000.0	7833.7101	5584.123784004062	28.716741968737622	mexico	Puebla	Acatzingo			
684	acteopan, puebla			3863.9116944161847		mexico	Puebla	Acteopan			
685	ahuacatlán, puebla			7178.718648197709		mexico	Puebla	Ahuacatlán			
686	ahuatlán, puebla			1651.9848318478791		mexico	Puebla	Ahuatlán			
687	ahuazotepec, puebla			6358.487999189068		mexico	Puebla	Ahuazotepec			
688	aljojuca, puebla			2528.598297061277		mexico	Puebla	Aljojuca			
689	amixtlán, puebla			3225.4817157111347		mexico	Puebla	Amixtlán			
690	amozoc, puebla	278700000.0	16284.441	15250.368953881418	6.350061670023447	mexico	Puebla	Amozoc			
691	aquixtla, puebla			7216.625492293919		mexico	Puebla	Aquixtla			
692	atempan, puebla			10661.896689064124		mexico	Puebla	Atempan			
693	atlequizayan, puebla			1255.3573167944485		mexico	Puebla	Atlequizayan			
694	atlixco, puebla	396100000.0	23144.123	34328.317565866746	48.32412343240116	mexico	Puebla	Atlixco			
695	atoyatempan, puebla			3007.8998544962137		mexico	Puebla	Atoyatempan			
696	atzala, puebla			739.2845147145142		mexico	Puebla	Atzala			
697	atzitzihuacán, puebla			7827.632363677637		mexico	Puebla	Atzitzihuacán			
698	atzitzintla, puebla			4009.657742544429		mexico	Puebla	Atzitzintla			
699	ayotoxcodeguerrero, puebla			2495.3110098373054		mexico	Puebla	AyotoxcodeGuerrero			
700	calpan, puebla			8047.14218967331		mexico	Puebla	Calpan			
701	camocuautla, puebla			1652.6541302115668		mexico	Puebla	Camocuautla			
702	cañadamorelos, puebla			10437.461749764776		mexico	Puebla	CañadaMorelos			
703	caxhuacan, puebla			1423.5610297373184		mexico	Puebla	Caxhuacan			
704	chalchicomuladesesma, puebla	124260000.0	7260.5118	16772.80627749855	131.0141039574999	mexico	Puebla	ChalchicomuladeSesma			
705	chapulco, puebla			2034.42743630274		mexico	Puebla	Chapulco			
706	chiautzingo, puebla			18058.56660900128		mexico	Puebla	Chiautzingo			
707	chichiquila, puebla			7613.514331612798		mexico	Puebla	Chichiquila			
708	chiconcuautla, puebla			7929.284439259864		mexico	Puebla	Chiconcuautla			
709	chietla, puebla	103510000.0	6048.089300000001	13709.267605363646	126.67105139078625	mexico	Puebla	Chietla			
710	chignahuapan, puebla	163410000.0	9548.0463	28399.07587657512	197.43336997198176	mexico	Puebla	Chignahuapan			
711	chignautla, puebla			16998.623204623644		mexico	Puebla	Chignautla			
712	chilchotla, puebla			12831.175635566842		mexico	Puebla	Chilchotla			
713	coatepec, puebla			1304.805357077085		mexico	Puebla	Coatepec			
714	cohuecan, puebla			1738.6364142912046		mexico	Puebla	Cohuecan			
715	coronango, puebla	98390000.0	5748.9277	9849.032885492108	71.31947729125395	mexico	Puebla	Coronango			
716	cuapiaxtlademadero, puebla			2882.293282663645		mexico	Puebla	CuapiaxtladeMadero			
717	cuautempan, puebla			5194.599605100285		mexico	Puebla	Cuautempan			
718	cuautinchán, puebla			20341.49609175384		mexico	Puebla	Cuautinchán			
719	cuautlancingo, puebla	278300000.0	16261.069	9514.47433982956	41.489244404352746	mexico	Puebla	Cuautlancingo			
720	cuetzalandelprogreso, puebla	119900000.0	7005.7570000000005	17107.646513522817	144.1941179735868	mexico	Puebla	CuetzalandelProgreso			
721	cuyoaco, puebla			6333.448214260287		mexico	Puebla	Cuyoaco			
722	domingoarenas, puebla			2106.1940941678176		mexico	Puebla	DomingoArenas			
723	epatlán, puebla			1721.3677163757472		mexico	Puebla	Epatlán			
724	esperanza, puebla			2887.015187814466		mexico	Puebla	Esperanza			
725	franciscoz.mena, puebla			12523.889181473312		mexico	Puebla	FranciscoZ.Mena			
726	generalfelipeángeles, puebla			2945.395227429781		mexico	Puebla	GeneralFelipeÁngeles			
727	guadalupevictoria, puebla			6952.762331752855		mexico	Puebla	GuadalupeVictoria			
728	hermenegildogaleana, puebla			4423.535042802303		mexico	Puebla	HermenegildoGaleana			
729	honey, puebla			3793.781037396857		mexico	Puebla	Honey			
730	huaquechula, puebla			10910.234973905346		mexico	Puebla	Huaquechula			
731	huatlatlauca, puebla			2521.621517200936		mexico	Puebla	Huatlatlauca			
732	huauchinango, puebla	283600000.0	16570.748	25299.6803522849	52.67675516087083	mexico	Puebla	Huauchinango			
733	huehuetla, puebla			4751.211245167533		mexico	Puebla	Huehuetla			
734	huehuetlánelgrande, puebla			3524.38310978082		mexico	Puebla	HuehuetlánelGrande			
735	huejotzingo, puebla	177460000.0	10368.9878	24887.44151211408	140.01804218647143	mexico	Puebla	Huejotzingo			
736	hueyapan, puebla			2296.442706054418		mexico	Puebla	Hueyapan			
737	hueytamalco, puebla			15730.86663498916		mexico	Puebla	Hueytamalco			
738	hueytlalpan, puebla			5123.127727675063		mexico	Puebla	Hueytlalpan			
739	huitzilandeserdán, puebla			6744.034947571804		mexico	Puebla	HuitzilandeSerdán			
740	huitziltepec, puebla			4894.143040980587		mexico	Puebla	Huitziltepec			
741	ixtacamaxtitlán, puebla			13118.24502980062		mexico	Puebla	Ixtacamaxtitlán			
742	ixtepec, puebla			2145.547561800997		mexico	Puebla	Ixtepec			
743	izúcardematamoros, puebla	239000000.0	13964.77	15887.074787130496	13.765388095403628	mexico	Puebla	IzúcardeMatamoros			
744	jalpan, puebla			7809.182307540497		mexico	Puebla	Jalpan			
745	jonotla, puebla			2409.403107467608		mexico	Puebla	Jonotla			
746	jopala, puebla			8625.760368944248		mexico	Puebla	Jopala			
747	juanc.bonilla, puebla			4921.384819395439		mexico	Puebla	JuanC.Bonilla			
748	juangalindo, puebla			2975.6259495987774		mexico	Puebla	JuanGalindo			
749	lamagdalenatlatlauquitepec, puebla			201.05886706070063		mexico	Puebla	LaMagdalenaTlatlauquitepec			
750	lafragua, puebla			8751.119315263908		mexico	Puebla	Lafragua			
751	libres, puebla			11537.302545715227		mexico	Puebla	Libres			
752	losreyesdejuárez, puebla			2419.945987847584		mexico	Puebla	LosReyesdeJuárez			
753	mazapiltepecdejuárez, puebla			1231.2454471222852		mexico	Puebla	MazapiltepecdeJuárez			
754	mixtla, puebla			1292.1287627345207		mexico	Puebla	Mixtla			
755	molcaxac, puebla			4396.407912380829		mexico	Puebla	Molcaxac			
756	naupan, puebla			2723.652455748141		mexico	Puebla	Naupan			
757	nauzontla, puebla			2102.757550239064		mexico	Puebla	Nauzontla			
758	nealtican, puebla			2750.6023001359376		mexico	Puebla	Nealtican			
759	nicolásbravo, puebla			2749.297802583476		mexico	Puebla	NicolásBravo			
760	nopalucan, puebla			7946.773053272943		mexico	Puebla	Nopalucan			
761	ocotepec, puebla			2394.331409629892		mexico	Puebla	Ocotepec			
762	ocoyucan, puebla			79237.83942248925		mexico	Puebla	Ocoyucan			
763	olintla, puebla			5881.800026548756		mexico	Puebla	Olintla			
764	oriental, puebla			5276.67619656843		mexico	Puebla	Oriental			
765	pahuatlán, puebla			4582.805856124579		mexico	Puebla	Pahuatlán			
766	palmardebravo, puebla	106620000.0	6229.8066	17033.042237578535	173.41205483936747	mexico	Puebla	PalmardeBravo			
767	pantepec, puebla			6577.717672554262		mexico	Puebla	Pantepec			
768	puebla, puebla	5573000000.0	325630.39	197482.3271615918	39.35384005111078	mexico	Puebla	Puebla			
769	quecholac, puebla	115310000.0	6737.5633	5748.9146431931	14.673682647358572	mexico	Puebla	Quecholac			
770	quimixtlán, puebla			11804.563848839873		mexico	Puebla	Quimixtlán			
771	rafaellaragrajales, puebla			194.1060806098654		mexico	Puebla	RafaelLaraGrajales			
772	sanandréscholula, puebla	376600000.0	22004.738	61068.34173305813	177.52360302157712	mexico	Puebla	SanAndrésCholula			
773	sandiegolamesatochimiltzingo, puebla			1503.3312321209291		mexico	Puebla	SanDiegolaMesaTochimiltzingo			
774	sanfelipeteotlalcingo, puebla			8307.464165722104		mexico	Puebla	SanFelipeTeotlalcingo			
775	sanfelipetepatlán, puebla			2953.897882995968		mexico	Puebla	SanFelipeTepatlán			
776	sangregorioatzompa, puebla			9405.171577068828		mexico	Puebla	SanGregorioAtzompa			
777	sanjerónimotecuanipan, puebla			9298.545008863168		mexico	Puebla	SanJerónimoTecuanipan			
778	sanjoséchiapa, puebla			6196.805025991824		mexico	Puebla	SanJoséChiapa			
779	sanjuanatenco, puebla			4176.300658432931		mexico	Puebla	SanJuanAtenco			
780	sanjuanatzompa, puebla			472.1041388899773		mexico	Puebla	SanJuanAtzompa			
781	sanmartíntexmelucan, puebla	439700000.0	25691.671	8596.302336576004	66.54050903666017	mexico	Puebla	SanMartínTexmelucan			
782	sanmartíntotoltepec, puebla			95.05793128326576		mexico	Puebla	SanMartínTotoltepec			
783	sanmatíastlalancaleca, puebla			2916.374663442766		mexico	Puebla	SanMatíasTlalancaleca			
784	sanmiguelxoxtla, puebla			1807.1814470622112		mexico	Puebla	SanMiguelXoxtla			
785	sannicolásbuenosaires, puebla			4691.7441980690255		mexico	Puebla	SanNicolásBuenosAires			
786	sannicolásdelosranchos, puebla			8063.148251207809		mexico	Puebla	SanNicolásdelosRanchos			
787	sanpedrocholula, puebla	386200000.0	22565.666	18773.825302953057	16.803584246292328	mexico	Puebla	SanPedroCholula			
788	sansalvadorelseco, puebla			5721.598197327849		mexico	Puebla	SanSalvadorelSeco			
789	sansalvadorelverde, puebla			7919.704708464703		mexico	Puebla	SanSalvadorelVerde			
790	sansalvadorhuixcolotla, puebla			2900.957216783359		mexico	Puebla	SanSalvadorHuixcolotla			
791	santainésahuatempan, puebla			6707.461913010231		mexico	Puebla	SantaInésAhuatempan			
792	santaisabelcholula, puebla			8498.40371375879		mexico	Puebla	SantaIsabelCholula			
793	santiagomiahuatlán, puebla			1427.9672300417376		mexico	Puebla	SantiagoMiahuatlán			
794	santotomáshueyotlipan, puebla			2593.6260373243017		mexico	Puebla	SantoTomásHueyotlipan			
795	soltepec, puebla			4651.266766882015		mexico	Puebla	Soltepec			
796	tecalideherrera, puebla			19972.849235795897		mexico	Puebla	TecalideHerrera			
797	tecamachalco, puebla	204290000.0	11936.6647	15587.36824833566	30.583949872828857	mexico	Puebla	Tecamachalco			
798	tehuacán, puebla	927700000.0	54205.511	48957.18757416283	9.68226907008988	mexico	Puebla	Tehuacán			
799	tenampulco, puebla			5133.880766035499		mexico	Puebla	Tenampulco			
800	teopantlán, puebla			6227.948162927498		mexico	Puebla	Teopantlán			
801	teotlalco, puebla			7144.003323372444		mexico	Puebla	Teotlalco			
802	tepancodelópez, puebla			11038.857094858944		mexico	Puebla	TepancodeLópez			
803	tepangoderodríguez, puebla			2593.673940632581		mexico	Puebla	TepangodeRodríguez			
804	tepatlaxcodehidalgo, puebla			3101.442700819965		mexico	Puebla	TepatlaxcodeHidalgo			
805	tepeaca, puebla	209400000.0	12235.242	14247.309911104368	16.444855860671723	mexico	Puebla	Tepeaca			
806	tepemaxalco, puebla			1375.1964252346766		mexico	Puebla	Tepemaxalco			
807	tepeojuma, puebla			2535.3259838636204		mexico	Puebla	Tepeojuma			
808	tepetzintla, puebla			5829.414304349496		mexico	Puebla	Tepetzintla			
809	tepexco, puebla			3777.097564313504		mexico	Puebla	Tepexco			
810	tepexiderodríguez, puebla			9615.786526873522		mexico	Puebla	TepexideRodríguez			
811	tepeyahualco, puebla			9074.06596358214		mexico	Puebla	Tepeyahualco			
812	tepeyahualcodecuauhtémoc, puebla			1764.3352911272057		mexico	Puebla	TepeyahualcodeCuauhtémoc			
813	teteladeocampo, puebla			13912.590430521155		mexico	Puebla	TeteladeOcampo			
814	tetelesdeavilacastillo, puebla			630.7807258151112		mexico	Puebla	TetelesdeAvilaCastillo			
815	teziutlán, puebla	299200000.0	17482.256	9073.067152476468	48.101279649054064	mexico	Puebla	Teziutlán			
816	tianguismanalco, puebla			15233.847617090434		mexico	Puebla	Tianguismanalco			
817	tilapa, puebla			5032.089543229021		mexico	Puebla	Tilapa			
818	tlachichuca, puebla			11998.1978602222		mexico	Puebla	Tlachichuca			
819	tlacotepecdebenitojuárez, puebla	119330000.0	6972.4519	16146.657519027089	131.57789756896116	mexico	Puebla	TlacotepecdeBenitoJuárez			
820	tlacuilotepec, puebla			7558.760913028135		mexico	Puebla	Tlacuilotepec			
821	tlahuapan, puebla	95050000.0	5553.7715	18261.59694154123	228.81433709581373	mexico	Puebla	Tlahuapan			
822	tlaltenango, puebla			4408.900027649471		mexico	Puebla	Tlaltenango			
823	tlanepantla, puebla			1940.0489547332768		mexico	Puebla	Tlanepantla			
824	tlaola, puebla			8787.05935307277		mexico	Puebla	Tlaola			
825	tlapacoya, puebla			3312.432529449761		mexico	Puebla	Tlapacoya			
826	tlapanalá, puebla			3584.474440600633		mexico	Puebla	Tlapanalá			
827	tlatlauquitepec, puebla	141490000.0	8267.2607	25951.2445722762	213.90378886051332	mexico	Puebla	Tlatlauquitepec			
828	tlaxco, puebla			3211.466271882814		mexico	Puebla	Tlaxco			
829	tochimilco, puebla			5797.027815935282		mexico	Puebla	Tochimilco			
830	tochtepec, puebla			13264.037510901824		mexico	Puebla	Tochtepec			
831	tuzamapandegaleana, puebla			3004.495461882334		mexico	Puebla	TuzamapandeGaleana			
832	tzicatlacoyan, puebla			14447.57235090743		mexico	Puebla	Tzicatlacoyan			
833	venustianocarranza, puebla			6997.379702561034		mexico	Puebla	VenustianoCarranza			
834	vicenteguerrero, puebla			13995.80235331354		mexico	Puebla	VicenteGuerrero			
835	xicotepec, puebla	227590000.0	13298.0837	15272.836139363944	14.849902316105462	mexico	Puebla	Xicotepec			
836	xiutetelco, puebla	87900000.0	5135.997	15740.993573114298	206.48369874659772	mexico	Puebla	Xiutetelco			
837	xochiapulco, puebla			4203.473832363534		mexico	Puebla	Xochiapulco			
838	xochiltepec, puebla			491.0029683572959		mexico	Puebla	Xochiltepec			
839	xochitlándevicentesuárez, puebla			5692.3867829347255		mexico	Puebla	XochitlándeVicenteSuárez			
840	xochitlántodossantos, puebla			7942.481411554801		mexico	Puebla	XochitlánTodosSantos			
841	yaonáhuac, puebla			834.7154024174151		mexico	Puebla	Yaonáhuac			
842	yehualtepec, puebla			6629.091513712135		mexico	Puebla	Yehualtepec			
843	zacapoaxtla, puebla	147840000.0	8638.2912	13456.340343026312	55.77548882615015	mexico	Puebla	Zacapoaxtla			
844	zacatlán, puebla	222230000.0	12984.8989	39299.68126263751	202.65681362091703	mexico	Puebla	Zacatlán			
845	zapotitlándeméndez, puebla			2717.250566558452		mexico	Puebla	ZapotitlándeMéndez			
846	zaragoza, puebla			3526.5676320741086		mexico	Puebla	Zaragoza			
847	zautla, puebla			19323.015131489414		mexico	Puebla	Zautla			
848	zihuateutla, puebla			5793.909602876913		mexico	Puebla	Zihuateutla			
849	zongozotla, puebla			3748.8512214301504		mexico	Puebla	Zongozotla			
850	zoquiapan, puebla			1698.6315426083804		mexico	Puebla	Zoquiapan			
851	amealcodebonfil, querétaro	151240000.0	8836.9532	28890.819510974085	226.9319057950209	mexico	Querétaro	AmealcodeBonfil			
852	arroyoseco, querétaro			8293.985164350179		mexico	Querétaro	ArroyoSeco			
853	cadereytademontes, querétaro	168520000.0	9846.6236	21615.85908384813	119.52559539137997	mexico	Querétaro	CadereytadeMontes			
854	colón, querétaro	146900000.0	8583.367	22570.17400409089	162.95245215648936	mexico	Querétaro	Colón			
855	corregidora, querétaro	475800000.0	27800.994	69611.05643444836	150.39053076464944	mexico	Querétaro	Corregidora			
856	elmarqués, querétaro	336300000.0	19650.009	32481.071989701177	65.29800057445864	mexico	Querétaro	ElMarqués			
857	ezequielmontes, querétaro	114500000.0	6690.235000000001	12383.286018041592	85.09493340729573	mexico	Querétaro	EzequielMontes			
858	huimilpan, querétaro	87829000.0	5131.84847	30342.686350291173	491.2623205394678	mexico	Querétaro	Huimilpan			
859	jalpandeserra, querétaro			12024.42853155255		mexico	Querétaro	JalpandeSerra			
860	landadematamoros, querétaro			17755.640898602385		mexico	Querétaro	LandadeMatamoros			
861	pedroescobedo, querétaro	172210000.0	10062.2303	22074.58570730216	119.38064473938904	mexico	Querétaro	PedroEscobedo			
862	peñamiller, querétaro			11783.384840669509		mexico	Querétaro	Peñamiller			
863	pinaldeamoles, querétaro			13151.058087044472		mexico	Querétaro	PinaldeAmoles			
864	querétaro, querétaro	3129000000.0	182827.47	88830.78706538028	51.41277890823503	mexico	Querétaro	Querétaro			
865	sanjoaquín, querétaro			4402.464888121938		mexico	Querétaro	SanJoaquín			
866	sanjuandelrío, querétaro	805400000.0	47059.522	67318.47063521208	43.04962688573861	mexico	Querétaro	SanJuandelRío			
867	tequisquiapan, querétaro	192050000.0	11221.4815	21270.93769292867	89.55552074767196	mexico	Querétaro	Tequisquiapan			
868	tolimán, querétaro			9583.515446143052		mexico	Querétaro	Tolimán			
869	bacalar, quintanaroo	9220000.0	538.7246	15721.5588098523	2818.2923538023506	mexico	QuintanaRoo	Bacalar			
870	benitojuárez, quintanaroo	2775000000.0	162143.25	143401.179767682	11.558958040077515	mexico	QuintanaRoo	BenitoJuárez			
871	cozumel, quintanaroo	348600000.0	20368.698	17865.05652545906	12.291612721347931	mexico	QuintanaRoo	Cozumel			
872	felipecarrillopuerto, quintanaroo	196520000.0	11482.6636	30955.347922013127	169.58333885191175	mexico	QuintanaRoo	FelipeCarrilloPuerto			
873	islamujeres, quintanaroo			3653.285717735599		mexico	QuintanaRoo	IslaMujeres			
874	josémaríamorelos, quintanaroo	94000000.0	5492.42	16354.8644299579	197.7715547965724	mexico	QuintanaRoo	JoséMaríaMorelos			
875	lázarocárdenas, quintanaroo			11868.004223384598		mexico	QuintanaRoo	LázaroCárdenas			
876	othónp.blanco, quintanaroo	817200000.0	47748.996	50993.11105040726	6.794101074726802	mexico	QuintanaRoo	OthónP.Blanco			
877	solidaridad, quintanaroo	940300000.0	54941.729	41762.76484961869	23.98716674966911	mexico	QuintanaRoo	Solidaridad			
878	tulum, quintanaroo	132910000.0	7765.9313	11132.997928897796	43.35689434823864	mexico	QuintanaRoo	Tulum			
879	ahualulco, sanluispotosí			9897.600519648831		mexico	SanLuisPotosí	Ahualulco			
880	alaquines, sanluispotosí			2132.213281514816		mexico	SanLuisPotosí	Alaquines			
881	aquismón, sanluispotosí	108852000.0	6360.22236	26250.94846325242	312.73633180416704	mexico	SanLuisPotosí	Aquismón			
882	armadillodelosinfante, sanluispotosí			3530.611714996505		mexico	SanLuisPotosí	ArmadillodelosInfante			
883	axtladeterrazas, sanluispotosí			10382.612988055414		mexico	SanLuisPotosí	AxtladeTerrazas			
884	cárdenas, sanluispotosí			6642.673514694759		mexico	SanLuisPotosí	Cárdenas			
885	cedral, sanluispotosí			5046.315755989108		mexico	SanLuisPotosí	Cedral			
886	cerritos, sanluispotosí			5943.633874814039		mexico	SanLuisPotosí	Cerritos			
887	cerrodesanpedro, sanluispotosí			587.7409497437661		mexico	SanLuisPotosí	CerrodeSanPedro			
