	NAME	LABEL	FIPSCODE	municipality	edgar_emission_2015(tons_CO2)
48	Grand Blanc	City of Grand Blanc	33280	City of Grand Blanc-33280	2298.0584860750682
49	Houghton	City of Houghton	39360	City of Houghton-39360	2488.5513167625154
50	Hudson	City of Hudson	39720	City of Hudson-39720	129.37800175004767
51	Sandusky	City of Sandusky	71540	City of Sandusky-71540	61.655063176799025
52	Holland	City of Holland	38640	City of Holland-38640	21829.478110448494
53	Flushing	City of Flushing	29200	City of Flushing-29200	2668.4211698432887
54	Mt Clemens	City of Mt Clemens	55820	City of Mt Clemens-55820	11283.85761154857
55	Lansing	City of Lansing	46000	City of Lansing-46000	135576.54114437665
56	Huntington Woods	City of Huntington Woods	40000	City of Huntington Woods-40000	9389.71963159077
57	Wyoming	City of Wyoming	88940	City of Wyoming-88940	207619.62513310532
58	Taylor	City of Taylor	79000	City of Taylor-79000	166692.39520947012
59	Luna Pier	City of Luna Pier	49700	City of Luna Pier-49700	396.60105466313314
60	Wyandotte	City of Wyandotte	88900	City of Wyandotte-88900	31381.664622046734
61	Harrison	City of Harrison	36800	City of Harrison-36800	344.3647957066093
62	Belding	City of Belding	06900	City of Belding-06900	667.3319339851537
63	Petoskey	City of Petoskey	63820	City of Petoskey-63820	1447.7862872408894
64	Benton Harbor	City of Benton Harbor	07520	City of Benton Harbor-07520	4289.376055383965
65	Ann Arbor	City of Ann Arbor	03000	City of Ann Arbor-03000	29237.588655793006
66	Algonac	City of Algonac	01180	City of Algonac-01180	186.2173913312084
67	River Rouge	City of River Rouge	68760	City of River Rouge-68760	28946.732511746155
68	Gladstone	City of Gladstone	32300	City of Gladstone-32300	321.94500900591737
69	Durand	City of Durand	23500	City of Durand-23500	686.0740935128598
70	Kingsford	City of Kingsford	43300	City of Kingsford-43300	2356.6036693067167
71	Southgate	City of Southgate	74960	City of Southgate-74960	37221.21496851036
72	Zeeland	City of Zeeland	89260	City of Zeeland-89260	771.8047072642723
73	Boyne City	City of Boyne City	09820	City of Boyne City-09820	188.31985607037177
74	Richmond	City of Richmond	68380	City of Richmond-68380	857.6403936463679
75	Manistique	City of Manistique	50760	City of Manistique-50760	428.9496897128169
76	Big Rapids	City of Big Rapids	08300	City of Big Rapids-08300	1495.9915224444196
77	Roseville	City of Roseville	69800	City of Roseville-69800	54726.668512164135
78	Springfield	City of Springfield	75700	City of Springfield-75700	6023.581395652718
79	Gobles	City of Gobles	32640	City of Gobles-32640	55.11223681817319
80	Grant	City of Grant	34360	City of Grant-34360	59.64007897548526
81	Grayling	City of Grayling	34640	City of Grayling-34640	35.01000340353099
82	New Buffalo	City of New Buffalo	57220	City of New Buffalo-57220	405.66583966471774
83	Saugatuck	City of Saugatuck	71700	City of Saugatuck-71700	4856.268604367014
84	Auburn	City of Auburn	04080	City of Auburn-04080	288.150087458087
85	Village of Clarkston	City of Village of Clarkston	82450	City of Village of Clarkston-82450	890.7380948479968
86	East Lansing	City of East Lansing	24120	City of East Lansing-24120	30147.009808355986
87	Reed City	City of Reed City	67820	City of Reed City-67820	33.707714531413146
88	Muskegon	City of Muskegon	56320	City of Muskegon-56320	42431.105405423514
89	Ecorse	City of Ecorse	24740	City of Ecorse-24740	24842.315301812967
90	St Johns	City of St Johns	70940	City of St Johns-70940	773.4514148307848
91	Auburn Hills	City of Auburn Hills	04105	City of Auburn Hills-04105	34262.82733405638
92	Fraser	City of Fraser	30420	City of Fraser-30420	24835.236499762148
93	Scottville	City of Scottville	72080	City of Scottville-72080	86.71677724144637
94	Pontiac	City of Pontiac	65440	City of Pontiac-65440	59577.838218399746
95	Grosse Pointe Farms	City of Grosse Pointe Farms	35520	City of Grosse Pointe Farms-35520	5819.894771014196
96	Garden City	City of Garden City	31420	City of Garden City-31420	45213.6839088218
97	Bronson	City of Bronson	10860	City of Bronson-10860	33.69967731749649
98	Mt Pleasant	City of Mt Pleasant	56020	City of Mt Pleasant-56020	5976.532648550719
99	Stanton	City of Stanton	76220	City of Stanton-76220	69.25853342517536
100	Wixom	City of Wixom	88140	City of Wixom-88140	34259.81211362492
101	Coldwater	City of Coldwater	17020	City of Coldwater-17020	2142.409342300174
102	Walled Lake	City of Walled Lake	83060	City of Walled Lake-83060	8794.46319261726
103	Alma	City of Alma	01540	City of Alma-01540	1465.1125547047923
104	Charlevoix	City of Charlevoix	14780	City of Charlevoix-14780	580.8413607192531
105	McBain	City of McBain	49980	City of McBain-49980	26.279086910447326
106	Iron Mountain	City of Iron Mountain	40960	City of Iron Mountain-40960	2922.3335295206825
107	Birmingham	City of Birmingham	08640	City of Birmingham-08640	28213.644620377556
108	Dexter	City of Dexter	22160	City of Dexter-22160	1057.028807418513
109	Marysville	City of Marysville	52080	City of Marysville-52080	22290.0436398342
110	Northville	City of Northville	58980	City of Northville-58980	8854.959037641513
111	Grandville	City of Grandville	34160	City of Grandville-34160	43114.60798422957
112	Otsego	City of Otsego	61620	City of Otsego-61620	234.6612137477257
113	Beaverton	City of Beaverton	06660	City of Beaverton-06660	158.66508311969025
114	Onaway	City of Onaway	60680	City of Onaway-60680	9.358935208668267
115	Litchfield	City of Litchfield	47980	City of Litchfield-47980	200.1944358039201
116	Mt Morris	City of Mt Morris	55960	City of Mt Morris-55960	539.7192874577278
117	Kentwood	City of Kentwood	42820	City of Kentwood-42820	53078.91947993182
118	East Grand Rapids	City of East Grand Rapids	23980	City of East Grand Rapids-23980	5011.5685866307285
119	Leslie	City of Leslie	47180	City of Leslie-47180	93.71214586706833
120	Utica	City of Utica	81540	City of Utica-81540	11966.128469437754
121	Coleman	City of Coleman	17100	City of Coleman-17100	72.55072109687491
122	Midland	City of Midland	53780	City of Midland-53780	26517.03698450233
123	The Village of Grosse Pointe Shores A Michigan City	City of The Village of Grosse Pointe Shores A Michigan City	82453	City of The Village of Grosse Pointe Shores A Michigan City-82453	2718.0761724047516
124	Allen Park	City of Allen Park	01380	City of Allen Park-01380	62493.64668404609
125	Marlette	City of Marlette	51820	City of Marlette-51820	253.45148282974657
126	Omer	City of Omer	60660	City of Omer-60660	30.804539229412796
127	Niles	City of Niles	57760	City of Niles-57760	3293.532459214146
128	Port Huron	City of Port Huron	65820	City of Port Huron-65820	12250.302627173727
129	Mason	City of Mason	52180	City of Mason-52180	1436.7103964614917
130	Farmington	City of Farmington	27380	City of Farmington-27380	9773.58248998336
131	Ishpeming	City of Ishpeming	41220	City of Ishpeming-41220	2928.9855385682786
132	Troy	City of Troy	80700	City of Troy-80700	166775.0409446467
133	Petersburg	City of Petersburg	63800	City of Petersburg-63800	197.06030695312958
134	Rose City	City of Rose City	69680	City of Rose City-69680	16.776177779211416
135	Muskegon Heights	City of Muskegon Heights	56360	City of Muskegon Heights-56360	7431.857840863284
136	Lincoln Park	City of Lincoln Park	47800	City of Lincoln Park-47800	41508.80596508205
137	Roosevelt Park	City of Roosevelt Park	69520	City of Roosevelt Park-69520	5800.462729128419
138	Grand Ledge	City of Grand Ledge	33420	City of Grand Ledge-33420	2902.9264735148026
139	Reading	City of Reading	67500	City of Reading-67500	51.74860961470275
140	Farmington Hills	City of Farmington Hills	27440	City of Farmington Hills-27440	133478.98663928764
141	Belleville	City of Belleville	07020	City of Belleville-07020	3116.5140231330197
142	Marshall	City of Marshall	51940	City of Marshall-51940	724.9756622035519
143	Romulus	City of Romulus	69420	City of Romulus-69420	186105.16448336624
144	Whittemore	City of Whittemore	87140	City of Whittemore-87140	20.148065452049593
145	Bridgman	City of Bridgman	10580	City of Bridgman-10580	1165.6712439517466
146	Zilwaukee	City of Zilwaukee	89320	City of Zilwaukee-89320	2324.0906027688916
147	Bad Axe	City of Bad Axe	04740	City of Bad Axe-04740	36.46349003687582
148	Highland Park	City of Highland Park	38180	City of Highland Park-38180	25666.297662939924
149	Evart	City of Evart	26640	City of Evart-26640	396.78171365515857
150	Hastings	City of Hastings	37120	City of Hastings-37120	1151.7182573021396
151	Gibraltar	City of Gibraltar	32020	City of Gibraltar-32020	9478.047107680859
152	Hamtramck	City of Hamtramck	36280	City of Hamtramck-36280	19727.08571105563
153	Rockford	City of Rockford	69080	City of Rockford-69080	1711.3886792525575
154	Saginaw	City of Saginaw	70520	City of Saginaw-70520	33156.47901522961
155	Ypsilanti	City of Ypsilanti	89140	City of Ypsilanti-89140	10370.368843716324
156	Norway	City of Norway	59220	City of Norway-59220	26.442460099353514
157	Three Rivers	City of Three Rivers	79760	City of Three Rivers-79760	764.3444069787552
158	South Haven	City of South Haven	74980	City of South Haven-74980	1931.248104867286
159	Allegan	City of Allegan	01260	City of Allegan-01260	743.485196570398
160	Vassar	City of Vassar	81840	City of Vassar-81840	56.48428181989417
161	Greenville	City of Greenville	35100	City of Greenville-35100	389.8015542953703
162	Clawson	City of Clawson	16160	City of Clawson-16160	14730.498869782514
163	Swartz Creek	City of Swartz Creek	77700	City of Swartz Creek-77700	14423.454966466856
164	Southfield	City of Southfield	74900	City of Southfield-74900	145482.662933286
165	Ionia	City of Ionia	40860	City of Ionia-40860	339.52737066086
166	Lowell	City of Lowell	49540	City of Lowell-49540	823.9977009954628
167	Dowagiac	City of Dowagiac	22880	City of Dowagiac-22880	261.7224620906811
168	Bessemer	City of Bessemer	07960	City of Bessemer-07960	18.340914739983305
169	Jackson	City of Jackson	41420	City of Jackson-41420	9112.568384428392
170	Corunna	City of Corunna	18300	City of Corunna-18300	71.22249622863407
171	Ithaca	City of Ithaca	41340	City of Ithaca-41340	85.22653999446992
172	Bloomfield Hills	City of Bloomfield Hills	09180	City of Bloomfield Hills-09180	22484.964715525202
173	Caspian	City of Caspian	13860	City of Caspian-13860	19.875518578322314
174	Riverview	City of Riverview	68880	City of Riverview-68880	24946.358369839745
175	Lake Angelus	City of Lake Angelus	44440	City of Lake Angelus-44440	1786.5971182509634
176	Sault Ste Marie	City of Sault Ste Marie	71740	City of Sault Ste Marie-71740	49736.05679063485
177	Keego Harbor	City of Keego Harbor	42460	City of Keego Harbor-42460	2099.6506295429326
178	Cheboygan	City of Cheboygan	15000	City of Cheboygan-15000	1513.8524463141798
179	Fremont	City of Fremont	30700	City of Fremont-30700	128.09122622633478
180	St Clair	City of St Clair	70680	City of St Clair-70680	3538.9473513388075
181	Menominee	City of Menominee	53020	City of Menominee-53020	261.6994729697698
182	Whitehall	City of Whitehall	86780	City of Whitehall-86780	205.15122992383783
183	Stephenson	City of Stephenson	76380	City of Stephenson-76380	14.37283046081976
184	Madison Heights	City of Madison Heights	50560	City of Madison Heights-50560	50668.25706691491
185	Coopersville	City of Coopersville	18020	City of Coopersville-18020	278.12679973329966
186	Marine City	City of Marine City	51600	City of Marine City-51600	731.8442912126302
187	Monroe	City of Monroe	55020	City of Monroe-55020	10267.795646711656
188	South Lyon	City of South Lyon	75100	City of South Lyon-75100	5094.189195573971
189	Saline	City of Saline	71140	City of Saline-71140	26906.12665908856
190	Trenton	City of Trenton	80420	City of Trenton-80420	24691.32098706437
191	Owosso	City of Owosso	61940	City of Owosso-61940	1981.422089386288
192	Gaylord	City of Gaylord	31720	City of Gaylord-31720	1984.893515819902
193	Sturgis	City of Sturgis	76960	City of Sturgis-76960	390.962967577441
194	Woodhaven	City of Woodhaven	88380	City of Woodhaven-88380	19535.231998539195
195	Rochester Hills	City of Rochester Hills	69035	City of Rochester Hills-69035	78546.90230014893
196	Frankenmuth	City of Frankenmuth	30200	City of Frankenmuth-30200	432.92099530021255
197	East Tawas	City of East Tawas	24420	City of East Tawas-24420	59.22012855066898
198	Detroit	City of Detroit	22000	City of Detroit-22000	1354200.4458845407
199	Manistee	City of Manistee	50720	City of Manistee-50720	382.5826792553854
200	Jonesville	City of Jonesville	41920	City of Jonesville-41920	147.09729713937568
201	Olivet	City of Olivet	60580	City of Olivet-60580	84.77561029362704
202	Lake City	City of Lake City	44480	City of Lake City-44480	24.07745584480676
203	Clare	City of Clare	15920	City of Clare-15920	868.834865577392
204	Escanaba	City of Escanaba	26360	City of Escanaba-26360	10870.021504586739
205	Grosse Pointe	City of Grosse Pointe	35480	City of Grosse Pointe-35480	2285.677394574857
206	Flint	City of Flint	29000	City of Flint-29000	78941.98843100246
207	Lathrup Village	City of Lathrup Village	46320	City of Lathrup Village-46320	9555.303321803513
208	Lapeer	City of Lapeer	46040	City of Lapeer-46040	1201.835044277078
209	Kalamazoo	City of Kalamazoo	42160	City of Kalamazoo-42160	34833.97764894776
210	Dearborn	City of Dearborn	21000	City of Dearborn-21000	244447.85830164907
211	Pleasant Ridge	City of Pleasant Ridge	64900	City of Pleasant Ridge-64900	3918.9828814579682
212	Rochester	City of Rochester	69020	City of Rochester-69020	6360.40860917776
213	Milan	City of Milan	53920	City of Milan-53920	2302.3396088652835
214	Laingsburg	City of Laingsburg	44200	City of Laingsburg-44200	201.21132079663238
215	Montague	City of Montague	55100	City of Montague-55100	999.3874631247237
216	Hancock	City of Hancock	36300	City of Hancock-36300	1745.2157207046125
217	Bangor	City of Bangor	05140	City of Bangor-05140	106.74553046707977
218	Ironwood	City of Ironwood	41060	City of Ironwood-41060	702.6539405476428
219	Fennville	City of Fennville	27740	City of Fennville-27740	159.95266941779704
220	St Louis	City of St Louis	71000	City of St Louis-71000	619.4880310584712
221	North Muskegon	City of North Muskegon	58640	City of North Muskegon-58640	3860.222144980603
222	Howell	City of Howell	39540	City of Howell-39540	1642.508412531756
223	Pinconning	City of Pinconning	64160	City of Pinconning-64160	120.3175623875038
224	Tawas City	City of Tawas City	78140	City of Tawas City-78140	35.541489568237786
225	Sterling Heights	City of Sterling Heights	76460	City of Sterling Heights-76460	229076.27428143454
226	Brown City	City of Brown City	11180	City of Brown City-11180	123.54633058844335
227	Oak Park	City of Oak Park	59920	City of Oak Park-59920	34471.43857700948
228	Munising	City of Munising	56200	City of Munising-56200	423.31980616401603
229	Gladwin	City of Gladwin	32320	City of Gladwin-32320	86.08071423839986
230	Perry	City of Perry	63700	City of Perry-63700	249.8317287808644
231	Hillsdale	City of Hillsdale	38460	City of Hillsdale-38460	921.4953121846767
232	Inkster	City of Inkster	40680	City of Inkster-40680	49287.31619827314
233	St Joseph	City of St Joseph	70960	City of St Joseph-70960	6931.668029697017
234	Carson City	City of Carson City	13600	City of Carson City-13600	29.905287187799644
235	Caseville	City of Caseville	13760	City of Caseville-13760	57.369014953917144
236	Eaton Rapids	City of Eaton Rapids	24540	City of Eaton Rapids-24540	1084.828325690738
237	Grand Haven	City of Grand Haven	33340	City of Grand Haven-33340	5690.014753126791
238	Cadillac	City of Cadillac	12320	City of Cadillac-12320	866.8747572969314
239	Cedar Springs	City of Cedar Springs	14200	City of Cedar Springs-14200	491.33544282895343
240	Hudsonville	City of Hudsonville	39800	City of Hudsonville-39800	7384.6094211252175
241	St Ignace	City of St Ignace	70840	City of St Ignace-70840	3.836104189921109
242	Linden	City of Linden	47820	City of Linden-47820	2929.683328298412
243	Albion	City of Albion	00980	City of Albion-00980	1017.0563586755686
244	Harbor Springs	City of Harbor Springs	36560	City of Harbor Springs-36560	448.7079509085605
245	Ferndale	City of Ferndale	27880	City of Ferndale-27880	28328.78761903432
246	Village of Douglas	City of Village of Douglas	22740	City of Village of Douglas-22740	317.30933076874913
247	Burton	City of Burton	12060	City of Burton-12060	40306.36632635875
248	Alpena	City of Alpena	01740	City of Alpena-01740	350.05144842050953
249	Dewitt	City of Dewitt	22120	City of Dewitt-22120	1879.2066150224184
250	Rockwood	City of Rockwood	69180	City of Rockwood-69180	7573.951280860609
251	Ludington	City of Ludington	49640	City of Ludington-49640	10022.110140363375
252	Morenci	City of Morenci	55500	City of Morenci-55500	56.329491458282114
253	Marquette	City of Marquette	51900	City of Marquette-51900	1519.1168390645928
254	Newaygo	City of Newaygo	57080	City of Newaygo-57080	434.6387592384007
255	St Clair Shores	City of St Clair Shores	70760	City of St Clair Shores-70760	55091.857794410644
256	Davison	City of Davison	19880	City of Davison-19880	385.5372064568976
257	Norton Shores	City of Norton Shores	59140	City of Norton Shores-59140	97810.08893099251
258	Grosse Pointe Park	City of Grosse Pointe Park	35540	City of Grosse Pointe Park-35540	4679.810029966559
259	Flat Rock	City of Flat Rock	28360	City of Flat Rock-28360	23949.53416625974
260	Croswell	City of Croswell	18920	City of Croswell-18920	75.67352520079562
261	Gaastra	City of Gaastra	31160	City of Gaastra-31160	21.42947012358939
262	Negaunee	City of Negaunee	56860	City of Negaunee-56860	858.6148154634509
263	Portland	City of Portland	65860	City of Portland-65860	236.9406103153059
264	Coloma	City of Coloma	17320	City of Coloma-17320	97.31178713540118
265	Charlotte	City of Charlotte	14820	City of Charlotte-14820	1397.3813036338106
266	Tecumseh	City of Tecumseh	79120	City of Tecumseh-79120	1705.095774348189
267	Manton	City of Manton	50880	City of Manton-50880	47.65699313130944
268	Ferrysburg	City of Ferrysburg	27960	City of Ferrysburg-27960	4258.387292148795
269	Plainwell	City of Plainwell	64740	City of Plainwell-64740	431.0975581699072
270	West Branch	City of West Branch	85580	City of West Branch-85580	37.12499675458588
271	Melvindale	City of Melvindale	52940	City of Melvindale-52940	29315.19827074063
272	Eastpointe	City of Eastpointe	24290	City of Eastpointe-24290	30574.441095993017
273	Warren	City of Warren	84000	City of Warren-84000	258810.36905511364
274	Orchard Lake Village	City of Orchard Lake Village	61020	City of Orchard Lake Village-61020	13222.216239654314
275	Grosse Pointe Woods	City of Grosse Pointe Woods	35580	City of Grosse Pointe Woods-35580	7262.464623997106
276	Novi	City of Novi	59440	City of Novi-59440	120830.02485236198
277	Sylvan Lake	City of Sylvan Lake	77860	City of Sylvan Lake-77860	2257.3867290762923
278	Rogers City	City of Rogers City	69260	City of Rogers City-69260	0.8942584227584184
279	Imlay City	City of Imlay City	40320	City of Imlay City-40320	828.9449237791995
280	Mayfield	Mayfield Township	52500	Mayfield Township-52500	2479.0203675388557
281	Stronach	Stronach Township	76840	Stronach Township-76840	1299.5670126512466
282	Newark	Newark Township	57040	Newark Township-57040	8535.401027784093
283	Everett	Everett Township	26700	Everett Township-26700	2325.7378657323725
284	Winsor	Winsor Township	87960	Winsor Township-87960	2674.6775813894037
285	Franklin	Franklin Township	30300	Franklin Township-30300	6333.715932720396
286	Chandler	Chandler Township	14600	Chandler Township-14600	822.4621477661573
287	Metamora	Metamora Township	53360	Metamora Township-53360	3363.8431237711916
288	Elbridge	Elbridge Township	25200	Elbridge Township-25200	669.2553586023068
289	Perry	Perry Township	63720	Perry Township-63720	6452.558239224987
290	Webber	Webber Township	85060	Webber Township-85060	1121.4430031385796
291	Moltke	Moltke Township	54860	Moltke Township-54860	3437.616838693648
292	Sherman	Sherman Township	73180	Sherman Township-73180	1015.4112532280403
293	Groveland	Groveland Township	35640	Groveland Township-35640	11578.708275407329
294	Mastodon	Mastodon Township	52300	Mastodon Township-52300	1367.5804920630949
295	Florence	Florence Township	29060	Florence Township-29060	3878.226771303881
296	Tompkins	Tompkins Township	79980	Tompkins Township-79980	4832.388140861266
297	Fawn River	Fawn River Township	27540	Fawn River Township-27540	1748.687575473643
298	Ransom	Ransom Township	67120	Ransom Township-67120	1256.473978078243
299	Marathon	Marathon Township	51420	Marathon Township-51420	2295.3843243669594
300	Sumpter	Sumpter Township	77360	Sumpter Township-77360	47301.11375951918
301	Watson	Watson Township	84580	Watson Township-84580	6197.821824232934
302	Woodland	Woodland Township	88440	Woodland Township-88440	2649.669936563706
303	West Traverse	West Traverse Township	86300	West Traverse Township-86300	1418.472691741086
304	Hudson	Hudson Township	39740	Hudson Township-39740	1768.314412529651
305	Brown	Brown Township	11160	Brown Township-11160	1259.0177148182127
306	Brady	Brady Township	09920	Brady Township-09920	2702.189284789497
307	Bearinger	Bearinger Township	06400	Bearinger Township-06400	233.46878147927669
308	Eden	Eden Township	24820	Eden Township-24820	1087.2346392735046
309	Union	Union Township	81320	Union Township-81320	686.9536086802107
310	Mitchell	Mitchell Township	54740	Mitchell Township-54740	298.6482867827033
311	Pinconning	Pinconning Township	64180	Pinconning Township-64180	3974.9415608533227
312	Peacock	Peacock Township	63120	Peacock Township-63120	290.893985074124
313	Hillman	Hillman Township	38400	Hillman Township-38400	902.4487223097398
314	Johnstown	Johnstown Township	41860	Johnstown Township-41860	1622.8541109734135
315	Osceola	Osceola Township	61280	Osceola Township-61280	2312.7784953320543
316	Lee	Lee Township	46620	Lee Township-46620	1295.566664280588
317	Polkton	Polkton Township	65320	Polkton Township-65320	6134.5592069787235
318	Wales	Wales Township	82900	Wales Township-82900	5694.680905547965
319	Pickford	Pickford Township	63980	Pickford Township-63980	5111.845258213011
320	Nester	Nester Township	56980	Nester Township-56980	599.0450251737268
321	Decatur	Decatur Township	21060	Decatur Township-21060	7283.225862837693
322	South Arm	South Arm Township	74680	South Arm Township-74680	4074.3586412402824
323	Brownstown	Brownstown Township	11220	Brownstown Township-11220	99058.82516275928
324	Lodi	Lodi Township	49120	Lodi Township-49120	126679.49991555183
325	Tobacco	Tobacco Township	79860	Tobacco Township-79860	2657.634461868602
326	Norwood	Norwood Township	59340	Norwood Township-59340	3303.9056764618067
327	Medina	Medina Township	52820	Medina Township-52820	3927.441967733884
328	Lebanon	Lebanon Township	46580	Lebanon Township-46580	1694.5654494148318
329	Forest Home	Forest Home Township	29600	Forest Home Township-29600	1285.4003772241133
330	Weldon	Weldon Township	85160	Weldon Township-85160	1186.5702263996818
331	Onondaga	Onondaga Township	60800	Onondaga Township-60800	9474.891235432578
332	Hagar	Hagar Township	35860	Hagar Township-35860	2499.2149694126088
333	Adams	Adams Township	00300	Adams Township-00300	2010.0978477829253
334	Bingham	Bingham Township	08440	Bingham Township-08440	1983.9965732578514
335	Moore	Moore Township	55320	Moore Township-55320	2343.8099832572243
336	Bark River	Bark River Township	05420	Bark River Township-05420	1064.026512428928
337	Greenwood	Greenwood Township	35120	Greenwood Township-35120	5257.705247696997
338	Columbia	Columbia Township	17400	Columbia Township-17400	6866.636729702659
339	Stanton	Stanton Township	76200	Stanton Township-76200	7445.771093983733
340	Bergland	Bergland Township	07640	Bergland Township-07640	264.55622965882117
341	Carlton	Carlton Township	13340	Carlton Township-13340	3556.971904424025
342	Charlton	Charlton Township	14840	Charlton Township-14840	779.1349146331111
343	Reading	Reading Township	67520	Reading Township-67520	5963.417142919216
344	Clyde	Clyde Township	16720	Clyde Township-16720	3106.567104041693
345	Brookfield	Brookfield Township	10940	Brookfield Township-10940	856.6980333351146
346	Royalton	Royalton Township	70100	Royalton Township-70100	7834.088526555681
347	Clement	Clement Township	16360	Clement Township-16360	653.3063457174131
348	Eagle Harbor	Eagle Harbor Township	23620	Eagle Harbor Township-23620	53.125725200831276
349	Aetna	Aetna Township	00500	Aetna Township-00500	2455.4937854343234
350	Ridgeway	Ridgeway Township	68540	Ridgeway Township-68540	1554.1702359267397
351	Tyrone	Tyrone Township	81160	Tyrone Township-81160	23149.221848638863
352	Leroy	Leroy Township	47120	Leroy Township-47120	1344.8557412612518
353	Armada	Armada Township	03540	Armada Township-03540	4114.189154959077
354	Shelby	Shelby Township	72860	Shelby Township-72860	2926.9481359929205
355	Flynn	Flynn Township	29240	Flynn Township-29240	903.8871124771099
356	Newkirk	Newkirk Township	57480	Newkirk Township-57480	580.200525639015
357	Pokagon	Pokagon Township	65300	Pokagon Township-65300	7906.55423422303
358	Marquette	Marquette Township	51880	Marquette Township-51880	2175.4282941233078
359	Quincy	Quincy Township	66660	Quincy Township-66660	2903.9588396765853
360	Kalamazoo	Kalamazoo Township	42180	Kalamazoo Township-42180	13064.916862826254
361	Deerfield	Deerfield Township	21240	Deerfield Township-21240	1523.5656107716422
362	Lanse	Lanse Township	45560	Lanse Township-45560	3190.0851334848826
363	Bloomfield	Bloomfield Township	09080	Bloomfield Township-09080	596.3336715297999
364	Platte	Platte Township	64760	Platte Township-64760	930.6360415597525
365	Richland	Richland Township	68280	Richland Township-68280	1319.8195390316769
366	Chesaning	Chesaning Township	15160	Chesaning Township-15160	1456.9436152156131
367	Monterey	Monterey Township	55200	Monterey Township-55200	4649.0961394895985
368	Vergennes	Vergennes Township	81920	Vergennes Township-81920	5347.714478180252
369	Green Oak	Green Oak Township	35060	Green Oak Township-35060	36133.33324507347
370	Avery	Avery Township	04580	Avery Township-04580	591.378665751679
371	Dorr	Dorr Township	22680	Dorr Township-22680	37151.27367345877
372	Mansfield	Mansfield Township	50860	Mansfield Township-50860	281.84404684718305
373	Albion	Albion Township	01000	Albion Township-01000	12182.69997607001
374	Bingham	Bingham Township	08420	Bingham Township-08420	1397.8720115808799
375	Home	Home Township	38860	Home Township-38860	539.2055929220747
376	Heath	Heath Township	37460	Heath Township-37460	2462.653675210283
377	Klacking	Klacking Township	43640	Klacking Township-43640	1115.763053271474
378	Wayne	Wayne Township	84920	Wayne Township-84920	1866.1857243692002
379	Ontwa	Ontwa Township	60900	Ontwa Township-60900	2435.870412859505
380	Carp Lake	Carp Lake Township	13520	Carp Lake Township-13520	717.1542417318554
381	Benona	Benona Township	07300	Benona Township-07300	3865.9738532118495
382	Churchill	Churchill Township	15740	Churchill Township-15740	620.9469565468477
383	Bloomfield	Bloomfield Township	09110	Bloomfield Township-09110	108631.09289308453
384	Almira	Almira Township	01640	Almira Township-01640	3667.299317988788
385	East China	East China Township	23820	East China Township-23820	5678.11821471389
386	Butler	Butler Township	12140	Butler Township-12140	2257.0887085366394
387	Haight	Haight Township	35960	Haight Township-35960	435.98806745013366
388	Galien	Galien Township	31320	Galien Township-31320	970.4973853267752
389	Branch	Branch Township	10020	Branch Township-10020	400.66719376588475
390	White Oak	White Oak Township	86900	White Oak Township-86900	4654.605313162022
391	Vevay	Vevay Township	82220	Vevay Township-82220	6935.1222533779
392	Denton	Denton Township	21640	Denton Township-21640	2744.63998940023
393	Laird	Laird Township	44220	Laird Township-44220	728.7859340306591
394	Evergreen	Evergreen Township	26740	Evergreen Township-26740	542.755696225337
395	Lakefield	Lakefield Township	44540	Lakefield Township-44540	2809.493456362556
396	Lee	Lee Township	46640	Lee Township-46640	5558.956005312469
397	Bismark	Bismark Township	08700	Bismark Township-08700	1470.8883259027102
398	Greenbush	Greenbush Township	34840	Greenbush Township-34840	1811.010804184598
399	Posen	Posen Township	66020	Posen Township-66020	234.50583351359873
400	California	California Township	12560	California Township-12560	856.4323762441403
401	Lake	Lake Township	44360	Lake Township-44360	1151.3718656945732
402	Trout Lake	Trout Lake Township	80600	Trout Lake Township-80600	189.7449682906267
403	Tilden	Tilden Township	79780	Tilden Township-79780	12903.551607891388
404	Hiawatha	Hiawatha Township	37940	Hiawatha Township-37940	586.5957878395383
405	Greenwood	Greenwood Township	35240	Greenwood Township-35240	3813.049463296382
406	Springfield	Springfield Township	75720	Springfield Township-75720	892.2335013658857
407	Albert	Albert Township	00940	Albert Township-00940	1056.5833096301499
408	Whitefish	Whitefish Township	86700	Whitefish Township-86700	379.3678576444977
409	Chikaming	Chikaming Township	15480	Chikaming Township-15480	5216.762791170996
410	Morton	Morton Township	55600	Morton Township-55600	1616.3221869491265
411	Mellen	Mellen Township	52860	Mellen Township-52860	391.16426391096314
412	Penn	Penn Township	63380	Penn Township-63380	1993.8260107475028
413	Newton	Newton Township	57640	Newton Township-57640	812.6396189031175
414	Adams	Adams Township	00280	Adams Township-00280	2796.1404264093208
415	Sullivan	Sullivan Township	77100	Sullivan Township-77100	1960.9869316962797
416	Norvell	Norvell Township	59180	Norvell Township-59180	1915.077070091217
417	Holland	Holland Township	38620	Holland Township-38620	197.89963938569042
418	Sand Beach	Sand Beach Township	71260	Sand Beach Township-71260	2502.791054666022
419	Denmark	Denmark Township	21600	Denmark Township-21600	1114.8926582005574
420	Montrose	Montrose Township	55300	Montrose Township-55300	6540.052982182588
421	Austin	Austin Township	04380	Austin Township-04380	1685.2171748858755
422	Lilley	Lilley Township	47440	Lilley Township-47440	783.411207185832
423	Home	Home Township	38840	Home Township-38840	1936.6870443606244
