	region	n_total_municipalities	n_groundtruth_estimate_pairs	WAPE_total_emissions_ghs (percent error)	WAPE_total_emissions_msft (percent error)	WAPE_total_emissions_ghs_adjusted (percent error)	MAPE_total_emissions_ghs (percent error)	MAPE_total_emissions_msft (percent error)	MAPE_total_emissions_ghs_adjusted (percent error)	RMSE_total_emissions_ghs	RMSE_total_emissions_msft	RMSE_total_emissions_ghs_adjusted	MAPE_total_emissions_graced (percent error)	RMSE_total_emissions_graced	WAPE_total_emissions_graced (percent error)	MAPE_total_emissions_edgar (percent error)	RMSE_total_emissions_edgar	WAPE_total_emissions_edgar (percent error)
0	massachusetts	351.0	24.0	39.84320063898377	34.229871330454095	38.64378326384834	38.91748665921218	24.1645237341074	27.004666584439324	215161.7518811205	251801.7198921361	292981.8618010503	86.20113014216366	415242.9686501595	86.9164905632996	64.46709533372814	307374.5373659408	66.50702353461828
1	mexico	1376.0	467.0	566.9875562147191	281.87082033546886	306.2540336122539	1045.1218886078193	486.5076544119474	578.5319662678514	343249.9038632745	199061.9261402677	199195.56656939723	55.97510496845344	117359.71238119696	72.9266386959883	114.42602779444972	112266.30495352775	68.90029957779473
2	michigan	1534.0	523.0	119.0678339150998	47.43183508813256	50.78504931708975	1071.9752204672473	549.4217901937177	599.3296603894296	81824.68475588417	28627.256709444577	31342.36814313645	86.49441770553386	96323.76715339092	86.65127704129581	164.48897212983107	60616.708649911634	67.64773061981052
3													72.43173728172968	123328.69942177826	80.73692256547609	139.0649878618532	99679.66861539056	68.0064480577278
