	total_area_ghs	nres_area_ghs	res_area_ghs	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	region_encoded
2479	-0.42233845249447216	-0.243709204889828	-0.42796244154393365	-0.3612007136409769	-0.43247626697453634	-0.212322926023562	-0.37412929301481723	2
2480	-0.42233845249447216	-0.243709204889828	-0.42796244154393365	-0.3612007136409769	-0.43247626697453634	-0.212322926023562	-0.37412929301481723	2
2495	-0.34586542293489125	-0.22492906198967816	-0.3480625780357259	-0.34503764366036394	-0.4137719235276	-0.212689290292832	-0.35162772914420076	2
2501	-0.5510155245830292	-0.4170188700786123	-0.5489410564529236	-0.3882943623740933	-0.46448489368282403	-0.21579457257075674	-0.4099865105454775	2
2507	-0.5647254283895795	-0.4174320814653694	-0.5635459578208396	-0.39344128895004743	-0.46881457529818443	-0.21210234776846124	-0.4164979461748017	2
2508	-0.5661619279255916	-0.4312589315237586	-0.563766579881022	-0.39435161378503947	-0.4691231454886182	-0.21273333112512827	-0.41671154694711793	2
2515	-0.5492024080430633	-0.4097184526592823	-0.5476980394797011	-0.3912601893830901	-0.4665909275903703	-0.21280889466577432	-0.4137064602789952	2
2533	-0.3930515126749975	-0.23853986751590503	-0.3971709161516994	-0.35619877130759453	-0.42466120723643713	-0.20942420341989204	-0.3693537188468243	2
2534	-0.577590859290559	-0.4300539064390279	-0.576088830150204	-0.396163128546301	-0.47148612250440985	-0.21214072481274207	-0.4195850226759001	2
2537	-0.564754628568484	-0.4324786392465974	-0.5621474889894941	-0.39390755792227505	-0.46934082863001303	-0.21389384258181995	-0.4166987796307091	2
2540	-0.5430078652978235	-0.4256931629209164	-0.5395635227602766	-0.38860628827259797	-0.46299032071351504	-0.21080797159378303	-0.4102708316884019	2
2543	-0.5527980415744944	-0.3991710746983281	-0.5525408631033696	-0.3934635541888664	-0.4688372748796312	-0.21214057204535103	-0.4165153256489835	2
2548	-0.5524690031368068	-0.4161672770683414	-0.5505744967467397	-0.3890253522732988	-0.4643124940462025	-0.2122717782862092	-0.41122259335849765	2
2554	-0.5422972654169426	-0.4171824766175314	-0.5396131477765236	-0.38851608784759656	-0.46262134123190296	-0.21217242955201915	-0.40929822089779794	2
2557	-0.5847280173957069	-0.42420916771213146	-0.5842676905086442	-0.39384046605879774	-0.4681426198775	-0.21231447286549326	-0.4156658443048176	2
2558	-0.5833998290664301	-0.433059652211733	-0.5820080582427477	-0.39871452089176	-0.47261822984954394	-0.18273790099280512	-0.4228254199143708	2
2559	-0.5451810862805097	-0.38659854143831823	-0.5455994393950396	-0.3830772440312917	-0.4643469325601912	-0.22539969263602094	-0.4037167847628958	2
2561	-0.5494785503100197	-0.42838113445456716	-0.5462197520981269	-0.388872161304763	-0.4641563146808938	-0.2126450239499756	-0.41089781914005	2
2564	-0.5371183851245255	-0.4016828545746814	-0.5355540606042256	-0.3856289307866349	-0.4606274660504499	-0.21258034210579696	-0.40678498689771414	2
2566	-0.5474813700225183	-0.4255746530561866	-0.5443531340171262	-0.3898514953953087	-0.46531560447093506	-0.21339283649042537	-0.41199187061946707	2
2572	-0.5793157222546664	-0.41690455525334197	-0.579180628100194	-0.3875321314348553	-0.46230356566959224	-0.21246949504029658	-0.4087994529426178	2
2582	-0.5829403693823894	-0.4240025620187529	-0.5823778542975521	-0.39863048667527545	-0.4706410007554293	-0.16575294734647217	-0.42229773135886717	2
2583	-0.5680185182143418	-0.4308467688968664	-0.5657888491173998	-0.39871425749337236	-0.4710292505293724	-0.165816488818013	-0.42249726556589506	2
2595	-0.5428492700769363	-0.4262122990540249	-0.5393447940240074	-0.38319382211982095	-0.4583672044063903	-0.21261686170277042	-0.4041138816951773	2
2599	-0.5549832038444004	-0.38356028410980236	-0.5563582027065609	-0.3947113022126282	-0.4692536886627475	-0.21306890964352537	-0.41678825445613954	2
2623	-0.5737157250051408	-0.42022492898550673	-0.5728835324140588	-0.3953338343826524	-0.47074403985674973	-0.21339057745350512	-0.41849954245074206	2
