	region	municipality	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted	state_x	city_x	state_y	city_y	NAME_x	LABEL_x	FIPSCODE_x	NAME_y	LABEL_y	FIPSCODE_y	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)	checking_absolute_percentage_error_duke	checking_absolute_percentage_error_graced	edgar_emission_2015(tons_CO2)	absolute_percent_error_edgar (percent error)	checking_absolute_percentage_error_edgar
2018	michigan	city of portland-65860	510634.0	35133.0	475501.0	149817.03552302293	138.0	233436.37327854312	1491	1629	383253.40880156605	330.70572662353516	3968.468719482422	6434571.374109032	0.0006167417359686867	417.0	Portland	2015.0	5006314.0		3936.0	URB				43200000.0	28800000.0		24120000.0							104659077.6	31397723.28		52329538.8		985191.275068	1535363.02608		1266674.496516																						POINT (-84.90305 42.8692)	96120000.0	192173568.477664	10018.008124740623	18818.404839669238	14805.394823766408	11144.259346052122	87.84577338478118	47.78781010571136	11.242266998467407					Portland	City of Portland	65860	Portland	City of Portland	65860	177.31835938981249	98.23000383727076	11.242266998467407	98.23000383727076	236.9406103153059	97.6348530829182	97.63485308291821
2019	michigan	city of coloma-17320	262331.0	31224.0	231107.0	70001.23675776504	60.0	95956.4980624106	693	753	165957.73482017565	334.560785929362	1003.6823577880859	2304994.6868037004	0.00043543803529537693	205.0	Coloma	2015.0	4989343.0		1446.0	RUR				18000000.0	9360000.0		6480000.0							46620861.84	10465907.76		14271692.4		447814.21594	537377.059128		281483.221448																						POINT (-86.30836 42.18615)	33840000.0	72625136.496516	3785.948365563379	9740.40603292692	6439.381170896301	5768.268452699322	157.27783615658132	70.08634426893644	52.35993457192747					Coloma	City of Coloma	17320	Coloma	City of Coloma	17320	57.80616951096169	98.47313898845633	52.35993457192747	98.47313898845633	97.31178713540118	97.42965889285392	97.42965889285391
2020	michigan	city of charlotte-14820	1534319.0	327134.0	1207185.0	638264.3381740995	406.0	503247.03066592634	3905	4311	1141511.3688400257	336.78756106341325	9093.264148712158	16764454.227691717	0.0005424133720793487	368.0	Charlotte	2015.0	4988584.0		9055.0	URB				100800000.0	90000000.0		79200000.0	1008000.0						256890463.2	104659077.6		171260308.8	275919.3864	2303044.53912	5373770.59128		3454566.80868	409430.140288																					POINT (-84.83582 42.56365)	270000000.0	543941231.5390799	28355.656400132233	57767.19593326813	45157.44148185978	34209.73343168138	103.72371253940973	59.25373352192685	20.64518256583842					Charlotte	City of Charlotte	14820	Charlotte	City of Charlotte	14820	1077.261399083999	96.2008941571214	20.64518256583842	96.20089415712141	1397.3813036338106	95.07194866549696	95.07194866549696
2021	michigan	city of tecumseh-79120	1380325.0	267038.0	1113287.0	336832.8229468177	336.0	527908.9323325444	3447	3783	864741.7552793621	345.0117408335209	8280.281780004501	15190771.266015843	0.0005450863313654654	27.0	Tecumseh	2015.0	5011973.0		8362.0	URB				97200000.0	82800000.0		86400000.0							247376001.6	86581600.56		190289232.0		2303044.53912	4989929.83476		3710460.64636																						POINT (-83.94494 42.00393)	266400000.0	535250269.18024	27902.596532365907	51818.84149259844	33399.05128467588	30687.117931916793	85.71333113207093	19.69872139295102	9.979434696412397					Tecumseh	City of Tecumseh	79120	Tecumseh	City of Tecumseh	79120	946.1682032641144	96.60903170009072	9.979434696412397	96.60903170009072	1705.095774348189	93.88911432536273	93.88911432536271
2022	michigan	city of manton-50880	176051.0	13017.0	163034.0	55341.275167873166	65.0	92257.5968097439	684	749	147598.87197761706	162.21444392204285	1297.7155513763428	4038395.7432289114	0.0003213443243030834	167.0	Manton	2015.0	5000678.0		1415.0	RUR				16200000.0	4320000.0		3492000.0	5040000.0						37106400.24	3805784.64		1998036.936	1332024.624	345456.680868	307072.605216		179125.686376	2047150.70144																					POINT (-85.39894 44.41084)	24012000.0	43741876.78846	2280.26403698242	6493.00161267576	5688.86034426201	3845.155555026585	184.74779706951185	149.48252711077902	68.62764542456492					Manton	City of Manton	50880	Manton	City of Manton	50880	19.64334783972126	99.13854941703522	68.62764542456492	99.13854941703522	47.65699313130944	97.9100230342458	97.91002303424581
2023	michigan	city of ferrysburg-27960	633806.0	53854.0	579952.0	163199.03702489674	249.0	183256.93223103893	1135	1384	346455.96925593563	227.9873763813692	3875.7853984832764	9300933.994547252	0.0004167092682041919	433.0	Ferrysburg	2015.0	4992659.0		3001.0	URB				43200000.0	23040000.0		72000000.0	3204000.0						104659077.6	24737600.16		161745847.2	865816.0056	806065.588692	1407416.10724		2942779.13332	1279469.1884																					POINT (-86.22033 43.08446)	138240000.0	296298785.789252	15446.055703193704	23414.21827909632	13537.13115588028	13865.90006488084	51.58703768143914	12.358653781876008	10.230156285051747					Ferrysburg	City of Ferrysburg	27960	Ferrysburg	City of Ferrysburg	27960	2133.519318494342	86.18728716578948	10.230156285051747	86.18728716578948	4258.387292148795	72.43058439010868	72.43058439010868
2024	michigan	city of plainwell-64740	748351.0	94003.0	654348.0	264536.85868894897	149.0	188662.24022887376	1313	1462	453199.09891782276	423.3680629995134	3810.3125669956207	5587050.889547325	0.0006819899518231058	277.0	Plainwell	2015.0	5005954.0		3822.0	URB				43200000.0	39600000.0		39600000.0							104659077.6	46620861.84		82775815.92		997985.966952	2175097.62028		1663309.94492																						POINT (-85.6489 42.44004)	122400000.0	238892148.892152	12453.447721747883	27813.644668873436	17989.718212148462	16471.240372906846	123.34091964188771	44.45572514615691	32.26249261192588					Plainwell	City of Plainwell	64740	Plainwell	City of Plainwell	64740	353.6355116598189	97.16034049717612	32.26249261192588	97.16034049717611	431.0975581699072	96.5383276358316	96.53832763583159
2025	michigan	city of west branch-85580	361996.0	48248.0	313748.0	207429.42374633046	171.0	128448.4963234145	900	1071	335877.9200697449	315.8588498433431	1895.1530990600586	3979444.5980677293	0.0004762355781960816	170.0	West Branch	2015.0	5014413.0		2063.0	RUR				25920000.0	46800000.0		18360000.0	504000.0						62795446.56	52329538.8		13320246.24	133202.4624	588555.826664	2430991.45796		742092.129272	204715.070144																					POINT (-84.23861 44.27641)	91080000.0	132206871.01389599	6891.944185954398	13469.47589907504	13395.436526296531	7976.623627432238	95.43797128429276	94.36368265425133	15.738366594558165					West Branch	City of West Branch	85580	West Branch	City of West Branch	85580	79.73161435054828	98.84311868756802	15.738366594558165	98.84311868756802	37.12499675458588	99.46132766382168	99.46132766382169
2026	michigan	city of melvindale-52940	1864229.0	589661.0	1274568.0	452062.17667961883	271.0	457060.5955047316	4959	5230	909122.7721843504	851.1753018697103	10214.103622436523	7130628.8103514	0.0014324267738644453	148.0	Melvindale	2015.0	5001634.0		10322.0	URB				111600000.0	97200000.0		36000000.0							285433848.0	114173539.2		78970031.28		2558938.3768	5373770.59128		2303044.53912																						POINT (-83.1752 42.28254)	244800000.0	488813171.9872	25481.830655692735	71249.06379247487	35653.759556435565	42193.695577903614	179.60732003592358	39.91836001967302	65.58345492527393					Melvindale	City of Melvindale	52940	Melvindale	City of Melvindale	52940	5282.709749123876	79.26871965949708	65.58345492527393	79.26871965949708	29315.19827074063	15.043533044559766	15.043533044559766
2027	michigan	city of eastpointe-24290	4315391.0	271408.0	4043983.0	422364.6044848834	413.0	1824776.3971211247	17223	17636	2247141.001606008	1555.4826604669745	34220.61853027344	13285747.883976273	0.002575738966983287	211.0	Eastpointe	2015.0	4991735.0		32673.0	URB				396000000.0	223200000.0		15480000.0							951446160.0	228347078.4		24737600.16		9340125.07532	14074161.0724		2942779.13332																						POINT (-82.95547 42.46837)	634680000.0	1230887903.8410401	64166.18642723342	158894.4326121968	84291.7571817475	94097.28299294294	147.6295405094525	31.364760592928704	46.646213889697776					Eastpointe	City of Eastpointe	24290	Eastpointe	City of Eastpointe	24290	17322.2742709914	73.00404584486967	46.646213889697776	73.00404584486967	30574.441095993017	52.35116375403509	52.35116375403509
