	region	municipality	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted	state_x	city_x	state_y	city_y	NAME_x	LABEL_x	FIPSCODE_x	NAME_y	LABEL_y	FIPSCODE_y
1937	michigan	city of kalamazoo-42160	10739189.0	1914972.0	8824217.0	3219871.372896951	2319.0	2580803.7969661946	22049	24368	5800675.169863146	737.5136851618223	78913.96431231499	64838007.87581879	0.0012170942152241202	305.0	Kalamazoo	2015.0	4997787.0		75984.0	URB				720000000.0	1512000000.0		720000000.0	1548000.0						1712603088.0	1807747704.0		1522313856.0	409121.8488	16633099.4492	79327089.6808		31986729.71	626939.902316																					POINT (-85.58723 42.29171)	2952000000.0	5170611566.84	269543.9809793692	402262.7376346815	229341.1124966179	238219.99322725838	49.23825647046096	14.915142358837691	11.621104518193022					Kalamazoo	City of Kalamazoo	42160	Kalamazoo	City of Kalamazoo	42160
1938	michigan	city of dearborn-21000	14520523.0	3669403.0	10851120.0	4231250.576750403	2120.0	3938100.7774563935	38662	40782	8169351.354206797	892.3198796453014	82985.74880701303	63471155.98887372	0.0013074560800745484	453.0	Dearborn	2015.0	4990510.0		94444.0	URB				900000000.0	2124000000.0		720000000.0	223200000.0						2283470784.0	2473760016.0		1617458472.0	59941108.08	21750976.2028	115152226.956		31986729.71	89562843.188																					POINT (-83.17631 42.32226)	3744000000.0	6543579204.8688	341116.78394981055	549863.6343872631	321316.6135496056	325629.24428413715	61.19512737554598	5.804513683242923	4.540245568201686					Dearborn	City of Dearborn	21000	Dearborn	City of Dearborn	21000
1939	michigan	city of pleasant ridge-64900	482176.0	18074.0	464102.0	37140.4353726205	26.0	143695.6702367152	1148	1174	180836.1056093357	1236.561279296875	2473.12255859375	1460687.3105450363	0.0016931225052341536	206.0	Pleasant Ridge	2015.0	5006011.0		2551.0	URB				33120000.0	19080000.0		1512000.0							85630154.4	18077477.04		2664049.248		831654.97246	1253879.804632		230304.453912																						POINT (-83.14215 42.47115)	53712000.0	108687519.919004	5665.8804133776775	17686.29434735592	6800.674949229446	10473.823512504176	212.1543883206026	20.02856490180081	84.85782876346086					Pleasant Ridge	City of Pleasant Ridge	64900	Pleasant Ridge	City of Pleasant Ridge	64900
1940	michigan	city of rochester-69020	1847260.0	175479.0	1671781.0	575003.5825371597	734.0	588628.7015548935	3351	4085	1163632.284092053	736.1201612684462	13250.162902832031	9932451.799124056	0.001334027405398591	250.0	Rochester	2015.0	5007400.0		13017.0	URB				136800000.0	244800000.0		30960000.0	212400000.0						342520617.6	275919386.4		65649785.04	57086769.6	3070726.05216	14074161.0724		2047150.70144	85724435.6228																					POINT (-83.13382 42.68059)	412560000.0	703281826.8659999	36662.08163452458	68344.14748561452	45615.107631627645	40473.404140980914	86.41644019813384	24.420397309551646	10.395815885334853					Rochester	City of Rochester	69020	Rochester	City of Rochester	69020
1941	michigan	city of milan-53920	973014.0	294903.0	678111.0	378017.8904526066	172.0	300436.48161798605	2058	2230	678454.3720705926	353.3745587787458	4947.243822902441	9127322.132471312	0.0005420257717542534	513.0	Milan	2015.0	5001962.0		6014.0	URB				61200000.0	39600000.0		33480000.0	540000.0						152231385.6	41863631.04		75164246.64	152231.3856	1407416.10724	2303044.53912		1407416.10724	217509.762028																					POINT (-83.68244 42.08532)	134280000.0	274377140.0336	14303.280309951566	37116.670790220836	26831.853575945715	21980.492441968778	159.49761163805732	87.59230746024981	53.67448561205753					Milan	City of Milan	53920	Milan	City of Milan	53920
1942	michigan	city of laingsburg-44200	258914.0	23044.0	235870.0	46320.44321744841	45.0	88969.74824113496	565	610	135290.19145858337	171.47089099884033	1371.7671279907227	4395905.334113467	0.00031205565719202876	185.0	Laingsburg	2015.0	4998506.0		1284.0	RUR				15120000.0	3960000.0		1368000.0							39009292.56	3805784.64		2378615.4		383840.75652	255893.83768		204715.070144																						POINT (-84.35136 42.89031)	20448000.0	46038142.264344	2399.9683562402524	9570.62884561992	5190.133623922417	5667.726402376116	298.7814597944573	116.2584190090401	136.1583804902776					Laingsburg	City of Laingsburg	44200	Laingsburg	City of Laingsburg	44200
1943	michigan	city of montague-55100	599306.0	74568.0	524738.0	153236.59490597504	94.0	156809.88997675193	1012	1106	310046.484882727	148.56906893849373	2377.1051030158997	8143412.621669281	0.00029190527527618115	122.0	Montague	2015.0	5002367.0		2358.0	RUR				29520000.0	13320000.0		23400000.0							74212800.48	13320246.24		53280984.96		716502.745504	870039.048112		908423.123764																						POINT (-86.35701 43.41668)	66240000.0	143308996.59738	7470.69799262142	22270.217373134637	12154.172125609904	13188.422728370331	198.10089224768893	62.69125237848202	76.53534838908136					Montague	City of Montague	55100	Montague	City of Montague	55100
1944	michigan	city of hancock-36300	745478.0	55950.0	689528.0	152895.94926931974	152.0	208038.46574815884	1470	1622	360934.4150174786	316.5216257572174	3798.259509086609	7194211.111241831	0.0005279605297030227	219.0	Hancock	2015.0	4995201.0		4586.0	URB				50400000.0	75600000.0		15120000.0	6480000.0						123688000.8	89435939.04		20931815.52	1712603.088	1202701.037096	3838407.5652		1407416.10724	2558938.3768																					POINT (-88.58096 47.12687)	141120000.0	240504280.069536	12537.488120024911	27498.830420318394	14008.34150543399	16284.807374912552	119.33285325628493	11.731643303093762	29.88891569837193					Hancock	City of Hancock	36300	Hancock	City of Hancock	36300
1945	michigan	city of bangor-05140	336110.0	28333.0	307777.0	106061.64254806585	94.0	104134.17821766817	811	905	210195.820765734	196.9576422691345	1969.5764226913452	4786340.385861979	0.00041149944715781876	229.0	Bangor	2015.0	4984863.0		1845.0	RUR				20880000.0	11520000.0		10080000.0							50426646.48	12368800.08		21883261.68		473403.599708	716502.745504		396635.448404																						POINT (-86.11308 42.31254)	42480000.0	86265250.03361599	4497.007484252402	12415.41150596604	8251.917850770407	7352.406693833088	176.0816287151459	83.49797903754734	63.4955405251094					Bangor	City of Bangor	05140	Bangor	City of Bangor	05140
1946	michigan	city of ironwood-41060	1117217.0	92201.0	1025016.0	228039.46451215204	239.0	426825.16242105485	3744	3983	654864.6269332069	177.9902905534815	4805.737844944	17045064.675062694	0.00028194306895032797	445.0	Ironwood	2015.0	4997249.0		4955.0	URB				82800000.0	79200000.0		39600000.0	4680000.0						209318155.2	87533046.72		87533046.72	1332024.624	2047150.70144	4478142.1594		1791256.86376	1919203.7826																					POINT (-90.17101 46.45467)	201600000.0	392700798.3646	20471.492618746597	41257.450212900476	25143.679987547577	24432.66201607966	101.53611161268871	22.82289550554054	19.34968529703425					Ironwood	City of Ironwood	41060	Ironwood	City of Ironwood	41060
1947	michigan	city of fennville-27740	243226.0	52361.0	190865.0	97833.25341972758	62.0	85111.86982628344	579	641	182945.123246011	232.97564125061035	1397.853847503662	2986300.765772253	0.0004680887683937553	45.0	Fennville	2015.0	4992609.0		1401.0	RUR				16560000.0	5040000.0		3420000.0	140400.0						37106400.24	4662086.184		7326135.432	37106.40024	332661.988984	358251.372752		217509.762028	56296.6442896																					POINT (-86.1017 42.59392)	25020000.0	50003044.97976401	2606.6587347950976	9160.24587852348	7212.580565608317	5424.697609261604	251.41715162969126	176.6983061238846	108.10923719510312					Fennville	City of Fennville	27740	Fennville	City of Fennville	27740
1948	michigan	city of st louis-71000	783719.0	72808.0	710911.0	204662.99154634745	160.0	241377.3982518869	1640	1800	446040.38979823433	430.20787087608784	7313.533804893494	9022899.50079745	0.000810552506347557	408.0	Saint Louis	2015.0	5008414.0		7060.0	URB				81220380.141092	3615270.6716229		181665.92074305	11727658.215441						227618966.99878	3274548.7129768		342615.84294215	5407053.1885956	2019153.8648436	328336.04269222		35187.817832535	2060998.6899194	112724.01269963			28.4367924519	3202.6724835203																POINT (-84.60667 43.40836)	85017316.73345795	233731561.72955942	12184.426312961932	28986.64958729124	17398.15385434057	17165.89388559387	137.89917426358357	42.79009456384675	40.883890998894174					St Louis	City of St Louis	71000	St Louis	City of St Louis	71000
1949	michigan	city of north muskegon-58640	561686.0	33702.0	527984.0	129832.67876327467	200.0	247269.15745151002	1498	1698	377101.8362147847	221.40101528343033	3763.8172598183155	10663635.455917036	0.00035295817035173023	266.0	North Muskegon	2015.0	5003811.0		3792.0	URB				50400000.0	28080000.0		5040000.0							123688000.8	30446277.12		9419316.984		1177111.653328	1663309.94492		614145.210432																						POINT (-86.26756 43.25613)	83520000.0	167008161.71267998	8706.135470082007	20672.540374786557	14470.72684258935	12242.278409948598	137.44795203137164	66.21297580673927	40.61667719297829					North Muskegon	City of North Muskegon	58640	North Muskegon	City of North Muskegon	58640
1950	michigan	city of howell-39540	1502855.0	306268.0	1196587.0	579408.363725533	370.0	418883.8062433049	3064	3434	998292.1699688379	462.3391635758536	9709.122435092926	13284264.223940127	0.0007308739326033362	95.0	Howell	2015.0	4996655.0		9527.0	URB				104400000.0	126000000.0		90000000.0	54000.0						237861540.0	142716924.0		199803693.6	15223.13856	2175097.62028	7037080.5362		4606089.07824	21750.9762028																					POINT (-83.9294 42.60726)	320400000.0	594200424.83472	30975.668146633954	56504.43473834484	39608.92342716905	33461.926252047815	82.41554781275971	27.871086556282243	8.026487414716303					Howell	City of Howell	39540	Howell	City of Howell	39540
1951	michigan	city of pinconning-64160	300918.0	16567.0	284351.0	101925.7973741816	71.0	83105.33905449245	585	656	185031.13642867404	300.27456283569336	1201.0982513427734	2232119.240698431	0.0005380977097652495	267.0	Pinconning	2015.0	5005706.0		1257.0	RUR				16200000.0	11520000.0		7200000.0	115200.0						39960738.72	13320246.24		15223138.56	31397.72328	371046.064636	601350.518548		307072.605216	47340.3599708																					POINT (-83.96499 43.85363)	34920000.0	69783592.7084	3637.8186878888914	11066.90371336836	7311.252342579437	6553.820379056742	204.21812253075026	100.9790198428587	80.1579721627103					Pinconning	City of Pinconning	64160	Pinconning	City of Pinconning	64160
1952	michigan	city of tawas city-78140	303560.0	21932.0	281628.0	135858.42591244678	109.0	148382.90099829307	1008	1117	284241.3269107398	213.63525104522705	1709.0820083618164	4374399.371991954	0.0003907009541251736	53.0	Tawas City	2015.0	5011900.0		1787.0	RUR				24480000.0	26640000.0		6120000.0	244800.0						60892554.24	30446277.12		8563015.44	66601.2312	562966.442896	1535363.02608		332661.988984	99798.5966952																					POINT (-83.5147 44.26946)	57240000.0	102332838.25795999	5334.610858387454	11192.877237728158	11117.057877743748	6628.421900182615	109.81618968757434	108.39491713373471	24.253147532981522					Tawas City	City of Tawas City	78140	Tawas City	City of Tawas City	78140
1953	michigan	city of sterling heights-76460	18682949.0	3301072.0	15381877.0	5557298.315827034	3422.0	6961913.221344486	39413	42835	12519211.53717152	880.4653374608235	132950.26595658436	95159443.47424664	0.0013971316046269774	24.0	Sterling Heights	2015.0	5011148.0		132427.0	URB				1296000000.0	1836000000.0		1980000000.0	79200000.0						3234916944.0	2093181552.0		4281507720.0	20931815.52	28148322.1448	101078065.8836		104916473.4488	31986729.71																					POINT (-83.0302 42.58031)	5112000000.0	9843749077.4772	513154.6394088864	699648.0107449575	487289.1400382401	414331.5519631638	36.34252855063276	5.040488263039241	19.25795459231529					Sterling Heights	City of Sterling Heights	76460	Sterling Heights	City of Sterling Heights	76460
1954	michigan	city of brown city-11180	227930.0	15851.0	212079.0	85893.12376726347	72.0	96251.65446051759	645	717	182144.77822778106	366.84381612141925	1100.5314483642578	2923530.177072872	0.0003764392298717928	55.0	Brown City	2015.0	4987112.0		1257.0	RUR				15480000.0	7200000.0		4680000.0							36154954.08	6945556.968		9514461.6		332661.988984	473403.599708		243099.145796																						POINT (-82.98966 43.21225)	27360000.0	53664137.382488005	2797.5114817490994	8400.84042910788	7117.4880138231565	4974.977702117686	200.2969061580183	154.4221198110351	77.83582782677841					Brown City	City of Brown City	11180	Brown City	City of Brown City	11180
1955	michigan	city of oak park-59920	3117487.0	299156.0	2818331.0	886119.2444361604	571.0	1374220.9161015567	10426	10997	2260340.160537717	1407.0078018851902	32361.179443359375	13225275.049372796	0.0024469191999824677	329.0	Oak Park	2015.0	5004188.0		29645.0	URB				331200000.0	334800000.0		136800000.0							837272620.8	371064002.4		285433848.0		7676815.1304	19192037.826		9596018.913																						POINT (-83.18271 42.45948)	802800000.0	1530235343.0693998	79771.16843420781	115356.09961531188	87332.78209449853	68313.88219218768	44.60876263891402	9.47913113060046	14.362690765235131					Oak Park	City of Oak Park	59920	Oak Park	City of Oak Park	59920
1956	michigan	city of munising-56200	382191.0	69782.0	312409.0	125000.70662005413	108.0	145406.6804492672	1104	1212	270407.38706932135	87.43352268218995	2185.8380670547485	13624012.02230391	0.0001604401158393215	202.0	Munising	2015.0	5003065.0		2247.0	RUR				30960000.0	23760000.0		28440000.0	2916000.0						76115692.8	23786154.0		62795446.56	789700.3128	716502.745504	1535363.02608		1279469.1884	1177111.653328																					POINT (-86.64926 46.4112)	83160000.0	166228628.31998402	8665.498394320766	14324.906652015958	10552.561591995996	8483.20971932385	65.30966829795133	21.776741646065993	2.1036144339532252					Munising	City of Munising	56200	Munising	City of Munising	56200
1957	michigan	city of gladwin-32320	767456.0	124874.0	642582.0	248305.7042772811	202.0	198429.61795649218	1363	1565	446735.32223377324	232.39451321688566	2556.339645385742	7491146.753292773	0.0003412481065415104	32.0	Gladwin	2015.0	4993985.0		2875.0	URB				36000000.0	24480000.0		5400000.0	3960000.0						89435939.04	25689046.32		10465907.76	1046590.776	857244.356228	1535363.02608		562966.442896	1663309.94492																					POINT (-84.4864 43.98085)	65880000.0	128546466.94520402	6701.127321853485	28680.853403563917	17664.378234146465	16984.80138559055	328.00042479465964	163.60308326839282	153.46185156339743					Gladwin	City of Gladwin	32320	Gladwin	City of Gladwin	32320
1958	michigan	city of perry-63700	392033.0	19273.0	372760.0	68230.60868510489	57.0	129155.9909710294	914	971	197386.5996561343	209.56200657950507	1886.0580592155457	6773422.598172356	0.0002784497839725005	514.0	Perry	2015.0	5005401.0		2103.0	RUR				25560000.0	10800000.0		684000.0							62795446.56	11417353.92		666012.312		614145.210432	665323.977968		230304.453912																						POINT (-84.21941 42.82642)	37044000.0	76388586.43431202	3982.137010820685	14405.10150665664	7575.9221705001355	8530.70111224206	261.74299044742986	90.24765220066602	114.22419894296793					Perry	City of Perry	63700	Perry	City of Perry	63700
1959	michigan	city of hillsdale-38460	1534938.0	411678.0	1123260.0	529241.6540088655	394.0	342881.551261881	2493	2887	872123.2052707465	333.2126016998291	8330.315042495728	16509088.647550609	0.0005045896366745638	260.0	Hillsdale	2015.0	4996107.0		8167.0	URB				75600000.0	104400000.0		39600000.0							190289232.0	123688000.8		90387385.2		1791256.86376	5757611.3478		1663309.94492																						POINT (-84.63051 41.92005)	219600000.0	413576796.15648	21559.7583836373	58256.397932747044	34730.24206274855	34499.438855772794	170.20895548143304	61.0882712354835	60.017743436104624					Hillsdale	City of Hillsdale	38460	Hillsdale	City of Hillsdale	38460
