	municipality	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
17	leyden	179647.0	1980.0	177667.0	20396.63097227025	43	62794.2704628075	437	480	83190.90143507774	9.619979722933335	740.7384386658669	46793945.63867841	1.5829792263843543e-05																																																			None				7300.770481836001	3365.43944872548	4323.516279343279			
18	huntington	406543.0	11956.0	394587.0	37472.956459409026	48	161015.05665616243	1130	1178	198488.01311557146	19.859366130016067	2184.5302743017673	69447265.4439082	3.1455958133674664e-05																																																			None				16515.8086437	8038.565024433843	9780.661878799137			
19	dudley	1437284.0	77764.0	1359520.0	257218.82833723212	236	605059.8201606885	4036	4272	862278.6484979206	144.42318704102067	13142.51002073288	56735560.963260226	0.00023164501765027872																																																			None				58361.598670716005	34846.767117348565	34561.73873279802			
20	tolland	162754.0	855.0	161899.0	14302.767028679778	31	84575.92250167755	605	636	98878.68953035733	3.885916714073348	516.8269229717553	85051451.5464817	6.076638476761361e-06																																																			None				6614.989018497	4007.9381697178715	3917.396496753923			
21	canton	4012619.0	442477.0	3570142.0	1191327.3003198057	832	1040004.8170215819	6232	7064	2231332.1173413876	285.93145308996503	21730.79043483734	50646321.99238006	0.0004290694680278427																																																			None				162756.12364209903	89757.9148435713	96384.17642085104			
22	mashpee	3519133.0	146477.0	3372656.0	625477.9280150661	980	1097495.5192083584	7350	8330	1722973.4472234244	126.99110832255333	12699.110832255334	66327213.74234531	0.00019146154520505412																																																			None				142930.790753571	69541.36852007972	84643.61428426474			
23	lynnfield	2008328.0	40767.0	1967561.0	361774.05529083754	511	694590.0183660731	3857	4368	1056364.0736569106	283.41840646531847	12753.828290939331	27059057.027360637	0.0004713330652300026																																																			None				81602.785482921	42653.34149117915	48325.16956298581			
24	barnstable	10804964.0	939122.0	9865842.0	1716888.7501083582	2126	3315011.925452919	20831	22957	5031900.675561277	174.84744579527512	43537.014003023505	162335044.22641644	0.00026819233154795803																																																			None				438460.415562654	203180.62754929793	259656.25809620367			
25	dover	1089951.0	45706.0	1044245.0	287289.2005268883	581	363658.49277482193	1887	2468	650947.6933017102	91.7928460426018	5599.363608598709	39967571.3743753	0.0001400976695869159																																																			None				44268.464809134006	26232.761336384516	26215.784859969157			
26	mendon	987045.0	7367.0	979678.0	145233.4145872554	210	405544.6616371004	2474	2684	550778.0762243558	86.88428751627605	5995.015838623047	46606883.748328134	0.00012862940742821275																																																			None				40115.825825337	22273.346799993684	23756.59205376457			
