	municipality	state_x	city_x	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	state_y	city_y	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
0	aguascalientes, aguascalientes	Aguascalientes	Aguascalientes	52174652.0	3160837.0	49013815.0	9172034.166857488	9251.0	7558787.438992996	80319	89570	16730821.605850484	Aguascalientes	Aguascalientes	586.2005970943959	865818.2819084227	1183071984.5146139	0.000731839053955493	381.0	Aguascalientes	2016.0	6942835.0		875860.0	URB				1500000000.0	1100000000.0									280000000.0	140000000.0					19000000.0				14000000.0					1800000000.0	620000000.0														POINT (-102.3 21.88333)	2600000000.0	2873000000.0	167869.39	1156281.4963657793	351735.3929629983	684749.9021478144	588.7982951303864	109.52920181755488	307.90635037621473
1	asientos, aguascalientes	Aguascalientes	Asientos	5784687.0	10593.0	5774094.0	1238902.7768133918	1630.0	2072835.7114868318	19767	21397	3311738.488300224	Aguascalientes	Asientos	71.93153288326457	49704.689222335815	551715843.723313	9.009110357770123e-05	269.0	Asientos	2016.0	6942836.0		49934.0	URB				76000000.0	9700000.0									14000000.0	1200000.0					160000.0				690000.0					87000000.0	5400000.0														POINT (-102.08333 22.23333)	85700000.0	108450000.0	6336.7335	128992.2888726479	70969.69267954721	76389.23347038208	1935.6274865062244	1019.9728169023867	1105.498597508986
2	calvillo, aguascalientes	Aguascalientes	Calvillo	5302392.0	75667.0	5226725.0	15104.451228703443	34.0	119159.33326988565	1446	1480	134263.78449858908	Aguascalientes	Calvillo	49.17890786662438	57490.1432960839	937091113.675024	6.134957685237535e-05	28.0	Calvillo	2016.0	6942837.0		58267.0	URB				98000000.0	31000000.0									18000000.0	3800000.0					520000.0				890000.0					110000000.0	17000000.0														POINT (-102.71666 21.85)	129000000.0	150210000.0	8776.7703	118083.62891918089	2959.245007689115	69929.12504593891	1245.410952810066	66.2832123145673	696.752366254121
3	cosío, aguascalientes	Aguascalientes	Cosío	1732227.0	27750.0	1704477.0	118883.96843847133	82.0	61163.2951800379	621	703	180047.26361850923	Aguascalientes	Cosío	98.10071508991129	15892.31584456563	130175762.7356687	0.00012208352392630974																																																			None				38569.41008142588	3738.0520936392436	22840.8046502204			
4	elllano, aguascalientes	Aguascalientes	ElLlano	3348609.0	10884.0	3337725.0	553198.739963696	688.0	830010.6121374561	8233	8921	1383209.352101152	Aguascalientes	ElLlano	31.30298196181747	20284.33231125772	512222093.1044472	3.9600658746130154e-05																																																			None				74659.27837825475	29558.34950502772	44213.224655602455			
5	jesúsmaría, aguascalientes	Aguascalientes	JesúsMaría	9987128.0	567899.0	9419229.0	3495548.2783349482	3517.0	2422099.265946791	23014	26531	5917647.544281739	Aguascalientes	JesúsMaría	187.72895854214045	119207.88867425919	508034599.5253546	0.00023464521665577984	91.0	Jesús María	2016.0	6942839.0		113254.0	URB				170000000.0	81000000.0									32000000.0	9900000.0					1300000.0				1600000.0					200000000.0	45000000.0														POINT (-102.35 21.96667)	251000000.0	289800000.0	16933.014	221418.9313804231	123820.84183740601	131124.29116348654	1207.6167738385093	631.2392338269254	674.3706534671651
6	pabellóndearteaga, aguascalientes	Aguascalientes	PabellóndeArteaga	3926135.0	15435.0	3910700.0	1569369.2850847598	1589.0	888277.1041522302	8191	9780	2457646.38923699	Aguascalientes	PabellóndeArteaga	177.49277056700626	44905.67095345259	198288772.6746534	0.0002264660290531554	152.0	Pabellón de Arteaga	2016.0	6942840.0		45183.0	URB				71000000.0	29000000.0									13000000.0	3600000.0					490000.0				650000.0					82000000.0	16000000.0														POINT (-102.26666 22.15)	100000000.0	115740000.0	6762.6882000000005	87529.32939991141	51149.113151295074	51834.868870627535	1194.2978710730947	656.3429162872698	666.4831992494868
7	rincónderomos, aguascalientes	Aguascalientes	RincóndeRomos	4727062.0	105236.0	4621826.0	1458245.9182386636	1581.0	1490986.3226810074	14179	15760	2949232.240919671	Aguascalientes	RincóndeRomos	111.23037785865078	53168.12061643507	378523210.9199033	0.0001404619824692484	190.0	Rincón de Romos	2016.0	6942841.0		53225.0	URB				84000000.0	31000000.0									15000000.0	3800000.0					520000.0				760000.0					96000000.0	17000000.0														POINT (-102.31666 22.23333)	115000000.0	133080000.0	7775.8644	105182.8902025625	62372.507767130024	62289.30757795751	1252.6842135076647	702.1295711783505	701.059591239239
8	sanfranciscodelosromo, aguascalientes	Aguascalientes	SanFranciscodelosRomo	4918824.0	771310.0	4147514.0	2067123.557233107	1605.0	853854.8644874012	8079	9684	2920978.421720508	Aguascalientes	SanFranciscodelosRomo	241.67531566099188	42051.50492501259	139854506.92115325	0.0003006803702702285	437.0	San Francisco de los Romo	2016.0	6942846.0		41188.0	URB				64000000.0	20000000.0									12000000.0	2400000.0					330000.0				590000.0					74000000.0	11000000.0														POINT (-102.22902 22.03307)	84000000.0	100320000.0	5861.6976	107904.60473716658	60320.71148180326	63901.10692535004	1740.8422286602872	929.0655642454715	990.146767812622
9	sanjosédegracia, aguascalientes	Aguascalientes	SanJosédeGracia	1279736.0		1279736.0	41282.116976947575	89.0	330042.87744228484	3876	3965	371324.9944192324	Aguascalientes	SanJosédeGracia	8.460844963111345	9205.399319865144	870733317.1267687	1.0572007684558307e-05																																																			None					8185.346957029309				
10	tepezalá, aguascalientes	Aguascalientes	Tepezalá	2653496.0	106525.0	2546971.0	764537.05339988	664.0	638958.4064467472	6183	6847	1403495.4598466272	Aguascalientes	Tepezalá	73.23054830679958	21822.703395426273	233415843.48659995	9.349281123960672e-05																																																			None				58932.72658797624	29517.348625393388	34899.96068539953			
11	ensenada, bajacalifornia	BajaCalifornia	Ensenada	49509424.0	1228226.0	48281198.0	9446924.01614116	11485.0	10673644.098637983	89456	100941	20120568.11477914	BajaCalifornia	Ensenada	7.132744125750299	516888.5685607469	54006336288.330315	9.570887493666852e-06	342.0	Ensenada Municipality	2016.0	6942830.0		527666.0	URB				960000000.0	470000000.0									180000000.0	57000000.0					7800000.0				8800000.0					1100000000.0	260000000.0														POINT (-116.61666 31.86667)	1430000000.0	1613600000.0	94282.648	1101350.7689247057	426695.75192974135	652219.9253572107	1068.13728961527	352.57081868313816	591.7709029101629
12	mexicali, bajacalifornia	BajaCalifornia	Mexicali	62939946.0	2651831.0	60288115.0	28887306.647387166	31581.0	21450144.64658919	166464	198045	50337451.29397635	BajaCalifornia	Mexicali	49.38679247644328	991983.1136818398	14676567446.693745	6.75895857314585e-05	217.0	Mexicali Municipality	2016.0	6942831.0		1039260.0	URB				2000000000.0	1100000000.0									360000000.0	130000000.0					18000000.0				18000000.0					2300000000.0	600000000.0														POINT (-115.14771 32.50513)	3100000000.0	3426000000.0	200181.18	1397570.4438870975	1055238.2674902126	827641.2168699391	598.1527653534152	427.1415961731331	313.44606764229246
13	playasderosarito, bajacalifornia	BajaCalifornia	PlayasdeRosarito	7261855.0	514187.0	6747668.0	2636568.8606399656	3327.0	2822515.1955060866	21967	25294	5459084.056146052	BajaCalifornia	PlayasdeRosarito	154.67689056593636	107036.40827162797	501343071.1034763	0.00021349932698987246	55.0	Playas de Rosarito	2016.0	6942834.0		107096.0	URB				170000000.0	110000000.0									32000000.0	13000000.0					1800000.0				1600000.0					200000000.0	58000000.0														POINT (-117.03186 32.34342)	280000000.0	306400000.0	17902.952	160762.0370089626	115599.00845251887	95203.27831670764	797.9638498107049	545.6980304282716	431.7741918578994
14	tecate, bajacalifornia	BajaCalifornia	Tecate	8402978.0	612919.0	7790059.0	2382149.721689729	2887.0	3808745.9386816006	32290	35177	6190895.66037133	BajaCalifornia	Tecate	29.101670844258212	107734.3854654439	2688849774.848172	4.006708982896867e-05	224.0	Tecate	2016.0	6942832.0		112604.0	URB				190000000.0	76000000.0									35000000.0	9300000.0					1300000.0				1800000.0					220000000.0	42000000.0														POINT (-116.63223 32.55029)	266000000.0	309400000.0	18078.242000000002	185982.2040484411	132514.78166539292	110138.66123748681	928.7626642482221	633.0070128798636	509.23324976779713
15	tijuana, bajacalifornia	BajaCalifornia	Tijuana	73697207.0	8502285.0	65194922.0	37242576.58019197	36280.0	20361884.353313647	163160	199440	57604460.93350562	BajaCalifornia	Tijuana	988.0571033165834	1683649.3040514581	1238243787.4857996	0.001359707451042444	353.0	Tijuana	2016.0	6942833.0		1748062.0	URB				3200000000.0	1700000000.0									590000000.0	210000000.0					29000000.0				29000000.0					3700000000.0	960000000.0														POINT (-116.97212 32.50223)	4900000000.0	5518000000.0	322416.74	1623831.763233259	1197807.4165959621	961633.1701867359	403.64375101406307	271.5090651297951	198.2578293505281
16	lapaz, bajacaliforniasur	BajaCaliforniaSur	LaPaz	28839111.0	444979.0	28394132.0	1527747.7584217715	2391.0	5623205.838588381	63079	65470	7150953.597010153	BajaCaliforniaSur	LaPaz	14.3616360951574	282823.6996219347	15476894084.074303	1.8273931325339998e-05	166.0	La Paz	2016.0	6942826.0		297804.0	URB				530000000.0	370000000.0									97000000.0	45000000.0					6200000.0				4800000.0					610000000.0	200000000.0														POINT (-110.3 24.13333)	900000000.0	963000000.0	56268.090000000004	642165.4505523056	155922.05570042683	380290.3798170753	1041.2604382915886	177.1056485130859	575.8544315562788
17	loreto, bajacaliforniasur	BajaCaliforniaSur	Loreto	2186179.0	13102.0	2173077.0	129624.49292396233	235.0	656299.9708128048	7446	7681	785924.4637367671	BajaCaliforniaSur	Loreto	3.7384029216402737	22535.09281164757	4643879127.308401	4.8526441351863824e-06																																																			None				48728.19268995516	17225.97386707468	28856.835710991443			
18	loscabos, bajacaliforniasur	BajaCaliforniaSur	LosCabos	22301374.0	470370.0	21831004.0	466613.59253939585	643.0	1601663.4117335689	20916	21559	2068277.0042729648	BajaCaliforniaSur	LosCabos	71.21165212027135	340035.6388742957	3769264374.4910007	9.021273253622967e-05	562.0	Los Cabos Municipality	2016.0	6941773.0		317224.0	URB				490000000.0	520000000.0									91000000.0	63000000.0					8700000.0				4500000.0					570000000.0	290000000.0														POINT (-109.75322 23.27663)	1010000000.0	1027200000.0	60019.296	496293.7203914206	45039.71373599407	293905.14121579926	726.8902727406542	24.957943965230672	389.6844195170154
19	mulegé, bajacaliforniasur	BajaCaliforniaSur	Mulegé	8210233.0	176075.0	8034158.0	22769.15301154266	44.0	150534.40034740246	1706	1750	173303.55335894512	BajaCaliforniaSur	Mulegé	1.57013331511374	63202.57633327338	31000913953.892212	2.0387326782453844e-06	1.0	Mulegé Municipality	2016.0	6942828.0		68710.0	URB				120000000.0	44000000.0									23000000.0	5400000.0					740000.0				1100000.0					140000000.0	25000000.0														POINT (-112.33333 26.6)	164000000.0	195240000.0	11407.8732	182703.34487012652	3812.0606925675233	108196.92083208892	1501.554835568531	66.58394929768747	848.440773623684
20	calkiní, campeche	Campeche	Calkiní	4407790.0	24230.0	4383560.0	443625.7504271182	804.0	2174725.9603055012	26980	27784	2618351.7107326193	Campeche	Calkiní	21.21724371424045	54931.44397616852	2100667122.2371938	2.614952335602176e-05	321.0	Calkiní	2016.0	6942857.0		58481.0	URB				97000000.0	31000000.0									18000000.0	3800000.0					520000.0				890000.0					110000000.0	17000000.0														POINT (-89.98764 20.38583)	128000000.0	150210000.0	8776.7703	98251.24132620361	57361.81252838873	58184.38511337777	1019.4464246854405	553.5640169184869	562.9361726987179
21	campeche, campeche	Campeche	Campeche	19339798.0	745267.0	18594531.0	4016371.197660027	5129.0	7215768.962687189	83023	88152	11232140.160347216	Campeche	Campeche	68.34639813836188	274615.827719938	3259469000.6176386	8.425170715472394e-05	297.0	Campeche City	2016.0	6942858.0		290649.0	URB				550000000.0	350000000.0									100000000.0	43000000.0					5900000.0				5000000.0					630000000.0	200000000.0														POINT (-90.53009 19.81839)	900000000.0	983900000.0	57489.277	429599.25638914754	241134.97520170957	254408.67963365314	647.2684973741234	319.4433949860068	342.5324041449558
22	carmen, campeche	Campeche	Carmen	16340544.0	411272.0	15929272.0	2030904.3537247991	2906.0	4223888.769632766	46438	49344	6254793.123357566	Campeche	Carmen	28.711891875653723	233255.40959781085	6659117179.4228525	3.502797793055613e-05																																																			None				363486.1317560698	134760.0092055211	215256.4872259445			
23	champotón, campeche	Campeche	Champotón	8892598.0	72006.0	8820592.0	409691.6721626021	700.0	2300871.6627156967	28640	29340	2710563.334878299	Campeche	Champotón	10.154034589125231	86116.36735037109	6892452861.185661	1.2494299066639838e-05	47.0	Champotón	2016.0	6942860.0		92637.0	URB				160000000.0	52000000.0									30000000.0	6300000.0					870000.0				1500000.0					180000000.0	29000000.0														POINT (-90.70991 19.35042)	212000000.0	247670000.0	14471.3581	198165.25371037034	59497.65809717662	117353.46324728131	1269.3618272798483	311.140804380873	710.9360741151262
24	escárcega, campeche	Campeche	Escárcega	6806625.0	39614.0	6767011.0	1098.8912811819173	2.0	23451.92169339053	365	367	24550.812974572447	Campeche	Escárcega	9.810329308316971	57812.27061391191	4809931191.422769	1.201935502050522e-05	158.0	Escárcega	2016.0	6942865.0		60399.0	URB				100000000.0	43000000.0									19000000.0	5300000.0					720000.0				920000.0					120000000.0	24000000.0														POINT (-90.7287 18.61404)	143000000.0	169940000.0	9929.5942	151717.01482670582	544.99589326154	89846.81618037519	1427.9276450865016	94.51139812680823	804.8387514202261
25	hecelchakán, campeche	Campeche	Hecelchakán	2639961.0	1070.0	2638891.0	246936.0210745343	399.0	1161453.9938753848	14340	14739	1408390.014949919	Campeche	Hecelchakán	18.391932599172428	29279.956697882502	1281523603.6697533	2.2847770118347274e-05																																																			None				58877.07575366485	30835.040254755666	34867.004261320326			
26	hopelchén, campeche	Campeche	Hopelchén	4762506.0	44313.0	4718193.0	3275.0335713603276	7.0	29124.8438969002	522	529	32399.87746826053	Campeche	Hopelchén	4.204208171631437	40591.62989710152	7822676137.646876	5.18896975700592e-06	487.0	Hopelchén	2016.0	8583595.0		41699.0	URB				64000000.0	13000000.0									12000000.0	1500000.0					210000.0				580000.0					73000000.0	7000000.0														POINT (-89.68745 19.57579)	77000000.0	94290000.0	5509.3647	106115.65161443425	714.9741425517791	62841.688886067954	1826.0959728157811	87.02256645758487	1040.6340351015056
27	tenabo, campeche	Campeche	Tenabo	1131819.0	19970.0	1111849.0	85798.85229581679	127.0	447720.7289436209	6158	6285	533519.5812394377	Campeche	Tenabo	7.899911266077608	10317.284113497357	1063994288.7874693	9.69674764443986e-06																																																			None				25196.55654504636	11698.864543500684	14921.400785976452			
28	berriozábal, chiapas	Chiapas	Berriozábal	5343788.0	34354.0	5309434.0	6148.5132084713205	10.0	19544.271028856852	205	215	25692.784237328175	Chiapas	Berriozábal	124.744519458632	54014.376925587654	359312312.2622632	0.00015032709729735728	232.0	Berriozábal	2016.0	6955079.0		51163.0	URB				69000000.0	22000000.0									13000000.0	2700000.0					380000.0				630000.0					79000000.0	12000000.0														POINT (-93.26667 16.8)	91000000.0	107710000.0	6293.4953000000005	119103.35230865951	558.675330555466	70533.00523718816	1792.4833757905485	91.1229721494276	1020.7286551431628
29	cacahoatán, chiapas	Chiapas	Cacahoatán	3032495.0	22713.0	3009782.0	370503.65494028106	626.0	692067.4487203172	6457	7083	1062571.1036605984	Chiapas	Cacahoatán	220.64647161330169	45894.46609556675	174608324.68675807	0.0002628423712208453	150.0	Cacahoatán	2016.0	6955082.0		47369.0	URB				76000000.0	14000000.0									14000000.0	1700000.0					230000.0				690000.0					87000000.0	7600000.0														POINT (-92.15881 15.06151)	90000000.0	111220000.0	6498.5846	67581.3060145314	22833.658980368036	40021.64942180549	939.9388509081099	251.3635720056339	515.8517875077825
30	catazajá, chiapas	Chiapas	Catazajá	1752080.0	12375.0	1739705.0	336.4109976667996	1.0	4214.236611089666	50	51	4550.647608756466	Chiapas	Catazajá	23.973763510153848	18028.270159635693	633786737.6071867	2.8445325674847736e-05																																																			None				39048.0939956052	100.70852312464385	23124.281264197398			
31	chamula, chiapas	Chiapas	Chamula	8149322.0	4701.0	8144621.0	116587.67444345212	204.0	1260740.8879613415	19491	19695	1377328.5624047935	Chiapas	Chamula	206.26714381076502	86219.66611289978	346124826.91089326	0.0002490999183225197	415.0	Chamula	2016.0	6955085.0		85177.0	URB				120000000.0	7100000.0									23000000.0	870000.0					120000.0				1100000.0					140000000.0	3900000.0														POINT (-92.68333 16.78333)	127100000.0	168990000.0	9874.0857	181744.96952743488	30446.616020397512	107629.37095414693	1740.6258062701936	208.34871141940275	990.0186024732086
32	chiapadecorzo, chiapas	Chiapas	ChiapadeCorzo	7967528.0	49175.0	7918353.0	20716.812790081014	27.0	241593.40395132935	3473	3500	262310.2167414104	Chiapas	ChiapadeCorzo	95.54114456120301	95636.68570576422	835059043.2381685	0.00011452685469389921	19.0	Chiapa de Corzo	2016.0	6955089.0		100669.0	URB				160000000.0	34000000.0									30000000.0	4200000.0					570000.0				1500000.0					190000000.0	19000000.0														POINT (-93.00854 16.70197)	194000000.0	245270000.0	14331.1261	177586.54118206634	5801.985901304962	105166.74968801968	1139.1666917372695	59.51479415630176	633.834514846811
33	comitándedomínguez, chiapas	Chiapas	ComitándeDomínguez	14615406.0	225591.0	14389815.0	2310451.740313741	2874.0	4288988.314653565	50266	53140	6599440.054967307	Chiapas	ComitándeDomínguez	135.6866828240986	161602.83924350142	983914331.8510867	0.00016424482702622088	603.0	Comitán Municipality	2016.0	6955096.0		160859.0	URB				260000000.0	160000000.0									48000000.0	20000000.0					2700000.0				2400000.0					300000000.0	89000000.0														POINT (-92.13203 16.24105)	420000000.0	462100000.0	27000.503	325443.57626525185	141794.03331916654	192727.68586428213	1105.3241240181778	425.1533029557507	613.792946243565
34	fronterahidalgo, chiapas	Chiapas	FronteraHidalgo	1367332.0	4494.0	1362838.0	161197.6759616812	262.0	672338.1508884679	7290	7552	833535.8268501491	Chiapas	FronteraHidalgo	134.64653808146983	14945.765727043152	94412109.81261101	0.00015830348200784286																																																			None				30485.384055938885	18214.140496038974	18053.444437927006			
35	huehuetán, chiapas	Chiapas	Huehuetán	2914908.0		2914908.0	15589.03597774756	31.0	203966.77030074096	2181	2212	219555.8062784885	Chiapas	Huehuetán	99.65613241688065	36673.45672941208	304612987.3350339	0.00012039360846120503	560.0	Huehuetán	2016.0	8581722.0		36871.0	URB				62000000.0	12000000.0									11000000.0	1500000.0					200000.0				560000.0					71000000.0	6800000.0														POINT (-92.40093 15.03045)	74000000.0	91060000.0	5320.6358		4860.398455891023			8.650044118956172	
36	laindependencia, chiapas	Chiapas	LaIndependencia	4097032.0		4097032.0	49071.262907490534	55.0	107750.21091767644	1239	1294	156821.47382516696	Chiapas	LaIndependencia	72.48069761080183	45082.99391391873	516942942.9447421	8.721077350839823e-05	298.0	La Independencia	2016.0	8581727.0		46152.0	URB				70000000.0	9500000.0									13000000.0	1200000.0					160000.0				630000.0					80000000.0	5200000.0														POINT (-91.74111 16.21503)	79500000.0	100190000.0	5854.1017		3383.0457840642457			42.210676250051385	
37	latrinitaria, chiapas	Chiapas	LaTrinitaria	10498855.0	55628.0	10443227.0	329845.2920370864	394.0	758198.8978541637	9652	10046	1088044.18989125	Chiapas	LaTrinitaria	44.354920799269905	84407.41428101063	1611405892.4528494	5.2381224790314854e-05	591.0	La Trinitaria	2016.0	8581783.0		84176.0	URB				130000000.0	13000000.0									23000000.0	1600000.0					210000.0				1200000.0					150000000.0	7100000.0														POINT (-91.93339 16.01755)	143000000.0	183110000.0	10699.1173	234028.1627099478	23496.721976501063	138591.47795683108	2087.359537687729	119.61364959052337	1195.354318218673
38	lasmargaritas, chiapas	Chiapas	LasMargaritas	10950793.0	2334.0	10948459.0	54663.088192314324	77.0	442600.20092893817	7078	7155	497263.2891212525	Chiapas	LasMargaritas	33.91308898374984	124189.7318584919	3031599109.9937024	4.096509048610648e-05	262.0	Las Margaritas	2016.0	8581738.0		124499.0	URB				160000000.0	23000000.0									28000000.0	2900000.0					390000.0				1400000.0					180000000.0	13000000.0														POINT (-91.74028 16.3856)	183000000.0	225690000.0	13187.0667	244232.25978458775	10962.931003045032	144634.34424443284	1752.0590313279279	16.866038123208757	996.7893583523988
39	mazatán, chiapas	Chiapas	Mazatán	3228006.0	136.0	3227870.0	275515.63682565745	482.0	1375160.6759070167	14079	14561	1650676.3127326742	Chiapas	Mazatán	61.75332537898492	28591.78965047002	384437786.8556504	7.43729951322546e-05																																																			None				71994.54084216985	36172.07015184179	42635.16708673298			
40	metapa, chiapas	Chiapas	Metapa	595628.0	20107.0	575521.0	64675.998158655006	91.0	306023.1301350978	3296	3387	370699.1282937528	Chiapas	Metapa	185.46433094569616	5193.001266479492	22842338.73122202	0.0002273410497753212																																																			None				13237.462394100721	8116.766637717075	7839.225229786446			
41	palenque, chiapas	Chiapas	Palenque	10340089.0	45327.0	10294762.0	474652.28023279307	738.0	1532742.2344427751	17290	18028	2007394.5146755683	Chiapas	Palenque	35.1679251146975	124142.77565488219	2903142940.356803	4.2761509924008345e-05	446.0	Palenque	2016.0	8581751.0		124262.0	URB				190000000.0	70000000.0									35000000.0	8600000.0					1200000.0				1700000.0					220000000.0	39000000.0														POINT (-91.89544 17.50435)	260000000.0	305500000.0	17850.365	230511.22452812555	43663.07025612597	136508.74716555595	1191.3530033034367	144.60603610136803	664.7392485562953
42	saltodeagua, chiapas	Chiapas	SaltodeAgua	4556898.0		4556898.0	957.7277733879546	2.0	4428.894707960297	64	66	5386.622481348251	Chiapas	SaltodeAgua	40.32495968052739	60527.76448047161	1235186867.892613	4.90029209780539e-05	155.0	Salto de Agua	2016.0	8581763.0		61848.0	URB				86000000.0	7300000.0									16000000.0	890000.0					120000.0				780000.0					98000000.0	4000000.0														POINT (-92.2064 17.42001)	93300000.0	119790000.0	6999.3297		117.90274717226488			98.31551373880465	
43	sancristóbaldelascasas, chiapas	Chiapas	SanCristóbaldelasCasas	11909498.0	322575.0	11586923.0	1648140.5698981434	2555.0	4678497.993416579	55569	58124	6326638.563314723	Chiapas	SanCristóbaldelasCasas	428.17768224412924	204668.9321126938	396842717.8736881	0.0005157431972276691	195.0	San Cristobal De Casas	2016.0	7778823.0		209506.0	URB				310000000.0	220000000.0									57000000.0	27000000.0					3700000.0				2900000.0					360000000.0	120000000.0														POINT (-92.6 16.7)	530000000.0	570600000.0	33340.158	264866.72884707316	137256.09322993882	156854.0768232367	694.437533400631	311.68399150939484	370.46590727985364
44	suchiate, chiapas	Chiapas	Suchiate	3772900.0	55254.0	3717646.0	576504.5225232851	807.0	1539570.6025425822	16097	16904	2116075.1250658673	Chiapas	Suchiate	121.35906905975206	34101.89840579033	236392092.03763285	0.00014425989512526256	118.0	Suchiate	2016.0	8581772.0		37935.0	URB				67000000.0	20000000.0									12000000.0	2400000.0					330000.0				610000.0					77000000.0	11000000.0														POINT (-92.22252 14.64138)	87000000.0	103340000.0	6038.1562	84018.7268851248	45849.18446462048	49755.8900613709	1291.4632894910005	659.3242530662005	724.0245600365704
45	tapachula, chiapas	Chiapas	Tapachula	22606768.0	405568.0	22201200.0	2902422.936219179	4259.0	9849829.95645173	111005	115264	12752252.892670909	Chiapas	Tapachula	301.22904580690806	357257.648326993	984433376.1812894	0.0003629068832599209	284.0	Tapachula	2016.0	8581774.0		360648.0	URB				630000000.0	380000000.0									110000000.0	47000000.0					6400000.0				5700000.0					720000000.0	210000000.0														POINT (-92.30211 14.94755)	1010000000.0	1099100000.0	64220.413	503256.28715497156	277639.2674786584	298028.3732531741	683.6391322412884	332.3224571580666	364.07109411329094
46	tuxtlachico, chiapas	Chiapas	TuxtlaChico	4043167.0	10092.0	4033075.0	452483.36188145657	888.0	2253596.8654273255	21921	22809	2706080.2273087823	Chiapas	TuxtlaChico	210.27085146151092	39951.46177768707	166459564.44373703	0.00024000700657360292	477.0	Tuxtla Chico	2016.0	8581703.0		41666.0	URB				69000000.0	7600000.0									13000000.0	930000.0					130000.0				620000.0					78000000.0	4200000.0														POINT (-92.18978 14.92411)	76600000.0	96880000.0	5660.6984	90151.99249168189	59297.75773495213	53388.00995357401	1492.5948729521058	947.534306631707	843.1346837622369
47	tuxtlagutiérrez, chiapas	Chiapas	TuxtlaGutiérrez	36721348.0	987759.0	35733589.0	4323186.275981944	5961.0	13463008.942595359	165921	171882	17786195.218577303	Chiapas	TuxtlaGutiérrez	1481.15274225496	605791.4715822786	336561128.878217	0.0017999448528159688	538.0	Tuxtla Gutiérrez	2016.0	8581785.0		621163.0	URB				1100000000.0	840000000.0									200000000.0	100000000.0					14000000.0				9900000.0					1200000000.0	470000000.0														POINT (-93.13618 16.70842)	1940000000.0	1993900000.0	116503.577	816697.229683832	386594.994639248	483648.0994187653	601.0061413683735	231.831008621519	315.13583691835083
48	uniónjuárez, chiapas	Chiapas	UniónJuárez	1048468.0		1048468.0	3032.0940356940855	7.0	18586.777864143995	233	240	21618.87189983808	Chiapas	UniónJuárez	218.23915569284068	14622.023431420326	58316508.281857446	0.0002507355783502784																																																			None					475.0904664609845				
49	zinacantán, chiapas	Chiapas	Zinacantán	2800799.0	85.0	2800714.0	455078.72608617623	638.0	326920.0873895019	3245	3883	781998.8134756781	Chiapas	Zinacantán	177.02331638937238	42131.549300670624	195646128.04540378	0.00021534568417777794	428.0	Zinacantán	2016.0	8581793.0		41156.0	URB				51000000.0	11000000.0									9300000.0	1400000.0					190000.0				460000.0					58000000.0	6400000.0														POINT (-92.77572 16.72425)	62000000.0	75750000.0	4426.0725	62466.577424215575	16378.528328182596	36992.70715062046	1311.3319974811884	270.04654415811297	735.7908089083596
50	ahumada, chihuahua	Chihuahua	Ahumada	2882113.0	13365.0	2868748.0	462806.7195824592	551.0	320967.99317021883	2475	3026	783774.712752678	Chihuahua	Ahumada	0.48161450505989284	11008.262742153971	16965755636.380201	6.488518977927873e-07																																																			None				64249.13272418172	16400.09275763386	38048.33639926041			
51	aldama, chihuahua	Chihuahua	Aldama	3657252.0	14504.0	3642748.0	781623.7188132413	1279.0	1190582.7007823451	8661	9940	1972206.4195955864	Chihuahua	Aldama	1.9980568267566898	24582.093139587556	9250375870.526815	2.657415599501211e-06																																																			None				81534.55225103568	42161.52699622758	48284.76184306333			
52	aquilesserdán, chihuahua	Chihuahua	AquilesSerdán	1353145.0	66307.0	1286838.0	142730.0578557995	190.0	139355.07823681744	1237	1427	282085.13609261694	Chihuahua	AquilesSerdán	27.593654362918226	18129.030916437274	496843812.78597873	3.6488390214182994e-05																																																			None				30024.643705414204	5958.145664718688	17780.59400234629			
53	ascensión, chihuahua	Chihuahua	Ascensión	4694008.0	14958.0	4679050.0	641271.9767723252	987.0	1192883.4862847514	9279	10266	1834155.4630570768	Chihuahua	Ascensión	1.4291926829056396	25085.18997035979	12898948734.905857	1.9447468538638912e-06																																																			None				104656.46702518512	39410.25117912391	61977.55977231462			
