	municipality	state_x	city_x	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	state_y	city_y	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
1065	sanpablodelmonte, tlaxcala	Tlaxcala	SanPablodelMonte	4187057.0	116.0	4186941.0	596311.6340357654	1050.0	2267940.519136511	24408	25458	2864252.1531722764	Tlaxcala	SanPablodelMonte	1054.1659549836602	73791.61684885621	59342504.04033089	0.0012434867392637373	537.0	San Pablo del Monte	2016.0	8583514.0		76875.0	URB				110000000.0	43000000.0									20000000.0	5300000.0					720000.0				970000.0					120000000.0	24000000.0														POINT (-98.13501 19.15287)	153000000.0	170990000.0	9990.9457	93384.49230650628	62489.678302881235	55302.29634391301	834.6912205368735	525.463096079896	453.5241408019364
1066	sanctórumdelázarocárdenas, tlaxcala	Tlaxcala	SanctórumdeLázaroCárdenas	842584.0	20101.0	822483.0	99728.29724847646	125.0	225154.1764817228	2545	2670	324882.4737301993	Tlaxcala	SanctórumdeLázaroCárdenas	83.34819505626838	10501.872577089816	99758656.65892228	0.00010527279465075418																																																			None				18745.385077226158	7013.066389929911	11101.017042733329			
1067	santaananopalucan, tlaxcala	Tlaxcala	SantaAnaNopalucan	721669.0		721669.0	49716.80805336015	95.0	284608.9875268231	3387	3482	334325.7955801833	Tlaxcala	SantaAnaNopalucan	580.4321508407593	8126.05011177063	9302828.78281257	0.0008735031356036461																																																			None					7340.452636777172				
1068	santaapoloniateacalco, tlaxcala	Tlaxcala	SantaApoloniaTeacalco	576534.0		576534.0	38260.30431756092	71.0	194576.9480788522	2323	2394	232837.25239641313	Tlaxcala	SantaApoloniaTeacalco	518.2235443808815	5700.458988189697	7999207.004876537	0.0007126280123410408																																																			None					5103.682883153816				
1069	santacatarinaayometla, tlaxcala	Tlaxcala	SantaCatarinaAyometla	1001652.0	37957.0	963695.0	124318.58483660783	228.0	375090.9662103356	3526	3754	499409.55104694347	Tlaxcala	SantaCatarinaAyometla	726.4515350081704	7990.966885089874	10000578.456352616	0.000799050466927122																																																			None				22251.41893652328	10848.163480747651	13177.290294209086			
1070	santacruzquilehtla, tlaxcala	Tlaxcala	SantaCruzQuilehtla	509906.0	58534.0	451372.0	188380.85714613192	236.0	281268.815883021	2578	2814	469649.6730291529	Tlaxcala	SantaCruzQuilehtla	1245.8305140904017	8720.813598632812	5491069.794579673	0.0015881811604801079																																																			None				11235.865844611442	10034.846399267695	6653.879753178896			
1071	santacruztlaxcala, tlaxcala	Tlaxcala	SantaCruzTlaxcala	1516127.0	11069.0	1505058.0	262034.4327103826	449.0	757489.4493471473	7363	7812	1019523.8820575299	Tlaxcala	SantaCruzTlaxcala	670.8817935270422	22809.980979919434	25995796.580136348	0.0008774488179119224																																																			None				33788.63674490868	22126.829006593667	20009.63068033492			
1072	santaisabelxiloxoxtla, tlaxcala	Tlaxcala	SantaIsabelXiloxoxtla	647460.0	64910.0	582550.0	261217.27432954393	140.0	170541.1671755348	1786	1926	431758.44150507875	Tlaxcala	SantaIsabelXiloxoxtla	663.1951163155692	4642.365814208984	6102760.689897228	0.0007606993048071106																																																			None				14288.8729176144	9019.687702483456	8461.870541811248			
1073	tenancingo, tlaxcala	Tlaxcala	Tenancingo	1053958.0	14582.0	1039376.0	187798.93944498163	326.0	523051.83428203437	5309	5635	710850.773727016	Tlaxcala	Tenancingo	762.409853553772	11436.14780330658	13085294.362930197	0.0008739694718450091																																																			None				23472.58745207592	15415.761110071635	13900.466289119358			
1074	teolocholco, tlaxcala	Tlaxcala	Teolocholco	2352701.0	104904.0	2247797.0	352500.742702198	392.0	767158.6562959062	8400	8792	1119659.3989981043	Tlaxcala	Teolocholco	261.768899448444	25653.352145947516	77191926.54835147	0.00033233206234176284																																																			None				52227.820825815244	24148.944889958122	30929.315493047787			
