	municipality	NAME_x	LABEL_x	FIPSCODE_x	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	NAME_y	LABEL_y	FIPSCODE_y	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
142	city of belleville-07020	Belleville	City of Belleville	07020	258025.0	20939.0	237086.0	149824.4239144013	123	226771.33739506002	1556	1679	376595.7613094613	Belleville	City of Belleville	07020	754.0591634114584	2262.177490234375	3077234.3373034904	0.0007351333185163497	312.0	Belleville	2015.0	4985601.0		3853.0	URB				46800000.0	46800000.0		28800000.0							104659077.6	57086769.6		62795446.56		934012.507532	2430991.45796		1535363.02608																						POINT (-83.48521 42.20476)	122400000.0	229441660.75157198	11960.793774979447	9526.58594350632	14562.609389473557	5641.644195744442	20.351557574424533	21.752867438754752	52.832192395574204
143	city of marshall-51940	Marshall	City of Marshall	51940	1337485.0	203780.0	1133705.0	504272.08321752516	347	375747.01747350727	2405	2752	880019.1006910324	Marshall	City of Marshall	51940	256.5508074079241	7183.422607421875	16706835.575643849	0.00042996907313161485	31.0	Marshall	2015.0	5000996.0		7035.0	URB				86400000.0	115200000.0		90000000.0							209318155.2	123688000.8		190289232.0		1919203.7826	6397345.942		3582513.72752																						POINT (-84.96331 42.27226)	291600000.0	535194451.45212	27899.686754199014	49907.1854733894	34880.41628551516	29555.0352373412	78.880809354887	25.020816874460134	5.933215299964069
144	city of romulus-69420	Romulus	City of Romulus	69420	7589263.0	2910471.0	4678792.0	2669595.9175192923	1081	1367836.57899943	10636	11717	4037432.496518722	Romulus	City of Romulus	69420	150.8641580990416	21120.982133865822	93179459.20696047	0.0002266699368468549	61.0	Romulus	2015.0	5007531.0		23281.0	URB				252000000.0	540000000.0		360000000.0	64800000.0						599411080.8	637468927.2		799214774.4	17126030.88	5373770.59128	26868852.9564		15353630.2608	25589383.768																					POINT (-83.3966 42.22226)	1152000000.0	2083691036.2084801	108622.81371754807	292869.09132631484	161992.7321101573	173437.07588344364	169.62024026358074	49.13324978985265	59.66910628409251
145	city of whittemore-87140	Whittemore	City of Whittemore	87140	83736.0	365.0	83371.0	13721.227477350863	20	39042.22639384618	288	308	52763.45387119704	Whittemore	City of Whittemore	87140	92.51712322235107	370.0684928894043	2651120.0737780216	0.00013958948768474005	180.0	Whittemore	2015.0	5014966.0		376.0	RUR				6120000.0	1332000.0		262800.0							14271692.4	1141735.392		504266.4648		127946.91884	90842.3123764		29427.7913332																						POINT (-83.80304 44.23363)	7714800.0	16165911.279349599	842.7289549924946	3056.140772685	2000.1877939135823	1809.8465655840566	262.6481272038669	137.3465136167531	114.76022093012995
146	city of bridgman-10580	Bridgman	City of Bridgman	10580	340569.0	35161.0	305408.0	127793.89537639906	101	153670.48424724644	897	998	281464.3796236455	Bridgman	City of Bridgman	10580	156.87539658546447	2353.130948781967	7579545.293920372	0.000310458062790315	118.0	Bridgman	2015.0	4986977.0		2253.0	RUR				28080000.0	46800000.0		34920000.0							71358462.0	52329538.8		60892554.24		665323.977968	2430991.45796		1279469.1884																						POINT (-86.55697 41.9431)	109800000.0	188956339.66432798	9850.293986701417	12615.731731586879	10971.26282200714	7471.036331445749	28.074672173429487	11.380054613792327	24.15417913889506
147	city of zilwaukee-89320	Zilwaukee	City of Zilwaukee	89320	462995.0	42677.0	420318.0	88268.75210972877	74	137536.5225915876	937	1011	225805.27470131635	Zilwaukee	City of Zilwaukee	89320	181.3425438068807	1450.7403504550457	6133349.783380182	0.00023653311839252718	189.0	Zilwaukee	2015.0	5015723.0		1561.0	RUR				22320000.0	61200000.0		18000000.0							58038215.76	73261354.32		19980369.36		550171.751012	3070726.05216		921217.815648																						POINT (-83.92053 43.47641)	101520000.0	155822055.05882	8123.003730216286	17122.49217283176	8723.041186502882	10139.939864750968	110.79015523701909	7.38689130542377	24.82992993136269
148	city of bad axe-04740	Bad Axe	City of Bad Axe	04740	98504.0	51764.0	46740.0	64354.7688113096	21	5841.018872824483	30	51	70195.78768413409	Bad Axe	City of Bad Axe	04740	67.50121855735779	135.00243711471558	1017985.4885327729	0.00013261725106641274																																																			None				3878.4654266155194	2915.4646216556553	2296.8272256417104			
149	city of highland park-38180	Highland Park	City of Highland Park	38180	1980896.0	600914.0	1379982.0	884200.3802573074	417	440097.99000092776	3244	3661	1324298.3702582351	Highland Park	City of Highland Park	38180	891.7878175215287	9809.665992736816	7654241.692562273	0.0012815986725724898	102.0	Highland Park	2015.0	4996017.0		10883.0	URB				154800000.0	115200000.0		82800000.0							371064002.4	133202462.4		171260308.8		3454566.80868	6269399.02316		4350195.24056																						POINT (-83.09687 42.40559)	352800000.0	689600934.6723999	35948.8967244722	75566.40032183111	53181.680899775325	44750.42227058838	110.2050610927075	47.93689304954917	24.483437179101365
150	city of evart-26640	Evart	City of Evart	26640	468112.0	92571.0	375541.0	157232.1817884543	92	116590.6600686843	832	924	273822.8418571386	Evart	City of Evart	26640	144.04558984438577	1728.5470781326294	6422427.72058537	0.0002691423171010917	363.0	Evart	2015.0	4992304.0		1864.0	RUR				19440000.0	12600000.0		237600000.0	201600.0						47572308.0	13320246.24		142716924.0	54232.43112	460608.907824	754886.821156		5757611.3478	81886.0280576																					POINT (-85.2581 43.90058)	269640000.0	210582585.31678	10977.670172563741	17584.506671617077	10855.030109187262	10413.544850931632	60.18432322338908	1.1171775198984435	5.138843787108996
151	city of hastings-37120	Hastings	City of Hastings	37120	1238389.0	128361.0	1110028.0	371917.829470057	301	411026.53416573274	2709	3010	782944.3636357897	Hastings	City of Hastings	37120	347.08494749523345	7288.783897399902	13692355.566371674	0.000532325052622874	321.0	Hastings	2015.0	4995520.0		7281.0	URB				82800000.0	82800000.0		64800000.0	1404000.0						209318155.2	95144616.0		142716924.0	380578.464	2047150.70144	4606089.07824		2942779.13332	575761.13478																					POINT (-85.29084 42.64587)	230400000.0	456775714.113	23811.717976710686	45876.56845035887	30609.277693192864	27168.10383630252	92.66383255180897	28.54712004875333	14.095521637181264
152	city of gibraltar-32020	Gibraltar	City of Gibraltar	32020	828373.0	167519.0	660854.0	158331.24236946637	154	313582.7697648785	2145	2299	471914.0121343449	Gibraltar	City of Gibraltar	32020	238.21813399207434	4526.144545849413	11428911.17450203	0.0003960258747961283	15.0	Gibraltar	2015.0	4993873.0		4496.0	URB				57600000.0	16560000.0		46800000.0							133202462.4	16174584.72		29494830.96		1164316.961444	1125932.885792		1228290.420864																						POINT (-83.18965 42.09504)	120960000.0	182390418.3481	9508.012508486452	31138.06717117512	18086.13005877043	18439.963378769906	227.49291340732452	90.21988078610028	93.94130331981756
153	city of hamtramck-36280	Hamtramck	City of Hamtramck	36280	1436356.0	253429.0	1182927.0	837764.796115322	475	615978.0391806563	5368	5843	1453742.8352959782	Hamtramck	City of Hamtramck	36280	2602.356330871582	20818.850646972656	5429749.337998247	0.003834219473315101	248.0	Hamtramck	2015.0	4995197.0		21752.0	URB				190800000.0	118800000.0		144000000.0							494752003.2	114173539.2		323491694.4		3966354.48404	8060655.88692		5885558.26664																						POINT (-83.04964 42.39282)	453600000.0	950329805.4375999	49540.69275746208	53787.36323913732	57646.65191692845	31852.876510217116	8.572085381336505	16.362224079406744	35.70361103717253
154	city of rockford-69080	Rockford	City of Rockford	69080	854934.0	161994.0	692940.0	297583.93606066325	205	293568.9603192336	1870	2075	591152.8963798969	Rockford	City of Rockford	69080	371.2222909927368	5939.556655883789	8577104.523225594	0.0006924897137256873	37.0	Rockford	2015.0	5007436.0		6229.0	URB				57600000.0	46800000.0		27720000.0	540000.0						152231385.6	49475200.32		59941108.08	142716.924	1407416.10724	2942779.13332		1663309.94492	217509.762028																					POINT (-85.56003 43.12003)	132120000.0	267661199.18548	13953.178313539072	32076.339629461916	23203.74237356532	18995.608328567345	129.8855422662917	66.29718227746166	36.13821813009795
155	city of saginaw-70520	Saginaw	City of Saginaw	70520	8954487.0	1162623.0	7791864.0	1625006.7757600916	1047	2686669.799990662	21140	22187	4311676.575750753	Saginaw	City of Saginaw	70520	655.6925001144409	44587.09000778198	46889466.0890027	0.0009508977970265115	11.0	Saginaw	2015.0	5007989.0		48984.0	URB				612000000.0	756000000.0		432000000.0							1617458472.0	913388313.6		761156928.0		15353630.2608	38384075.652		17912568.6376																						POINT (-83.95081 43.41947)	1800000000.0	3363653988.1503997	175347.28240228034	333016.3575848678	166229.8946103171	197212.28696175868	89.91817439226935	5.199617391871633	12.469542875101894
156	city of ypsilanti-89140	Ypsilanti	City of Ypsilanti	89140	2131092.0	349794.0	1781298.0	669555.6977089688	508	577044.587017041	4642	5150	1246600.2847260097	Ypsilanti	City of Ypsilanti	89140	1183.1888936360676	17747.833404541016	11567215.458128074	0.0015343220214740561																																																			None				79658.52985010232	49163.08539207987	47173.78137723059			
157	city of norway-59220	Norway	City of Norway	59220	766862.0	45131.0	721731.0	138225.64023853542	135	224158.3582211339	1661	1796	362383.9984596693	Norway	City of Norway	59220	58.55844714702704	2283.7794387340546	24459248.32474399	9.337079408215863e-05	257.0	Norway	2015.0	5004016.0		2769.0	URB				39600000.0	27720000.0		14760000.0	12240000.0						104659077.6	25689046.32		33300615.6	3330061.56	959601.8913	2047150.70144		575761.13478	4989929.83476																					POINT (-87.90374 45.7869)	82080000.0	167231253.24751997	8717.765231793215	28219.06147151988	13980.24249251801	16711.32820343407	223.69604733798633	60.36498025357263	91.69279923355548
158	city of three rivers-79760	Three Rivers	City of Three Rivers	79760	1279210.0	192508.0	1086702.0	585045.1419522306	330	381390.01227325917	2917	3247	966435.1542254897	Three Rivers	City of Three Rivers	79760	303.66684727485364	7895.3380291461945	14986329.96843798	0.0005268359929198278	458.0	Three Rivers	2015.0	5012194.0		7713.0	URB				82800000.0	82800000.0		162000000.0							199803693.6	93241723.68		361549540.8		1919203.7826	4861982.91592		6141452.10432																						POINT (-85.63249 41.94394)	327600000.0	667517596.8828399	34797.692325502445	47719.491597545035	38478.10486537562	28259.482924066167	37.13406955602195	10.576599463683072	18.789204008923807
159	city of south haven-74980	South Haven	City of South Haven	74980	1268982.0	298680.0	970302.0	429409.1748689402	321	379077.29080644646	2846	3167	808486.4656753866	South Haven	City of South Haven	74980	269.89082263066217	3508.5806941986084	9037864.026350103	0.0003882090595708521	364.0	South Haven	2015.0	5010517.0		4366.0	URB				79200000.0	64800000.0		28080000.0							199803693.6	70407015.84		61844000.4		1919203.7826	3710460.64636		1279469.1884																						POINT (-86.27364 42.40309)	172080000.0	338963843.45735997	17670.185159432174	47932.439738274	31858.194721017448	28385.59081300586	171.2616721658297	80.29349683419616	60.64116225660434
160	city of allegan-01260	Allegan	City of Allegan	01260	796439.0	117387.0	679052.0	400978.83883621165	250	238772.23302628315	1716	1966	639751.0718624948	Allegan	City of Allegan	01260	302.34384247660637	4837.501479625702	11372991.9163444	0.00042534994443050754	338.0	Allegan	2015.0	4983989.0		5072.0	URB				54000000.0	57600000.0		93600000.0	324000.0						133202462.4	66601231.2		180774770.4	87533.04672	1279469.1884	2942779.13332		3710460.64636	127946.91884																					POINT (-85.8553 42.5292)	205200000.0	388511172.96808	20253.087446826008	29696.63523808176	25546.946160119056	17586.347387992017	46.62769474555204	26.138526914436856	13.167079171684085
161	city of vassar-81840	Vassar	City of Vassar	81840	700433.0	71318.0	629115.0	162004.01623967558	132	163942.39855945457	1102	1234	325946.4147991301	Vassar	City of Vassar	81840	263.9535556369358	2375.582000732422	5662856.709500286	0.0004195024035743354	422.0	Vassar	2015.0	5013174.0		2596.0	URB				29520000.0	15120000.0		5400000.0							74212800.48	15223138.56		9514461.6		716502.745504	895628.43188		767681.51304																						POINT (-83.58329 43.37197)	50040000.0	101330213.330424	5282.344020915003	25940.71255835124	12782.484822445293	15362.089977055603	391.0833610162674	141.98508790480332	190.81956639383353
162	city of greenville-35100	Greenville	City of Greenville	35100	1796967.0	318810.0	1478157.0	652356.1460111784	355	400801.46589105297	2863	3218	1053157.6119022314	Greenville	City of Greenville	35100	343.72389539082843	8249.373489379883	17117912.753762312	0.000481914682475921	119.0	Greenville	2015.0	4994763.0		8426.0	URB				97200000.0	115200000.0		97200000.0	936000.0						237861540.0	133202462.4		209318155.2	247376.0016	2175097.62028	6397345.942		3966354.48404	371046.064636																					POINT (-85.2528 43.17753)	309600000.0	592920955.6463199	30908.969417842654	67300.8860902014	42012.66767587454	39855.58474261726	117.73901672487008	35.92387086067681	28.945045704468047
163	city of clawson-16160	Clawson	City of Clawson	16160	1115411.0	125919.0	989492.0	267063.6674167565	242	629171.7550019152	5938	6180	896235.4224186717	Clawson	City of Clawson	16160	1192.3941446940105	14308.729736328125	5703279.646211269	0.0025088599234010067	234.0	Clawson	2015.0	4989005.0		11970.0	URB				147600000.0	154800000.0		32400000.0							371064002.4	161745847.2		71358462.0		3582513.72752	9596018.913		1535363.02608																						POINT (-83.14632 42.53337)	334800000.0	618882207.2665999	32262.32946480785	41377.67976964752	34162.65048415006	24503.861959585258	28.253850407122037	5.8902163943713335	24.04806978890234
164	city of swartz creek-77700	Swartz Creek	City of Swartz Creek	77700	1333547.0	364983.0	968564.0	487382.294386839	293	377405.98628836265	2538	2831	864788.2806752017	Swartz Creek	City of Swartz Creek	77700	345.8768928050995	5534.030284881592	10544497.811844075	0.0005248263486446466	301.0	Swartz Creek	2015.0	5011701.0		5557.0	URB				68400000.0	34560000.0		7200000.0	864000.0						171260308.8	38057846.4		14271692.4	237861.54	1407416.10724	2047150.70144		575761.13478	358251.372752																					POINT (-83.83051 42.95725)	110160000.0	227620175.54346	11865.83975108057	50653.28399109264	34231.67830671455	29996.87477952506	326.88326366854795	188.48930227291518	152.80026874451406
165	city of southfield-74900	Southfield	City of Southfield	74900	10229019.0	1314823.0	8914196.0	3953604.2212064187	3171	3209777.695624778	17881	21052	7163381.916831197	Southfield	City of Southfield	74900	693.8347099101649	78403.32221984863	68075913.42376384	0.0011517043000480653	416.0	Southfield	2015.0	5010636.0		73100.0	URB				792000000.0	3600000000.0		432000000.0	13320000.0						1902892320.0	4566941568.0		846787082.4	3615495.408	16633099.4492	191920378.26		40943014.0288	5373770.59128																					POINT (-83.22187 42.47337)	4824000000.0	7566117462.138	394421.7033012539	380342.7546137294	283093.1948746565	225238.97928225054	3.5695167303638886	28.22575621341156	42.893867807721506
166	city of ionia-40860	Ionia	City of Ionia	40860	1160495.0	124647.0	1035848.0	445957.2544829721	287	309338.9505106449	2191	2478	755296.2049936169	Ionia	City of Ionia	40860	425.2287622888883	10205.49029493332	14338248.704434188	0.0007117668625581318	414.0	Ionia	2015.0	4997191.0		11300.0	URB				75600000.0	97200000.0		136800000.0	3960000.0						190289232.0	104659077.6		304462771.2	1046590.776	1791256.86376	5373770.59128		5373770.59128	1535363.02608																					POINT (-85.07112 42.98725)	309600000.0	611949878.8463199	31900.947184258657	43015.02036601536	30009.505751894598	25473.495060754292	34.83932034231534	5.929107438218576	20.148154493280863
167	city of lowell-49540	Lowell	City of Lowell	49540	733548.0	94607.0	638941.0	270020.86638345657	200	213586.92151280973	1594	1794	483607.7878962663	Lowell	City of Lowell	49540	277.03180782611554	3601.413501739502	8034534.056142301	0.0004482417370533474	242.0	Lowell	2015.0	5000239.0		4044.0	URB				39600000.0	35640000.0		21600000.0	432000.0						95144616.0	39009292.56		46620861.84	114173.5392	870039.048112	2175097.62028		1279469.1884	179125.686376																					POINT (-85.34196 42.93364)	96840000.0	185099376.256792	9649.230484266567	27277.06443399756	19129.09068272999	16153.477557813352	182.6864222849049	98.24472753470542	67.40689927712063
168	city of dowagiac-22880	Dowagiac	City of Dowagiac	22880	872587.0	121765.0	750822.0	332118.0882173256	196	296637.2318615258	2438	2634	628755.3200788514	Dowagiac	City of Dowagiac	22880	275.9406868696213	5518.8137373924255	11707787.70942362	0.0004713797238525535	382.0	Dowagiac	2015.0	4991111.0		5826.0	URB				61200000.0	46800000.0		28800000.0	504000.0						152231385.6	47572308.0		63746892.72	133202.4624	1535363.02608	2942779.13332		1279469.1884	204715.070144																					POINT (-86.10862 41.98421)	136800000.0	269308197.6678	14039.036344422413	32498.165808622798	24765.83083828635	19245.41379186642	131.4843056983326	76.4069144825998	37.08500583455256
169	city of bessemer-07960	Bessemer	City of Bessemer	07960	383574.0	18826.0	364748.0	81411.49387109825	84	164955.57280820791	1308	1392	246367.06667930618	Bessemer	City of Bessemer	07960	81.63734833399455	1714.3843150138855	14243254.076622166	0.00012036465163025845	3.0	Bessemer	2015.0	4985785.0		1754.0	RUR				29880000.0	18360000.0		14040000.0	30960000.0						76115692.8	19980369.36		31397723.28	8372726.208	742092.129272	1049164.734488		601350.518548	12666744.96516																					POINT (-90.05295 46.48134)	62280000.0	129886392.822308	6770.977657826916	14094.106932466078	9435.149721968599	8346.53012540641	108.1546808262465	39.34693332006541	23.269201985303173
170	city of jackson-41420	Jackson	City of Jackson	41420	4797996.0	820210.0	3977786.0	1567477.2548603015	870	1611863.9050353593	13098	13968	3179341.159895661	Jackson	City of Jackson	41420	735.8994223700629	33115.47400665283	28452047.160237696	0.0011639047911087526	35.0	Jackson	2015.0	4997384.0		32918.0	URB				360000000.0	504000000.0		288000000.0							922902775.2	608925542.4		627954465.6		8700390.48112	26868852.9564		12794691.884																						POINT (-84.40135 42.24587)	1152000000.0	2208146718.5215197	115110.68843652682	179525.62947323162	124612.38909145558	106315.07777404775	55.959131086444536	8.254403465033652	7.641002570607556
171	city of corunna-18300	Corunna	City of Corunna	18300	692430.0	181442.0	510988.0	179300.0427448867	143	176285.24584624977	1160	1303	355585.2885911365	Corunna	City of Corunna	18300	224.849718775068	3147.896062850952	8465032.31086639	0.000371870531292605	174.0	Corunna	2015.0	4989686.0		3401.0	URB				32040000.0	23760000.0		25920000.0	720000.0						77067138.96	26640492.48		58038215.76	190289.232	742092.129272	1279469.1884		1215495.72898	294277.913332																					POINT (-84.11775 42.98197)	81720000.0	164982904.24665198	8600.558798377968	26256.62607409296	13958.973874413647	15549.17396107785	205.28976883507687	62.3031038058394	80.79260110413249
172	city of ithaca-41340	Ithaca	City of Ithaca	41340	739863.0	121968.0	617895.0	191154.98226478355	183	217052.3585928109	1420	1603	408207.34085759445	Ithaca	City of Ithaca	41340	119.54201542377471	2988.550385594368	13221800.3972909	0.00022603203011646667	374.0	Ithaca	2015.0	4997346.0		2823.0	URB				36000000.0	23760000.0		39600000.0	17640000.0						90387385.2	24737600.16		88484492.88	4757230.8	844449.664344	1535363.02608		1663309.94492	7165027.45504																					POINT (-84.6075 43.2917)	99360000.0	207652600.875344	10824.930083631683	27658.40717246724	15943.703655838788	16379.308727535097	155.50656640535132	47.286897307052115	51.31098862524903
173	city of bloomfield hills-09180	Bloomfield Hills	City of Bloomfield Hills	09180	1584069.0	198194.0	1385875.0	671035.6823864159	990	124859.49074953595	586	1576	795895.1731359519	Bloomfield Hills	City of Bloomfield Hills	09180	239.6637808227539	5991.594520568848	13033622.663746286	0.0004597029295036127	241.0	Bloomfield Hills	2015.0	4986429.0		3999.0	URB				39600000.0	93600000.0		5040000.0							104659077.6	104659077.6		5518387.728		946807.199416	5373770.59128		1535363.02608																						POINT (-83.24549 42.58364)	138240000.0	222692483.74477598	11608.959177615172	58870.080814750916	32732.562055518305	34862.86185849549	407.1090346175598	181.95948968994958	200.30997030051893
174	city of caspian-13860	Caspian	City of Caspian	13860	149610.0	774.0	148836.0	29734.234725145936	34	79167.13534543887	688	722	108901.3700705848	Caspian	City of Caspian	13860	128.047119140625	896.329833984375	3696387.9855544674	0.00024248802817432687	293.0	Caspian	2015.0	4988212.0		856.0	RUR				14040000.0	12240000.0		5400000.0	13680000.0						36154954.08	13320246.24		12368800.08	3615495.408	345456.680868	665323.977968		243099.145796	5501717.51012																					POINT (-88.63289 46.06433)	31680000.0	63097880.204632	3289.292495067466	5461.0387429291195	4136.102339480451	3234.027143562624	66.02472267572269	25.74443731236543	1.680159231437043
175	city of riverview-68880	Riverview	City of Riverview	68880	1472644.0	292150.0	1180494.0	399092.04039451905	368	620270.0182463439	4654	5022	1019362.0586408629	Riverview	City of Riverview	68880	588.7773137410481	8831.659706115723	11994576.830368966	0.0007363044008151183	33.0	Riverview	2015.0	5007323.0		12103.0	URB				126000000.0	86400000.0		23760000.0							304462771.2	95144616.0		49475200.32		2814832.21448	5245823.67244		1919203.7826																						POINT (-83.17937 42.17421)	236160000.0	459062447.18952	23930.925371989677	55324.6189015572	39382.188540995034	32763.23931350217	131.18462007454488	64.56609148549904	36.90753200814546
176	city of lake angelus-44440	Lake Angelus	City of Lake Angelus	44440	211588.0	9477.0	202111.0	42418.60776311496	91	19713.675586151825	112	203	62132.28334926679	Lake Angelus	City of Lake Angelus	44440	193.4974250793457	1547.9794006347656	4239719.326672187	0.0003651136505420031	218.0	Lake Angelus	2015.0	4998516.0		296.0	RUR				4320000.0	21600000.0		12240000.0							10465907.76	27591938.64		27591938.64		104916.4734488	972396.583184		562966.442896																						POINT (-83.3166 42.69864)	38160000.0	67290064.5395288	3507.8310644456365	7769.61403656516	2500.289602116007	4601.165432453888	121.49339274960317	28.722633553872623	31.168387186315012
177	city of sault ste marie-71740	Sault Ste Marie	City of Sault Ste Marie	71740	2008968.0	314614.0	1694354.0	342450.08242329216	201	52926.356369303	421	622	395376.4387925952	Sault Ste Marie	City of Sault Ste Marie	71740	187.11880056335502	13659.672441124916	52012047.7930044	0.00026262516129891997	519.0	Sault Ste. Marie	2015.0	5009004.0		13704.0	URB				158400000.0	237600000.0		36000000.0	1296000.0						380578464.0	266404924.8		76115692.8	352035.0792	3454566.80868	14074161.0724		2814832.21448	537377.059128																					POINT (-84.34532 46.4953)	432000000.0	743442641.6955599	38755.664911589534	75010.09798364471	16310.764074930326	44420.98002591439	93.54615165230622	57.913858239462854	14.618031008495722
178	city of keego harbor-42460	Keego Harbor	City of Keego Harbor	42460	361286.0	4673.0	356613.0	58827.17300846438	69	142953.0281958162	1156	1225	201780.2012042806	Keego Harbor	City of Keego Harbor	42460	968.7338562011719	1937.4677124023438	1469561.1500728538	0.0013183988378478115	77.0	Keego Harbor	2015.0	4997868.0		3021.0	URB				39600000.0	68400000.0		3528000.0	6120000.0						95144616.0	69455569.68		4757230.8	1617458.472	895628.43188	4094301.40288		831654.97246	2558938.3768																					POINT (-83.34382 42.60809)	111528000.0	175179001.28722003	9132.08133710278	13203.07568378604	7684.270679664342	7818.861419938093	44.57904169275406	15.854114784940867	14.380291509551052
179	city of cheboygan-15000	Cheboygan	City of Cheboygan	15000	1291480.0	246881.0	1044599.0	376991.05691641034	291	362808.9577704889	2476	2767	739800.0146868993	Cheboygan	City of Cheboygan	15000	147.9926084727049	4735.763471126556	18166032.566277646	0.00026069332716697585	451.0	Cheboygan	2015.0	4988617.0		4726.0	URB				64800000.0	54000000.0		7200000.0	352800.0						152231385.6	56135323.44		13320246.24	95144.616	1407416.10724	3454566.80868		895628.43188	140741.610724																					POINT (-84.47448 45.64696)	126000000.0	227444566.6278	11856.685258307212	48467.12045395428	29063.662699576053	28702.22873283172	308.7746229073299	145.1246876036709	142.0763316857207
180	city of fremont-30700	Fremont	City of Fremont	30700	1214505.0	245601.0	968904.0	427120.91723342036	248	243741.97708113253	1530	1778	670862.8943145529	Fremont	City of Fremont	30700	185.50637557289818	4081.1402626037598	12758968.809632562	0.00031986442819130067	123.0	Fremont	2015.0	4993417.0		4029.0	URB				46800000.0	75600000.0		12240000.0	432000.0						114173539.2	90387385.2		26640492.48	114173.5392	1049164.734488	4222248.32172		716502.745504	179125.686376																					POINT (-85.942 43.46752)	134640000.0	237189332.681712	12364.679912697646	45652.525324922884	26825.982629487524	27035.425497419328	269.2172029301057	116.95654735015945	118.65042757520857
181	city of st clair-70680	St Clair	City of St Clair	70680	1004475.0	113339.0	891136.0	175354.57419228932	190	315439.2402297729	2061	2251	490793.81442206225	St Clair	City of St Clair	70680	365.62292772928873	5484.343915939331	9413575.342065481	0.0005825994605293065	464.0	Saint Clair	2015.0	5010977.0		5367.0	URB		400.0481119694		139257781.26562	105201779.1167		3802351.7773848	33824161.023358						398943363.12691	128103038.41122		8130383.4211218	15594676.648414	3841610.8323168	7159535.9227575		531112.7698065	5944200.4768676	214466.95855576			402.9558360268	9236.9429427132																POINT (-82.48602 42.82087)	248261912.15970477	546923914.3985244	28511.143657595076	37262.04745172832	18868.695440320033	22066.584500913512	30.692924490253116	33.81992786075558	22.603650116872107
182	city of menominee-53020	Menominee	City of Menominee	53020	2191198.0	375246.0	1815952.0	492131.4328112136	364	602280.8667616334	4247	4611	1094412.299572847	Menominee	City of Menominee	53020	389.93020183161684	7408.67383480072	14084914.395709222	0.0005260006292304958	450.0	Menominee	2015.0	5001669.0		8279.0	URB				111600000.0	100800000.0		122400000.0	2412000.0						275919386.4	104659077.6		266404924.8	646983.3888	2686885.29564	5757611.3478		4861982.91592	972396.583184																					POINT (-87.61427 45.10776)	334800000.0	660289868.35936	34420.910837573436	81991.27019311488	42633.030473394756	48555.23020836263	138.2019191183466	23.857938200917893	41.063176501884854
183	city of whitehall-86780	Whitehall	City of Whitehall	86780	702809.0	173639.0	529170.0	234613.85377043454	145	172374.54051201086	1066	1211	406988.3942824454	Whitehall	City of Whitehall	86780	161.648178845644	2586.370861530304	9243878.468252545	0.0002797928240200273	383.0	Whitehall	2015.0	5014913.0		2723.0	URB				29520000.0	30240000.0		93600000.0							74212800.48	32349169.44		209318155.2		690913.361736	1919203.7826		3454566.80868																						POINT (-86.34868 43.41001)	153360000.0	321944809.073016	16782.982896976322	26592.114981809522	16139.10792084593	15747.850492227597	58.44689317177607	3.8364751968280575	6.167749863674222
184	city of stephenson-76380	Stephenson	City of Stephenson	76380	276187.0	12609.0	263578.0	53197.331937778064	62	72651.9613173949	465	527	125849.29325517298	Stephenson	City of Stephenson	76380	167.92581176757812	839.6290588378906	2813433.8430531234	0.0002984356859540474	265.0	Stephenson	2015.0	5011137.0		855.0	RUR				12240000.0	6120000.0		3960000.0	259200.0						31397723.28	6374689.272		4757230.8	70407.01584	294277.913332	371046.064636		140741.610724	104916.4734488																					POINT (-87.60762 45.41525)	22320000.0	43335708.940692	2259.0905070782737	10143.03767730552	4883.748861068812	6006.706912500328	348.98766320007735	116.1820806101771	165.89049414708578
