	municipality	NAME_x	LABEL_x	FIPSCODE_x	total_area_ghs	nres_area_ghs	res_area_ghs	msft_commercial_bldg_area	msft_commercial_bldg_count	msft_residential_bldg_area	msft_residential_bldg_count	msft_building_count	msft_area_sum	NAME_y	LABEL_y	FIPSCODE_y	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	index_gt	city	year	city_id	total_area	population	city_type	wastewater	railway_length	road_length	RES-electricity	COM-electricity	MUN-electricity	IND-electricity	AFF-electricity	RES-coal	COM-coal	MUN-coal	IND-coal	AFF-coal	RES-natural_gas	COM-natural_gas	MUN-natural_gas	IND-natural_gas	AFF-natural_gas	RES-oil	COM-oil	MUN-oil	IND-oil	AFF-oil	RES-kerosene	COM-kerosene	MUN-kerosene	IND-kerosene	AFF-kerosene	RES-lpg	COM-lpg	MUN-lpg	IND-lpg	AFF-lpg	RES-biomass	COM-biomass	MUN-biomass	IND-biomass	AFF-biomass	RES-district_heating	COM-district_heating	MUN-district_heating	IND-district_heating	AFF-district_heating	gt_point_geometry	res_com_electricity	res_com_non_electricity	res_com_non_electricity_adjusted	bottom_up_emissions_estimate_ghs	bottom_up_emissions_estimate_msft	bottom_up_emissions_estimate_ghs_adjusted	absolute_percent_error_ghs	absolute_percent_error_msft	absolute_percent_error_ghs_adjusted
10	city of montrose-55280	Montrose	City of Montrose	55280	252255.0	11992.0	240263.0	69688.91186712332	58	101581.45099250725	762	820	171270.36285963058	Montrose	City of Montrose	55280	377.8841743469238	1511.5366973876953	2530674.172855062	0.0005972861752022412	448.0	Montrose	2015.0	5002411.0		1573.0	RUR				18720000.0	7920000.0		1764000.0							46620861.84	8563015.44		1046590.776		447814.21594	486198.291592		140741.610724																						POINT (-83.89274 43.17669)	28404000.0	57305222.174256004	2987.3212319439654	9266.753822961959	6631.426298873515	5487.771613958072	210.20279050913194	121.98571174611142	83.70209253950793
11	city of standish-76120	Standish	City of Standish	76120	452431.0	79287.0	373144.0	166225.35675874067	143	94303.12824255855	569	712	260528.4850012992	Standish	City of Standish	76120	157.57928314208985	1575.7928314208984	5254670.419833824	0.0002998842373582646	291.0	Standish	2015.0	5011020.0		1437.0	RUR				17640000.0	27000000.0		17280000.0							42815077.2	30446277.12		35203507.92		422224.832172	1535363.02608		626939.902316																						POINT (-83.95888 43.98308)	61920000.0	111049390.000568	5789.00470072961	16939.25064164736	10419.777538425733	10031.424229983564	192.61075983428452	79.99255618349194	73.28409197386326
12	city of white cloud-86680	White Cloud	City of White Cloud	86680	234055.0	40034.0	194021.0	92220.74395041769	67	80778.32549013765	577	644	172999.06944055535	White Cloud	City of White Cloud	86680	157.24418048858644	786.2209024429321	5146643.130818902	0.00015276382730617532	288.0	White Cloud	2015.0	5014811.0		1377.0	RUR				13320000.0	6120000.0		4320000.0							31397723.28	6089255.424		9514461.6		294277.913332	422224.832172		166330.994492																						POINT (-85.772 43.5503)	23760000.0	47884274.043996006	2496.2072059135116	8757.71285930892	6818.838189399681	5186.317555282742	250.8407811083114	173.16795549848035	107.76791057234203
13	city of harper woods-36700	Harper Woods	City of Harper Woods	36700	1658971.0	102589.0	1556382.0	327979.88973171415	207	727980.7063819746	6758	6965	1055960.5961136888	Harper Woods	City of Harper Woods	36700	1279.832223510742	12798.322235107422	6784501.64430815	0.0018864056501253206	394.0	Harper Woods	2015.0	4995368.0		13730.0	URB				162000000.0	169200000.0		2592000.0							418636310.4	180774770.4		4281507.72		4094301.40288	9723965.83184		447814.21594																						POINT (-82.92408 42.43309)	333792000.0	617958669.97066	32214.185465570503	61074.32792401512	40324.566669703876	36168.216996601746	89.5883041627404	25.176427983260634	12.27419372517485
14	city of battle creek-05920	Battle Creek	City of Battle Creek	05920	10013130.0	1631257.0	8381873.0	2744677.243610186	1730	2799249.926018388	21702	23432	5543927.169628574	Battle Creek	City of Battle Creek	05920	265.78139437707875	47309.088199120015	113230572.28445596	0.00041781196760421656	133.0	Lakeview	2015.0	4998703.0		1010.0	RUR				12240000.0	9360000.0		7560000.0	972000.0						29494830.96	10465907.76		14271692.4	256890.4632	268688.529564	524582.367244		319867.2971	396635.448404																					POINT (-85.2111 42.29838)	29160000.0	55345569.313907996	2885.1645283340235	374215.0747757151	217353.92536910868	221610.16728217847	12870.320101356492	7433.50192803788	7581.023564023315
15	city of battle creek-05920	Battle Creek	City of Battle Creek	05920	10013130.0	1631257.0	8381873.0	2744677.243610186	1730	2799249.926018388	21702	23432	5543927.169628574	Battle Creek	City of Battle Creek	05920	265.78139437707875	47309.088199120015	113230572.28445596	0.00041781196760421656	285.0	Battle Creek	2015.0	4985153.0		51534.0	URB				612000000.0	828000000.0		828000000.0	648000.0						1522313856.0	951446160.0		1807747704.0	171260.3088	14074161.0724	43501952.4056		31986729.71	268688.529564																					POINT (-85.17816 42.3173)	2268000000.0	4371070563.188	227863.90845899042	374215.0747757151	217353.92536910868	221610.16728217847	64.22744492819234	4.612394810990118	2.744507113524501
16	city of parchment-62340	Parchment	City of Parchment	62340	162509.0	44106.0	118403.0	114555.14125966783	77	99880.80293238937	802	879	214435.9441920572	Parchment	City of Parchment	62340	481.12099838256836	1924.4839935302734	2428567.7146100337	0.0007924357974260959	366.0	Parchment	2015.0	5004961.0		1854.0	RUR				21600000.0	7560000.0		9720000.0							54232431.12	8277581.592		21883261.68		473403.599708	435019.524056		435019.524056																						POINT (-85.56973 42.3281)	38880000.0	85736717.03981999	4469.455059285816	6170.67052318548	8453.447344240438	3654.271083830441	38.063151801139384	89.13821108185016	18.239001503365266
17	city of yale-89000	Yale	City of Yale	89000	322686.0	29585.0	293101.0	91787.78827166255	69	117729.37228673651	813	882	209517.16055839905	Yale	City of Yale	89000	295.3114317258199	1771.8685903549194	3601419.9779395266	0.0004919916591812364	190.0	Yale	2015.0	5015627.0		1898.0	RUR				21600000.0	15120000.0		6120000.0							53280984.96	16174584.72		13320246.24		524582.367244	921217.815648		358251.372752																						POINT (-82.79826 43.13003)	42840000.0	84579867.475644	4409.1484915053215	11932.704435108599	8148.382979277236	7066.547566471311	170.6351228156226	84.80627257113102	60.27011973141169
18	city of galesburg-31260	Galesburg	City of Galesburg	31260	207807.0	15046.0	192761.0	55495.020241111306	44	102136.82280013901	809	853	157631.8430412503	Galesburg	City of Galesburg	31260	283.75086135864257	1418.754306793213	3763196.5845911736	0.0003770077578733091	299.0	Galesburg	2015.0	4993609.0		2049.0	RUR				21240000.0	22680000.0		30240000.0							48523754.16	28543384.8		47572308.0		422224.832172	1100343.502024		1061959.426372																						POINT (-85.41806 42.28865)	74160000.0	127223974.720568	6632.1858021832095	7662.44565090108	6055.64423258352	4537.700314463619	15.534242849148242	8.693085308464996	31.580621384734414
19	city of williamston-87420	Williamston	City of Williamston	87420	486817.0	93069.0	393748.0	163827.2712695565	150	218011.9684240089	1534	1684	381839.2396935654	Williamston	City of Williamston	87420	349.58090167575415	3146.228115081787	6529706.90157815	0.0004818329769627765	92.0	Williamston	2015.0	5015133.0		3887.0	URB				43200000.0	35640000.0		17640000.0							104659077.6	35203507.92		37106400.24		895628.43188	2303044.53912		1087548.81014																						POINT (-84.28302 42.68892)	96480000.0	181255207.54114	9448.833969119627	18269.48791476432	14831.14236050085	10819.190743123429	93.35177202258042	56.96267294960953	14.502919391772117
