	region	n_total_municipalities	n_groundtruth_estimate_pairs	WAPE_total_emissions_ghs (percent error)	WAPE_total_emissions_msft (percent error)	WAPE_total_emissions_ghs_adjusted (percent error)	MAPE_total_emissions_ghs (percent error)	MAPE_total_emissions_msft (percent error)	MAPE_total_emissions_ghs_adjusted (percent error)	RMSE_total_emissions_ghs	RMSE_total_emissions_msft	RMSE_total_emissions_ghs_adjusted
0	massachusetts	351	24	39.84320063898377	34.229871330454095	38.64378326384834	38.91748665921218	24.1645237341074	27.004666584439324	215161.7518811205	251801.7198921361	292981.8618010503
1	mexico	1376	467	566.9875562147191	281.87082033546886	306.2540336122539	1045.1218886078193	486.5076544119474	578.5319662678514	343249.9038632745	199061.9261402677	199195.56656939723
2	michigan	1534	523	119.0678339150998	47.43183508813256	50.78504931708975	1071.9752204672473	549.4217901937177	599.3296603894296	81824.68475588417	28627.256709444577	31342.36814313645
