	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)	region	state	city	NAME	LABEL	FIPSCODE
95	saugus			1433397.0963567512	34401.53031256203		massachusetts					
96	hubbardston			121580.64889058896	2917.9355733741354		massachusetts					
97	fairhaven			213767.60572042293	5130.42253729015		massachusetts					
98	sandwich			424088.1970835344	10178.116730004826		massachusetts					
99	marshfield			243771.09053454088	5850.506172828982		massachusetts					
100	goshen			6713.715227325754	161.1291654558181		massachusetts					
101	dunstable			171861.21635383755	4124.6691924921015		massachusetts					
102	savoy			18827.679365277785	451.86430476666686		massachusetts					
103	arlington			648402.8496011967	15561.668390428722		massachusetts					
104	hardwick			34030.567976805825	816.7336314433398		massachusetts					
105	mount washington			6915.629586352662	165.9751100724639		massachusetts					
106	ashby			46548.464520573136	1117.1631484937552		massachusetts					
107	hull			36010.60935632175	864.254624551722		massachusetts					
108	northborough			245065.83175051445	5881.579962012347		massachusetts					
109	westfield			908128.835148558	21795.09204356539		massachusetts					
110	salem			249853.12403431625	5996.474976823589		massachusetts					
111	marlborough			749471.4806456574	17987.315535495778		massachusetts					
112	belchertown			152396.38749582664	3657.5132998998392		massachusetts					
113	freetown			258981.77918335996	6215.562700400638		massachusetts					
114	florida			17913.921052264188	429.9341052543405		massachusetts					
115	hadley			504056.3000059528	12097.351200142868		massachusetts					
116	north adams			126580.56122496333	3037.9334693991195		massachusetts					
117	mansfield			435600.7762945255	10454.418631068613		massachusetts					
118	bernardston			77300.23176749644	1855.2055624199147		massachusetts					
119	dracut			1236501.6255696565	29676.039013671747		massachusetts					
120	shutesbury			14422.24140314429	346.1337936754629		massachusetts					
121	franklin			572864.8765468125	13748.7570371235		massachusetts					
122	westminster			402069.605227812	9649.670525467487		massachusetts					
123	revere	1695703499.5297203	98774.7288476062	622197.5062774199	14932.740150658075	84.88202364625376	massachusetts					
124	wrentham			408590.4036962135	9806.169688709126		massachusetts					
125	avon			239891.08882478424	5757.386131794821		massachusetts					
126	acushnet			334202.2435826058	8020.853845982539		massachusetts					
127	marion			92199.32174430716	2212.7837218633717		massachusetts					
128	burlington			680764.1146996462	16338.33875279151		massachusetts					
129	hawley			8412.997785856722	201.91194686056133		massachusetts					
130	lawrence	2892429284.2752004	168484.0058090304	470020.8322291939	11280.499973500657	93.30470573789265	massachusetts					
131	ludlow			533052.0050292198	12793.248120701275		massachusetts					
132	norfolk			296275.3587186781	7110.608609248275		massachusetts					
133	whitman			220108.72324562745	5282.609357895058		massachusetts					
134	clarksburg			33896.234797337354	813.5096351360964		massachusetts					
135	paxton			183465.24783082705	4403.165947939849		massachusetts					
136	southborough			381090.7446778522	9146.177872268454		massachusetts					
137	milford			361768.8345034795	8682.452028083508		massachusetts					
138	boylston			274179.5721157447	6580.309730777873		massachusetts					
139	plainville			233077.4246070315	5593.858190568756		massachusetts					
140	new bedford	4448970089.1656	259152.5076938962	1327453.40777163	31858.88178651912	87.70651225024999	massachusetts					
141	marblehead			0.0	0.0		massachusetts					
142	longmeadow			609945.6417254803	14638.695401411527		massachusetts					
143	granville			43036.01195291094	1032.8642868698626		massachusetts					
144	webster			201084.2707116034	4826.022497078482		massachusetts					
145	southbridge			238405.78985948852	5721.738956627724		massachusetts					
146	salisbury			371691.0025999042	8920.5840623977		massachusetts					
147	amherst			356277.9939174886	8550.671854019727		massachusetts					
148	aquinnah			806.30899692754	19.35141592626096		massachusetts					
149	chilmark			5847.40436318664	140.33770471647935		massachusetts					
150	chelsea			604640.7327375137	14511.37758570033		massachusetts					
151	newton	4660847182.7424	271494.3483947448	3030490.7165924	72731.7771982176	73.21057413229548	massachusetts					
152	ipswich			260139.8942297076	6243.357461512983		massachusetts					
153	cohasset			162776.2610571511	3906.630265371626		massachusetts					
154	auburn			709317.5855268958	17023.6220526455		massachusetts					
