	region	n_total_municipalities	n_groundtruth_estimate_pairs	WAPE_total_emissions_graced (percent error)	MAPE_total_emissions_graced (percent error)	RMSE_total_emissions_graced
0	massachusetts	351	24	86.9164905632996	86.20113014216366	415242.9686501595
1	mexico	1376	467	72.9266386959883	55.975104968453444	117359.71238119695
2	michigan	1534	523	86.65127704129581	86.49441770553386	96323.76715339092
3	all_regions	3261	1014	80.73692256547609	72.43173728172968	123328.69942177826
