	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	NAME	LABEL	FIPSCODE	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
45	city of grand rapids-34000	13344443935.5928	695645.8623624527	Grand Rapids	City of Grand Rapids	34000	3832337.3630317627	91976.0967127623	86.77831613913347
46	city of au gres-04120	50904943.518488	2653.674705618779	Au Gres	City of Au Gres	04120	1539.4748851299607	36.947397243119056	98.60768928592158
47	city of fenton-27760	671979427.57964	35030.28755972663	Fenton	City of Fenton	27760	69712.91348762036	1673.1099237028886	95.22381904273483
48	city of harbor beach-36460	123251859.08607599	6425.119414157141	Harbor Beach	City of Harbor Beach	36460	4345.15915770821	104.28381978499704	98.37693569468581
49	city of grand blanc-33280	345090106.288948	17989.547240842858	Grand Blanc	City of Grand Blanc	33280	139234.28436953537	3341.6228248688485	81.42464187602152
50	city of houghton-39360	356250444.1814	18571.335655176383	Houghton	City of Houghton	39360	36214.25528249233	869.142126779816	95.31998051773103
51	city of hudson-39720	167491786.045784	8731.346806566718	Hudson	City of Hudson	39720	5035.276944850341	120.84664667640818	98.61594494694083
52	city of sandusky-71540	194984883.921428	10164.561998824041	Sandusky	City of Sandusky	71540	6266.783180134741	150.4027963232338	98.52032191509448
53	city of holland-38640	3472151473.3156	181003.2563039422	Holland	City of Holland	38640	310296.32208010706	7447.11172992257	95.88564764966587
54	city of flushing-29200	328728240.151272	17136.603159085807	Flushing	City of Flushing	29200	51502.13914099424	1236.0513393838617	92.78706912969209
55	city of mt clemens-55820	1288663342.4230402	67178.02004051307	Mt Clemens	City of Mt Clemens	55820	263631.79687286314	6327.163124948715	90.5814980537786
56	city of lansing-46000	7212150455.2456	375969.4032319531	Lansing	City of Lansing	46000	1936976.7068611686	46487.44096466805	87.63531272357613
57	city of huntington woods-40000	233085931.4924012	12150.769608698874	Huntington Woods	City of Huntington Woods	40000	201504.63233336862	4836.111176000846	60.19913691278765
58	city of wyoming-88940	4970086581.3328	259090.61348487885	Wyoming	City of Wyoming	88940	1426462.9834744004	34235.11160338561	86.78643307725093
59	city of taylor-79000	3759027905.13	195958.1246944269	Taylor	City of Taylor	79000	1812451.013419554	43498.824322069304	77.80197968831327
60	city of luna pier-49700	54984259.93901364	2866.3294706207807	Luna Pier	City of Luna Pier	49700	15025.78639166899	360.61887340005575	87.41879197432408
61	city of wyandotte-88900	1798303577.81432	93745.5655114605	Wyandotte	City of Wyandotte	88900	369436.175145836	8866.468203500064	90.5419865407755
62	city of harrison-36800	98064813.56387599	5112.118731084855	Harrison	City of Harrison	36800	9481.902808032604	227.56566739278253	95.54850582774922
63	city of belding-06900	305591098.66664	15930.463973491942	Belding	City of Belding	06900	28801.348074599297	691.2323537903831	95.6609402278516
64	city of petoskey-63820	482825406.3866	25169.688434933458	Petoskey	City of Petoskey	63820	28783.31336600297	690.7995207840713	97.25543078306326
65	city of benton harbor-07520	680726207.6666	35486.25720565986	Benton Harbor	City of Benton Harbor	07520	90638.249586981	2175.3179900875434	93.86997062699362
66	city of ann arbor-03000	6546301257.8716	341258.6845728465	Ann Arbor	City of Ann Arbor	03000	1754613.2647258728	42110.71835342094	87.66017679341086
67	city of algonac-01180	183329069.81621602	9556.944409519341	Algonac	City of Algonac	01180	10789.181371408924	258.9403529138142	97.29055290249578
68	city of river rouge-68760	390981670.69156003	20381.874493151023	River Rouge	City of River Rouge	68760	230774.18897959485	5538.580535510277	72.8259511294144
69	city of gladstone-32300	241887228.98287597	12609.581246877324	Gladstone	City of Gladstone	32300	34704.272357260284	832.9025365742468	93.39468519796793
70	city of durand-23500	155250932.884624	8093.231131275449	Durand	City of Durand	23500	8100.201516791884	194.40483640300522	97.59793297325035
71	city of kingsford-43300	326850937.21503997	17038.739357020033	Kingsford	City of Kingsford	43300	14184.762765316806	340.43430636760337	98.00199827443606
72	city of southgate-74960	1537958547.8056402	80173.77909710802	Southgate	City of Southgate	74960	479245.28976337134	11501.886954320911	85.65380466799549
73	city of zeeland-89260	733751298.78892	38250.4552058664	Zeeland	City of Zeeland	89260	43291.91691576281	1039.0060059783075	97.28367675525348
74	city of boyne city-09820	270515537.66548	14101.974978501472	Boyne City	City of Boyne City	09820	15143.947443629995	363.4547386471199	97.42266782347005
75	city of richmond-68380	259238925.35620397	13514.125178818913	Richmond	City of Richmond	68380	16143.574909173203	387.4457978201569	97.13303086442167
76	city of manistique-50760	158265332.25227198	8250.371770310938	Manistique	City of Manistique	50760	18334.35230171315	440.0244552411155	94.66661057839177
77	city of big rapids-08300	594328371.7535601	30982.338019513085	Big Rapids	City of Big Rapids	08300	22634.129306639516	543.2191033593484	98.2466813737
78	city of roseville-69800	3266974009.12432	170307.3550956508	Roseville	City of Roseville	69800	1107365.7696331374	26576.778471195295	84.39481462426048
79	city of springfield-75700	413969914.834168	21580.251660305177	Springfield	City of Springfield	75700	64869.046225271275	1556.8571094065105	92.78573237275911
80	city of gobles-32640	29116586.996403202	1517.8476801224988	Gobles	City of Gobles	32640	1718.0905771536486	41.234173851687565	97.28337866890836
81	city of grant-34360	30787783.174316	1604.967136877093	Grant	City of Grant	34360	1132.0443939661916	27.169065455188598	98.30718867502462
82	city of grayling-34640	113093023.931292	5895.539337538252	Grayling	City of Grayling	34640	4973.369557888936	119.36086938933445	97.97540373228728
83	city of new buffalo-57220	154672163.93552	8063.059905958657	New Buffalo	City of New Buffalo	57220	7212.980182259607	173.11152437423058	97.85302941571474
84	city of saugatuck-71700	76578187.33228	3992.020905631756	Saugatuck	City of Saugatuck	71700	4182.044689584307	100.36907255002336	97.48575784238938
85	city of auburn-04080	114803995.87303199	5984.732304861157	Auburn	City of Auburn	04080	2638.6701153798476	63.32808276911634	98.94183934145764
86	city of village of clarkston-82450			Village of Clarkston	City of Village of Clarkston	82450	7033.625879465416	168.80702110717	
87	city of east lansing-24120	1467712101.80968	76511.83186733861	East Lansing	City of East Lansing	24120	702387.6637725247	16857.30393054059	77.96771620921464
88	city of reed city-67820	185764700.23476	9683.913823238037	Reed City	City of Reed City	67820	3934.4552821237935	94.42692677097104	99.02490946847978
89	city of muskegon-56320	2442379355.18816	127321.23578595876	Muskegon	City of Muskegon	56320	527402.8718970239	12657.668925528573	90.0584777964239
90	city of ecorse-24740	889532575.1912401	46371.33314471934	Ecorse	City of Ecorse	24740	229316.8229993861	5503.603751985266	88.13145238932599
91	city of st johns-70940	983142232.8764955	51251.204599851706	St Johns	City of St Johns	70940	16463.802211844973	395.13125308427936	99.22903031027407
92	city of auburn hills-04105	4519580266.24296	235605.7192792455	Auburn Hills	City of Auburn Hills	04105	725440.9531274909	17410.582875059783	92.61028852426782
93	city of fraser-30420	1592230485.1911602	83002.97519301518	Fraser	City of Fraser	30420	402366.62707948725	9656.799049907693	88.36571938842943
94	city of scottville-72080	47289448.110488	2465.198929999739	Scottville	City of Scottville	72080	1804.8034189698922	43.315282055277414	98.24292954502938
95	city of pontiac-65440	3080779078.5272	160601.01336362294	Pontiac	City of Pontiac	65440	1097050.671365499	26329.216112771977	83.60582193017738
96	city of grosse pointe farms-35520	458312019.951308	23891.805600061685	Grosse Pointe Farms	City of Grosse Pointe Farms	35520	292946.46843299945	7030.715242391987	70.57269190917143
97	city of garden city-31420	1142147517.12336	59540.15006764075	Garden City	City of Garden City	31420	550708.276312116	13216.998631490782	77.80153624659062
98	city of bronson-10860	112466084.02897601	5862.856960430519	Bronson	City of Bronson	10860	1651.6904195145949	39.64057006835028	99.32386939787392
99	city of mt pleasant-56020	1304319256.12736	67994.16282191928	Mt Pleasant	City of Mt Pleasant	56020	112150.1922435716	2691.604613845718	96.04141811276479
100	city of stanton-76220	45996666.5208536	2397.806225732098	Stanton	City of Stanton	76220	3748.4562799833766	89.96295071960104	96.24811422398682
101	city of wixom-88140	1841688805.19976	96007.23741506349	Wixom	City of Wixom	88140	243182.7823961588	5836.386777507811	93.92088874271464
102	city of coldwater-17020	700650759.29848	36524.924082229765	Coldwater	City of Coldwater	17020	55146.22424019905	1323.5093817647773	96.37642126569484
103	city of walled lake-83060	517828838.19704	26994.417335211696	Walled Lake	City of Walled Lake	83060	118433.64903457912	2842.407576829899	89.47038737108713
104	city of alma-01540	681621836.09848	35532.94631581376	Alma	City of Alma	01540	46424.71338630483	1114.193121271316	96.86433792636146
105	city of charlevoix-14780	246887558.928672	12870.24844695167	Charlevoix	City of Charlevoix	14780	24765.977120454892	594.3834508909174	95.38172512099644
106	city of mcbain-49980	34068297.11303999	1775.9803285027747	McBain	City of McBain	49980	660.7608687373638	15.858260849696732	99.10707001675712
107	city of iron mountain-40960	693904740.30712	36173.25411221016	Iron Mountain	City of Iron Mountain	40960	53764.9528689234	1290.3588688541615	96.4328371872449
108	city of birmingham-08640	1562180021.73192	81436.44453288498	Birmingham	City of Birmingham	08640	289378.9953864383	6945.09588927452	91.47175944491288
109	city of dexter-22160	273395465.529248	14252.105618039697	Dexter	City of Dexter	22160	13357.511433613532	320.5802744067248	97.75064623432942
110	city of marysville-52080	991458377.8897599	51684.72523939318	Marysville	City of Marysville	52080	228897.91525788954	5493.549966189349	89.37103768909608
111	city of northville-58980	331987369.810976	17306.50158824618	Northville	City of Northville	58980	100759.79483977331	2418.2350761545595	86.02701381429439
112	city of grandville-34160	1232472201.25492	64248.77585141898	Grandville	City of Grandville	34160	318044.8742477527	7633.076981946065	88.11949818375025
113	city of otsego-61620	274816798.51824	14326.19970675585	Otsego	City of Otsego	61620	10823.170359492937	259.7560886278305	98.18684582132876
114	city of beaverton-06660	52901349.30822801	2757.747339437926	Beaverton	City of Beaverton	06660	1292.8683332270243	31.028839997448582	98.87484833894274
115	city of onaway-60680	47523703.190952	2477.4106473443276	Onaway	City of Onaway	60680	826.2932348582958	19.8310376365991	99.19952561526864
116	city of litchfield-47980	214854740.01505598	11200.377596984868	Litchfield	City of Litchfield	47980	3388.017563847684	81.31242153234442	99.27402071199606
117	city of mt morris-55960	109179988.31744002	5691.5527909881475	Mt Morris	City of Mt Morris	55960	9735.020531686361	233.64049276047268	95.89496045559987
118	city of kentwood-42820	8183684281.50348	426615.46159477637	Kentwood	City of Kentwood	42820	675915.9223657213	16221.982136777311	96.19751659348299
119	city of east grand rapids-23980	487908265.63415205	25434.657887508347	East Grand Rapids	City of East Grand Rapids	23980	276379.074577538	6633.097789860912	73.92102610855792
120	city of leslie-47180	63134633.134023994	3291.208425276671	Leslie	City of Leslie	47180	2804.485076086854	67.30764182608449	97.95492618124219
121	city of utica-81540	272656890.170692	14213.603684598174	Utica	City of Utica	81540	111498.0100891699	2675.9522421400775	81.17330198927853
122	city of coleman-17100	72180584.573096	3762.7738737954946	Coleman	City of Coleman	17100	1836.3335501270637	44.07200520304953	98.82873628123195
