	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
137	MILFORD	361768.8345034795	8682.452028083508
138	BOYLSTON	274179.5721157447	6580.309730777873
139	PLAINVILLE	233077.4246070315	5593.858190568756
140	NEW BEDFORD	1327453.40777163	31858.881786519116
141	MARBLEHEAD	0.0	0.0
142	LONGMEADOW	609945.6417254803	14638.695401411527
143	GRANVILLE	43036.01195291094	1032.8642868698626
144	WEBSTER	201084.2707116034	4826.022497078482
145	SOUTHBRIDGE	238405.78985948855	5721.738956627724
146	SALISBURY	371691.0025999042	8920.5840623977
147	AMHERST	356277.9939174886	8550.671854019727
148	AQUINNAH	806.30899692754	19.351415926260962
149	CHILMARK	5847.40436318664	140.33770471647935
150	CHELSEA	604640.7327375137	14511.37758570033
151	NEWTON	3030490.7165924	72731.7771982176
152	IPSWICH	260139.8942297076	6243.357461512983
153	COHASSET	162776.2610571511	3906.630265371626
154	AUBURN	709317.5855268958	17023.6220526455
155	CHICOPEE	1486553.4237163705	35677.2821691929
156	HAMILTON	166006.396028671	3984.153504688104
157	PLYMOUTH	1035891.2943510073	24861.391064424177
158	BARRE	36731.27820075131	881.5506768180313
159	BOLTON	188059.01807178772	4513.416433722906
160	WARWICK	23131.519429599222	555.1564663103813
161	FALMOUTH	242152.21485775907	5811.653156586218
162	SEEKONK	1261794.5148242498	30283.068355781994
163	TEMPLETON	198639.64697273052	4767.351527345532
164	PALMER	161553.2076950372	3877.276984680893
165	FOXBOROUGH	475172.82032332703	11404.147687759849
166	PEABODY	1043992.5008823428	25055.820021176227
167	AGAWAM	695256.5772584121	16686.15785420189
168	MEDFIELD	386762.78991168283	9282.30695788039
169	WORCESTER	2507192.808205842	60172.62739694021
170	SWAMPSCOTT	0.0	0.0
171	WAYLAND	367355.3147721976	8816.527554532744
172	MILTON	1630594.043993536	39134.25705584486
173	ADAMS	160158.91928433478	3843.814062824035
174	MILLIS	234098.47959124873	5618.363510189969
175	BRIMFIELD	58014.82474643753	1392.3557939145007
176	ASHBURNHAM	80665.32756414785	1935.9678615395485
177	COLRAIN	59029.67420635986	1416.7121809526366
178	NORTHFIELD	32593.94084713928	782.2545803313427
179	PLYMPTON	105889.98775456905	2541.3597061096575
180	BERKLEY	213004.67171732083	5112.1121212157
181	KINGSTON	261283.12727075853	6270.795054498205
182	MONTAGUE	108287.74634412877	2598.9059122590907
183	WEST STOCKBRIDGE	18265.62192085135	438.3749261004324
184	DANVERS	924533.7748697427	22188.810596873824
185	OTIS	9775.642518348144	234.61542044035545
186	BECKET	11993.644883316703	287.8474771996009
187	GREAT BARRINGTON	81986.11638533736	1967.6667932480964
188	ROWE	6096.928878078196	146.3262930738767
189	MIDDLEFIELD	6309.124155733551	151.4189797376052
190	GROTON	261207.65604119402	6268.983744988656
191	TRURO	9925.46418129489	238.21114035107738
192	WINCHENDON	224865.23306618963	5396.765593588551
193	WELLFLEET	25743.617854925753	617.8468285182181
194	AMESBURY	241452.19420562914	5794.852660935099
195	HANCOCK	31203.666872015176	748.8880049283642
196	WESTBOROUGH	360899.9718299752	8661.599323919405
197	HALIFAX	140343.5101973584	3368.2442447366016
198	WORTHINGTON	10491.880688297824	251.8051365191478
199	NORWELL	292181.47608723433	7012.355426093624
200	BREWSTER	196074.36364256308	4705.784727421514
201	EDGARTOWN	45919.1419654614	1102.0594071710736
202	CLINTON	64111.170441421855	1538.6680905941246
203	STOW	240556.6105824716	5773.358653979319
204	ATTLEBORO	844407.6943220062	20265.784663728147
205	HARWICH	72281.20504120993	1734.7489209890384
206	STOUGHTON	709816.3603283297	17035.592647879912
207	SOMERSET	321707.97046518757	7720.9912911645015
208	NEWBURY	121829.13632436833	2923.89927178484
209	HANOVER	228590.70456466073	5486.176909551857
210	UXBRIDGE	316353.49202269234	7592.483808544616
211	GROVELAND	230119.0987260882	5522.858369426117
212	MILLBURY	484129.3772724506	11619.105054538815
213	PELHAM	48216.708341184894	1157.2010001884375
214	WAKEFIELD	652250.065674477	15654.00157618745
215	ROCKLAND	355696.25065664435	8536.710015759465
216	MEDWAY	242113.01580076033	5810.712379218247
217	WEST BROOKFIELD	83144.1293767286	1995.4591050414863
218	NEW SALEM	76259.30467751052	1830.2233122602524
219	CHATHAM	76988.29617292204	1847.719108150129
220	WALTHAM	1093667.1398090045	26248.011355416107
221	HOLBROOK	373721.7309381982	8969.321542516756
222	PEPPERELL	140969.94909442335	3383.2787782661608
223	GILL	44983.784127768326	1079.6108190664397
224	DENNIS	108100.03371793879	2594.4008092305307
225	LEVERETT	58462.56064353062	1403.1014554447347
226	BROOKFIELD	53753.11091331527	1290.0746619195666
227	NORTH ATTLEBOROUGH	678635.5471506058	16287.25313161454
228	WEYMOUTH	416358.1949053446	9992.59667772827
229	WESTHAMPTON	41189.79454273593	988.5550690256623
230	WEST BOYLSTON	248029.5000432064	5952.708001036955
231	LEICESTER	769071.3346752394	18457.712032205745
232	HINSDALE	76095.69535329797	1826.296688479151
233	SHREWSBURY	840426.3114888929	20170.231475733428
234	PROVINCETOWN	0.0	0.0
235	UPTON	445675.4895103989	10696.211748249574
236	BILLERICA	1038069.7386283292	24913.673727079902
237	ROCHESTER	106530.3186860266	2556.727648464638
238	HARVARD	248334.10729724562	5960.018575133895
239	WOBURN	1283979.7690654648	30815.514457571157
240	WILBRAHAM	373491.5032643432	8963.796078344238
241	GEORGETOWN	168328.7991796367	4039.8911803112806
242	CARVER	201613.2726130553	4838.718542713327
243	EASTHAM	51400.904890668004	1233.6217173760322
244	MELROSE	811411.8997820667	19473.8855947696
245	MANCHESTER	0.0	0.0
246	SUTTON	331961.06567852915	7967.065576284699
247	FRAMINGHAM	832700.9427384475	19984.82262572274
248	HOLYOKE	887873.0368018101	21308.95288324344
249	NEW ASHFORD	33616.536359435224	806.7968726264454
250	NEW MARLBOROUGH	20627.66072161149	495.06385731867573
251	MONTGOMERY	41286.36955399823	990.8728692959575
252	ANDOVER	1388505.6585373622	33324.135804896694
253	EAST BROOKFIELD	42306.03230866454	1015.3447754079489
254	SPENCER	206119.22709392293	4946.86145025415
255	WILMINGTON	770017.7944738736	18480.427067372966
256	RICHMOND	19742.443448859107	473.81864277261855
257	DOUGLAS	216683.3420891238	5200.400210138971
258	ABINGTON	424043.4438865127	10177.042653276305
259	SOUTHWICK	234261.3213343423	5622.271712024216
260	YARMOUTH	311390.7580128586	7473.378192308606
261	ALFORD	3681.7074826564667	88.3609795837552
262	SPRINGFIELD	2073791.7323228412	49771.00157574819
263	BEDFORD	513265.5649408466	12318.373558580319
264	ASHLAND	526201.6084002061	12628.838601604946
265	MONROE	3478.835416307962	83.49204999139108
266	OAKHAM	15965.471276826916	383.17131064384597
267	HANSON	286273.1234201416	6870.554962083397
268	RAYNHAM	323629.8102305573	7767.115445533374
269	WESTON	1010707.2759581266	24256.97462299504
270	GARDNER	166491.78595211057	3995.802862850654
271	ORANGE	91195.45369495184	2188.690888678844
272	DARTMOUTH	1453240.668382648	34877.77604118355
273	CUMMINGTON	9160.104957785195	219.84251898684468
274	GRANBY	273455.48986717046	6562.931756812091
275	LEE	74574.12675334998	1789.7790420803997
276	STERLING	201564.30288538212	4837.543269249171
277	WARREN	93720.92576348005	2249.302218323521
278	LAKEVILLE	249321.63478867817	5983.719234928277
279	ROYALSTON	26283.303110107503	630.79927464258
280	WATERTOWN	1103574.2158082505	26485.78117939801
281	EASTON	927428.4161859038	22258.28198846169
282	EAST BRIDGEWATER	542815.3760525511	13027.569025261228
283	NATICK	372924.7512307746	8950.19402953859
284	BROCKTON	1157075.4997474286	27769.811993938285
285	WENDELL	57844.69765299596	1388.2727436719028
286	WESTFORD	437286.2245542769	10494.869389302645
287	NORTH READING	478656.19865989365	11487.748767837447
288	TISBURY	33538.10611756128	804.9145468214706
289	ACTON	466286.61621777166	11190.87878922652
290	MIDDLETON	309819.1118049634	7435.658683319121
291	TYRINGHAM	9742.531459909049	233.82075503781718
292	HINGHAM	401071.45772428287	9625.714985382789
293	ROCKPORT	208165.47585247518	4995.971420459405
294	OAK BLUFFS	6933.515312683048	166.40436750439315
295	RUTLAND	145485.5063576112	3491.652152582669
296	MATTAPOISETT	117355.84634089298	2816.540312181432
297	WESTPORT	537356.443265831	12896.554638379943
298	CHARLEMONT	13662.237497467528	327.89369993922065
299	WEST SPRINGFIELD	938691.0310634901	22528.584745523764
300	NEW BRAINTREE	27883.702035575017	669.2088488538004
301	DEDHAM	983449.1730308314	23602.780152739953
302	PRINCETON	84857.06484319788	2036.5695562367491
303	LINCOLN	332503.98802981107	7980.095712715465
304	BUCKLAND	17364.41788104357	416.74602914504567
305	HATFIELD	233416.94907710733	5602.006777850575
306	BOXBOROUGH	111501.5098534961	2676.0362364839066
307	HOLDEN	672367.2076747096	16136.812984193031
308	METHUEN	1289538.0846495568	30948.914031589364
309	ASHFIELD	22763.514201639795	546.324340839355
310	SWANSEA	605308.5993071212	14527.40638337091
311	REHOBOTH	331945.5226951087	7966.692544682609
312	SHIRLEY	123177.44313406892	2956.258635217654
313	PHILLIPSTON	26007.340057954767	624.1761613909143
314	CHELMSFORD	1155010.1501538188	27720.24360369165
315	SOUTH HADLEY	309007.92505382607	7416.190201291825
316	WILLIAMSBURG	76513.42023093256	1836.3220855423815
317	WEST NEWBURY	172653.3852133638	4143.681245120732
318	LITTLETON	228284.0371401685	5478.816891364045
319	HAVERHILL	1319118.8948913221	31658.85347739173
320	HEATH	13933.286478399139	334.39887548157935
321	SUDBURY	613977.5935285141	14735.462244684339
322	ROWLEY	95951.21727973773	2302.829214713706
323	WHATELY	49071.64194758048	1177.7194067419316
324	BOURNE	294334.5978351527	7064.030348043665
325	WASHINGTON	61348.568165848934	1472.3656359803745
326	WILLIAMSTOWN	138473.02049936674	3323.352491984802
327	SHELBURNE	83997.09210306797	2015.9302104736314
328	EAST LONGMEADOW	492451.26078276534	11818.830258786369
329	SOUTHAMPTON	226794.15951584588	5443.059828380302
330	MONSON	174473.1566859975	4187.35576046394
331	SANDISFIELD	12381.000983766844	297.14402361040425
332	ERVING	9242.039456283674	221.80894695080818
333	MONTEREY	14101.923863105483	338.4461727145316
334	WEST TISBURY	68516.36435091012	1644.392744421843
335	TOWNSEND	132942.86314698917	3190.6287155277405
336	WINTHROP	108449.87813951704	2602.7970753484087
337	STOCKBRIDGE	41405.175291025815	993.7242069846196
338	ORLEANS	72069.13766593003	1729.6593039823208
339	AYER	100366.44095350332	2408.79458288408
340	OXFORD	266415.30106367706	6393.967225528249
341	HOPKINTON	518221.1789785191	12437.30829548446
342	RUSSELL	45713.997060925845	1097.1359294622202
343	MERRIMAC	101825.69469884265	2443.8166727722237
344	NORTHBRIDGE	292585.24700278614	7022.045928066867
345	BLANDFORD	25681.208176273893	616.3489962305734
346	EASTHAMPTON	374131.9841511201	8979.167619626884
347	NORTH ANDOVER	735515.6421525392	17652.375411660938
348	NORTON	582870.7299119837	13988.89751788761
349	HAMPDEN	143207.01638754664	3436.9683933011192
350	SUNDERLAND	89621.17886986143	2150.9082928766743
