	municipality	res_com_non_electricity	res_com_non_electricity-adjusted (metric tonnes CO2/year)	state	city	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)	absolute_percent_error_graced (percent error)
110	ocampo, coahuila			Coahuila	Ocampo	65969.02720391052	1583.2566528938523	
111	piedrasnegras, coahuila	534900000.0	31254.207000000002	Coahuila	PiedrasNegras	546815.0346682392	13123.56083203774	58.0102581644841
112	progreso, coahuila			Coahuila	Progreso	26850.87433190132	644.4209839656316	
113	ramosarizpe, coahuila	293700000.0	17160.891	Coahuila	RamosArizpe	252869.24146537186	6068.861795168925	64.63550875552484
114	sabinas, coahuila	219100000.0	12802.013	Coahuila	Sabinas	185477.23671970784	4451.453681272988	65.22848647886089
115	sacramento, coahuila			Coahuila	Sacramento	10828.027704060138	259.8726648974433	
116	saltillo, coahuila	2488000000.0	145373.84	Coahuila	Saltillo	1598270.8383883303	38358.50012131993	73.61389083392174
117	sanbuenaventura, coahuila			Coahuila	SanBuenaventura	50448.76504139817	1210.7703609935559	
118	sanjuandesabinas, coahuila	138020000.0	8064.5086	Coahuila	SanJuandeSabinas	83755.28193571	2010.1267664570398	75.07440482539705
119	sierramojada, coahuila			Coahuila	SierraMojada	42770.23039056501	1026.4855293735604	
120	torreón, coahuila	2480000000.0	144906.4	Coahuila	Torreón	1223844.094403851	29372.258265692428	79.73018564694698
121	villaunión, coahuila			Coahuila	VillaUnión	27522.643297397914	660.54343913755	
122	zaragoza, coahuila			Coahuila	Zaragoza	36365.904318243236	872.7817036378376	
123	armería, colima			Colima	Armería	86537.30342838026	2076.895282281126	
